Noun Phrase,Count
coral reefs,38
young girl,33
te moti,31
te uea,24
heart swelling,22
pacific ocean,19
gentle waves,15
sea levels,15
te kairaki,15
deep connection,14
sustainable practices,14
vast ocean,14
conch shell,14
palm trees,13
young woman,13
gentle breeze,13
turquoise waters,13
te baan,13
deep breath,13
delicate balance,12
beach clean-ups,12
vibrant coral reefs,11
golden rays,11
vibrant colors,11
aunty tera,11
te rongo,11
golden glow,10
mr. titi,10
coral gardens,9
mr. kimo,9
te mata,9
journey begins,8
te kiri,8
small canoe,8
vast expanse,8
vibrant culture,8
warm sand,8
old man,8
old ways,8
colorful fish,8
whispering waves,7
azure waters,7
storm approaches,7
fish populations,7
bare feet,7
vast pacific ocean,7
nana tuka,7
full moon,7
palm fronds,7
deep sense,7
night sky,7
te roro,7
pandanus leaves,6
familiar presence,6
story unfolds,6
small island,6
reef islands,6
sandy shores,6
coconut tree,6
warm embrace,6
distant lands,6
sun kisses,6
starry sky,6
adventurous spirit,6
wise woman,6
aunty nia,6
insatiable curiosity,6
# # # chapter,6
te raoi,6
sea gods,6
community hall,5
unbreakable bond,5
salty breeze,5
starlit sky,5
intricate patterns,5
island home,5
skilled fisherman,5
soft glow,5
young man,5
small village,5
sandy beach,5
te taaniko,5
profound sense,5
aunty rina,5
fateful afternoon,4
strange pull,4
ancient spirits,4
azure waves,4
small atoll,4
vast waters,4
brilliant light,4
profound connection,4
community center,4
gathering storm,4
storm clouds,4
modest home,4
waves crash,4
open arms,4
golden hues,4
dark cloud,4
traditional songs,4
waves lap,4
coral reef,4
small island nation,4
great spirit,4
warm glow,4
golden hue,4
meeting house,4
salty air,4
te i-kiribati,4
ancient traditions,4
sandy beaches,4
shallow waters,4
soft sand,4
aunty kiri,4
annual festival,4
pure heart,4
dark clouds,4
aunty miri,4
whispering tides,3
restore balance,3
crystal-clear waters,3
vibrant coral,3
sandy shore,3
future generations,3
16-year-old girl,3
traditional knowledge,3
silver hair,3
marine life,3
# # #,3
tranquil waters,3
own spirit,3
ocean speaks,3
chill run,3
te miri,3
natural barriers,3
twelve-year-old girl,3
daily routines,3
warm sun,3
new islands,3
wide eyes,3
fish swam,3
cool breeze,3
salty tang,3
ethereal glow,3
notice changes,3
long shadows,3
dark hair,3
endless expanse,3
coconut palms,3
underwater world,3
beautiful conch shell,3
young ones,3
sun cast,3
new ways,3
community meetings,3
small victory,3
hearts swelling,3
young fisherman,3
rapt attention,3
new lands,3
fateful day,3
newfound sense,3
bright morning,3
lush greenery,3
fateful evening,3
sun shone,3
small outrigger canoe,3
skilled navigator,3
ocean breeze,3
te tia,3
gentle lullaby,3
own children,3
ancient ways,3
sweet scent,3
familiar waters,3
tight embrace,3
magical starfish,3
sea spirits,3
beautiful mats,2
catch fish,2
vibrant life,2
fish population,2
gentle wave,2
environmental education,2
eternal bond,2
iridescent shell,2
morning sun,2
underwater cave,2
mystical creatures,2
sudden storm,2
brave souls,2
blue gem,2
powerful spirit,2
final challenge,2
waves dance,2
central pacific ocean,2
shares stories,2
marine biologist,2
wise eyes,2
marine ecosystems,2
urgent need,2
damp sand,2
young boy,2
tide turns,2
collective effort,2
drawing strength,2
new generation,2
young generation,2
beautiful lagoons,2
idyllic scene,2
moon cast,2
newfound determination,2
environmental stewardship,2
cultural heritage,2
whispering tide,2
old fisherman,2
palm leaves,2
village square,2
days learning,2
small community,2
village elders,2
plant mangroves,2
banyan tree,2
stories woven,2
warm light,2
colorful shells,2
climate action,2
vibrant hues,2
identify constellations,2
community gathering,2
rising tide,2
ancient navigators,2
deep blue sea,2
energy flow,2
vibrant hub,2
sun rises,2
distant laughter,2
marine environment,2
ripple effect,2
different cultures,2
brave girl,2
woven mat,2
elderly man,2
clean-up days,2
entire community,2
salt air,2
smooth surface,2
shiver run,2
sun dip,2
soft whisper,2
conch shell high,2
thatched-roof home,2
local fishermen,2
occasional splash,2
tapestry woven,2
figure—a woman,2
great turtle,2
soft voice,2
cool sand,2
collective efforts,2
near future,2
sandy bottom,2
vibrant community,2
pristine beaches,2
magnificent creature,2
precious land,2
hard work,2
sea speaks,2
youth group,2
young people,2
community event,2
educational workshops,2
colors vibrant,2
sunny afternoon,2
te kaimatoa,2
powerful force,2
powerful storm,2
torrential rain,2
uncanny ability,2
iridescent scales,2
eyes alight,2
ocean home,2
newfound courage,2
own stories,2
newfound respect,2
wise leader,2
picturesque islands,2
ocean waves,2
open sea,2
violent storm,2
ocean sings,2
warm afternoon,2
underwater realm,2
gentle voice,2
particular morning,2
midnight sky,2
unbreakable connection,2
eternal song,2
ancient dance,2
part ii,2
part iii,2
part iv,2
part v,2
ancient songs,2
voice firm,2
ancient carvings,2
ocean spirit,2
small boat,2
treacherous waters,2
stark contrast,2
rocky outcrop,2
fateful night,2
vibrant flora,2
bid farewell,2
coral atolls,2
underwater kingdom,2
vibrant fish,2
vibrant world,2
long forgotten,2
familiar tug,2
air thick,2
large bonfire,2
fiery glow,2
community meeting,2
lush palm trees,2
vibrant waters,2
great courage,2
remote islands,2
great navigators,2
local materials,2
bright lights,2
gentle lap,2
warmth envelop,2
new places,2
blue expanse,2
ancient secrets,2
mythical creatures,2
familiar faces,2
sandbag barriers,2
warm smile,2
tranquil village,2
southern cross,2
traditional mat,2
marine sanctuary,2
long hair,2
soft melody,2
curious spirit,1
sea creatures,1
practical teachings,1
evening fire,1
great fish,1
tumultuous expanse,1
great drum,1
enormous fish,1
world hangs,1
underwater creatures,1
newfound purpose,1
ancestral heritage,1
new practices,1
natural world,1
local leaders,1
standing strong,1
powerful allies,1
final decision,1
pivotal moment,1
divine connection,1
larger—a legacy woven,1
own daughter,1
sweet secrets,1
fateful morning,1
previous night,1
wooden box,1
grand figure,1
depths—a woman,1
gown woven,1
quest begins,1
wise girl,1
fire ignite,1
her—a determination,1
bright afternoon,1
familiar shores,1
brilliant flash,1
bioluminescent algae,1
magical glow,1
stone—a radiant,1
fierce guardian,1
giant octopus,1
distant island,1
fierce wind spirits,1
wind spirits,1
blue stone,1
strong gusts,1
green stone,1
final destination—the island,1
dark shadow,1
green stones,1
stormy skies,1
dark figure materialized—a,1
monstrous serpent,1
powerful surge,1
radiant beam,1
turquoise lagoons,1
white sandy beaches,1
modern technology,1
wise grandmother,1
soft light,1
sun painting,1
distant sounds,1
fellow villagers,1
young adventurers,1
