Word,Frequency
feel,542
town,380
heart,327
story,327
train,304
life,303
find,275
maplewood,250
share,250
fill,207
dream,206
home,194
day,193
old,192
say,190
new,189
like,183
love,183
time,182
begin,179
leave,178
city,164
place,163
know,163
laughter,162
eye,162
small,162
voice,161
journey,160
sense,160
community,159
stand,158
come,155
air,140
face,136
take,135
smile,133
memory,124
long,124
friend,122
year,120
evening,118
moment,117
step,116
family,116
creek,116
night,114
way,114
past,111
festival,107
world,105
sun,105
look,100
spend,99
turn,98
local,97
light,96
embrace,96
mother,96
people,95
return,93
station,93
hope,90
weight,89
realize,89
familiar,89
think,88
connection,88
reply,87
sit,87
pass,86
want,86
word,85
change,84
hand,82
pull,81
race,80
away,80
echo,80
adventure,79
watch,78
sound,77
street,77
excitement,77
need,76
tree,76
art,75
approach,74
warmth,74
future,74
week,73
summer,72
work,72
father,72
deep,71
cedar,70
grow,68
open,68
diner,68
childhood,68
hold,66
promise,66
bring,66
grove,64
set,64
henry,64
help,64
thought,63
explore,62
belong,62
grandmother,62
coffee,62
walk,62
let,60
write,60
paint,59
fade,59
maggie,58
close,58
good,58
vibrant,58
letter,58
sky,57
ask,56
gather,56
title,55
spirit,55
child,55
whisper,54
month,54
tear,54
lose,53
warm,53
book,53
miss,53
experience,53
go,51
speak,51
star,51
mind,51
create,51
ready,51
history,51
window,50
breath,49
house,49
break,49
music,48
fear,48
live,47
wash,47
crowd,47
cast,47
field,46
harvest,45
horizon,45
decision,45
decide,45
visit,45
joy,45
beauty,45
man,45
scent,45
shadow,45
settle,45
meet,45
golden,44
passion,44
park,44
call,44
quiet,44
continue,43
struggle,43
draw,43
beneath,43
mix,42
arrive,42
bustling,42
finally,42
nod,41
afternoon,41
autumn,41
legacy,41
see,41
friendship,40
school,40
beginning,40
chase,40
root,40
platform,40
young,39
alive,39
play,39
room,38
twinkle,38
mill,38
feeling,38
name,38
emotion,38
woman,38
learn,38
tell,37
rush,37
different,37
dip,37
porch,37
dance,37
landscape,37
loss,37
resilience,36
artist,36
tale,36
reminder,36
remember,36
discover,36
reach,36
purpose,36
heavy,36
conversation,35
townsfolk,35
track,35
event,35
hair,35
weave,35
later,35
build,35
start,34
library,34
hue,34
inspire,34
shape,34
wait,34
stay,34
envelop,34
surround,34
plan,33
hang,33
glance,33
read,33
hear,33
distant,33
travel,33
wave,33
piece,33
inside,33
land,33
carry,32
crisp,32
pie,32
comfort,32
support,32
hour,32
notice,32
nostalgia,32
catch,32
fall,31
silence,31
path,31
bond,31
roll,31
chicago,31
laugh,31
suitcase,31
move,30
transform,30
understand,30
wander,30
molly,30
morning,30
gaze,30
job,30
stop,30
talk,29
girl,29
oak,29
resident,29
whistle,29
square,29
run,29
late,29
forward,29
wood,29
celebration,29
spark,29
page,29
honor,29
farm,29
capture,28
uncertainty,28
welcome,28
seat,28
follow,28
door,28
idea,28
forget,28
york,28
connect,28
color,28
hill,28
ellen,27
tom,27
thing,27
try,27
determination,27
end,27
quaint,27
chance,27
creativity,27
far,27
power,26
project,26
weather,26
expression,26
great,26
bridge,26
search,26
epilogue,26
arm,26
listen,26
prepare,26
pride,26
pour,26
benny,26
glow,26
energy,26
sparkle,26
center,25
secret,25
choice,25
organize,25
outside,25
possibility,25
opportunity,25
right,25
hey,24
blue,24
celebrate,24
truth,24
flicker,24
mean,24
spot,24
ride,24
writing,24
harmony,23
