name,count
Russia,50
Whispering Woods,24
Enchanted Forest,18
Village,16
Ural Mountains,15
Forest,7
Cave of Echoes,6
Whispering Forest,6
Zelenograd,4
Glade,4
Land of Dreams,4
Birch Tree,4
The Enchanted Forest,3
Crystal Cave,3
Clearing,3
Yelena,3
Silver Lake,2
Great Mountain,2
Crystal Lake,2
Heart of the Forest,2
Volga River,2
Whispering Pines,2
Great Forest,2
Enchanted Glade,2
Silver Birch,2
village,2
Snowy Forest,2
Enchanted Birch Tree,2
Silver Stream,2
Valley of Whispers,2
Forest of Shadows,2
Village Square,2
Baba Yaga,2
Thicket,2
North,1
East,1
West,1
Hollow of Whispers,1
Zolotaya Forest,1
Enchanted Forest of Zolotaya,1
Whispering Stream,1
Hollow Tree,1
Mountain,1
Cliff,1
Land of Wonders,1
Candy Castle,1
Silver Birch Forest,1
Lichtenberg,1
Mystic Lake,1
Anya,1
Realm of Wishes,1
The Cave of Echoes,1
The Meadow of Dreams,1
The Ancient Oak,1
The Birch Tree,1
Snegovik,1
Arctic,1
Great Waterfall,1
Starbird,1
Dlya,1
Crystal Pond,1
Lake Baikal,1
mountains,1
cave,1
Frost Giant,1
River of Dreams,1
Mountain of Mist,1
Matryoshka,1
The Village,1
The Great Oak Tree,1
The Thicket,1
The Glen,1
Baba Yaga Anna,1
Ivan,1
Mikhail,1
Zelenka,1
Crystal Brook,1
Enchanted Lake,1
Whispering Meadow,1
Hidden Realm,1
Cavern of Shadows,1
Waterfall,1
Valley of Echoes,1
Rainbow Flowers,1
Zimovka,1
Land of Whimsy,1
shimmering river,1
tallest oak tree,1
hidden meadow,1
ancient willow tree,1
Frozen River,1
Land of Ice and Fire,1
Glade of Dreams,1
Crystal Caves,1
Hollow Glade,1
Velikiy Les,1
Baikal,1
The Whispering Woods,1
Land of Stars,1
Crystal Caverns,1
River,1
Stream,1
Tree of Wishes,1
Dark Glade,1
Snegurochka,1
Ancient Tree,1
Starry Lake,1
Aqualis,1
Abyssal Depths,1
The Forest,1
Enchanted Forest of Snegurochka,1
River of Reflection,1
Enchanted Woods,1
Grove,1
Hollow Tree Trunk,1
s Curiosities,1
Rushing River,1
Willow Tree,1
Realm of Whimsy,1
Misty Glade,1
Forest of Echoes,1
Valley of Flowers,1
Misty Hill,1
Zarechensk,1
Earth,1
Zelenogorsk,1
Birch Forest,1
Misty Mountain,1
Oak,1
Russian countryside,1
The forest,1
The hidden glade,1
Oak Tree,1
Den,1
Vyshegorod,1
Mokosh,1
The Dream Garden,1
The Silver River,1
The River,1
Russian forest,1
The Heart of the Forest,1
The Bridge of Shadows,1
Zarechnoye,1
Garden of Wonders,1
Frosty Glen,1
Land of Frosty Giants,1
Enchanted Snowforest,1
Garden,1
Siberia,1
Brook,1
Marika,1
