name,count
Adaobi,11
Ifeoma,10
Amara,7
Ayo,6
Amina,4
Adaora,4
Tunde,3
Kemi,3
Adaeze,3
Chika,3
Nneka,2
Aisha,2
Efe,2
Damilola,2
Abiola,2
Chinedu,1
Akwaugo,1
Ezinne,1
Temilade,1
Femi,1
Dr. Nneka Okafor,1
Tunde Ajayi,1
Olufemi,1
Amelia,1
Tunde Okoro,1
Uche,1
Ayodele,1
Ailara,1
Abasi,1
Ayo Odukoya,1
Bayo,1
Chidera,1
Amaka,1
Chima,1
Sade,1
Ireti,1
Ifeoma Okafor,1
Abena,1
Kiki,1
Amira,1
Adeola,1
Folake,1
Adesewa,1
Seun,1
Nifemi,1
Ifeyinwa,1
Zainab,1
Amira Adeniyi,1
Tolu,1
Tunde Adesola,1
Adaobi Amadi,1
