story_id,sentiment,confidence,model,date
LS_1,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
LS_2,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
LS_3,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
LS_4,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
LS_5,joy,0.97,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
LS_6,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
LS_7,joy,0.96,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
LS_8,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
LS_9,fear,0.85,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
LS_10,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
LS_11,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
LS_12,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
LS_13,joy,0.97,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
LS_14,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
LS_15,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
LS_16,joy,0.98,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
LS_17,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
LS_18,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
LS_19,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
LS_20,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
LS_21,joy,0.96,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
LS_22,love,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
LS_23,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
LS_24,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
LS_25,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
LS_26,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
LS_27,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
LS_28,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
LS_29,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
LS_30,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
LS_31,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
LS_32,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
LS_33,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
LS_34,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
LS_35,fear,0.98,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
LS_36,joy,0.98,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
LS_37,fear,0.39,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
LS_38,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
LS_39,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
LS_40,joy,0.98,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
LS_41,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
LS_42,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
LS_43,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
LS_44,anger,0.46,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
LS_45,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
LS_46,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
LS_47,joy,0.56,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
LS_48,joy,0.98,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
LS_49,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
LS_50,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
