Noun Phrase,Count
young girl,39
gentle breeze,22
deep breath,19
# # # # chapter,19
warm glow,18
old man,17
heart swelling,16
rich history,16
small village,16
vibrant colors,15
adventurous spirit,14
young woman,13
golden hue,13
old woman,12
night sky,11
soft glow,10
wise woman,10
sweet scent,9
vibrant culture,9
intricate carvings,9
own stories,9
# # #,8
golden glow,8
distant lands,8
insatiable curiosity,8
ancient tales,8
nene amina,8
warmth envelop,7
dear child,7
profound sense,7
small satchel,7
ancient city,7
elderly man,7
ancient tree,7
mythical creatures,7
young man,7
baba isa,7
whispering shadows,7
majestic mountains,6
lush greenery,6
deep connection,6
pure heart,6
deep sense,6
dark hair,6
inspire others,6
rich tapestry,6
young artist,6
raven-black hair,6
cultural heritage,6
bright eyes,6
mr. azer,6
pine guardian,6
lush forests,5
sunny afternoon,5
newfound purpose,5
soft voice,5
old musician,5
stories woven,5
qara qarayev,5
fateful evening,5
village square,5
journey begins,5
quaint village,5
rich heritage,5
fierce storm,5
old city,5
cobblestone streets,5
maiden tower,5
inexplicable connection,5
cool breeze,5
profound connection,5
dark spirit,5
own right,5
silver hair,5
ancient stone,5
future generations,5
powerful force,5
gentle rustle,4
soft breeze,4
pomegranate trees,4
ancient trees,4
setting sun,4
gentle embrace,4
own story,4
string instrument,4
pomegranate tree,4
mystical creatures,4
shadowy figure,4
fateful day,4
intricate patterns,4
fateful night,4
transcends time,4
soft whisper,4
crisp autumn day,4
rocky terrain,4
lush landscapes,4
treasure trove,4
majestic peaks,4
small bag,4
sudden gust,4
sun shone,4
ancient village,4
modern music,4
newfound determination,4
rough bark,4
full moon,4
eternal flame,4
golden rays,3
narrow streets,3
golden light,3
colorful banners,3
vibrant tapestry,3
secret garden,3
vast expanse,3
cool water,3
newfound wisdom,3
colorful carpets,3
warm embrace,3
lesser caucasus,3
silvery glow,3
lush hills,3
heavy heart,3
ancient songs,3
elderly woman,3
green eyes,3
treacherous paths,3
faint melody,3
open arms,3
beautiful girl,3
wealthy merchant,3
vivid images,3
drawing inspiration,3
quiet nights,3
ancient stones,3
warm smile,3
simple life,3
own adventure,3
soft murmurs,3
apple orchards,3
magnificent tree,3
human spirit,3
leyla… leyla…,3
watchful gaze,3
rich cultural heritage,3
delicious food,3
ancient traditions,3
inexplicable pull,3
small town,3
small backpack,3
faint whisper,3
vibrant bazaars,3
whispering pines,3
vibrant flowers,3
long forgotten,3
picturesque town,3
ancient oak tree,3
starlit sky,3
kind heart,3
oak tree,3
sea goddess,3
charming town,2
dear friend,2
secret clearings,2
sweet melodies,2
small stage,2
evening breeze,2
grand festival,2
new generation,2
new voice,2
insatiable desire,2
favorite scarf,2
modest home,2
magic exists,2
folk songs,2
curious eyes,2
modern distractions,2
vibrant spirit,2
heavy wooden doors,2
long white beard,2
instant connection,2
ancient spirits,2
ancient willow,2
forgotten melodies,2
long black hair,2
bright green eyes,2
immediate connection,2
brave heart,2
dark force,2
old owl,2
fierce dragon,2
deepest fears,2
true self,2
spiral staircase,2
brilliant light,2
lush valleys,2
magical realm,2
golden sun,2
long silver hair,2
daily life,2
mountain peak,2
central square,2
fellow villagers,2
unfamiliar symbols,2
new stories,2
own adventures,2
newfound friendship,2
warm hospitality,2
unique culture,2
true essence,2
renowned storyteller,2
proud smile,2
renowned artist,2
long past,2
air thick,2
unspoken words,2
sun setting,2
waves dance,2
peace envelop,2
transcend time,2
inviting friends,2
true strength,2
sea kisses,2
azure sky,2
village elders,2
ancient wisdom,2
chill run,2
vivid pictures,2
true guardian,2
ordinary girl,2
modest house,2
golden hues,2
magical creatures,2
city life,2
ancient warriors,2
new tales,2
verdant hills,2
fresh bread,2
ancient manuscript,2
stone walls,2
different cultures,2
cultural festival,2
local artists,2
traditional music,2
center stage,2
serene beauty,2
eternal life,2
intricate carpets,2
untold stories,2
rocky slopes,2
dark clouds,2
dark sky,2
true nature,2
true treasure,2
azure skies,2
bid farewell,2
lush meadows,2
life woven,2
small shop,2
ancient secrets,2
own experiences,2
deep appreciation,2
lush green valleys,2
dense forests,2
steep hills,2
playful fox,2
large rock,2
silent guardian,2
melodic voice,2
rocky ledge,2
keen eyes,2
eerie stillness,2
rare flower,2
forest floor,2
great courage,2
faces alight,2
inquisitive eyes,2
pure hearts,2
ancient rock carvings,2
national park,2
cultural identity,2
legacy continues,2
drawing visitors,2
forgotten melody,2
quest begins,2
deep bond,2
rocky outcrops,2
traditional mugham,2
sweet pastries,2
brave girl,2
brilliant display,2
grand pine tree,2
master musician,2
melody worthy,2
vivacious spirit,2
strange pull,2
warm light,2
rich culture,2
eternal bond,2
black hair,2
master weaver,2
town square,2
handmade crafts,2
young boy,2
oral traditions,2
fierce determination,2
crisp autumn afternoon,2
autumn evening,2
ancient carvings,2
bright hazel eyes,2
brave warriors,2
intricate tapestry,2
flame towers,2
vibrant bazaar,2
precious heirlooms,2
favorite spot,2
individual gain,2
true wealth,2
rocky outcrop,2
villagers lit lanterns,2
main square,2
rhythmic beats,2
shiver run,2
cherry blossoms,2
collaborative journey,2
ancient people,2
tea gardens,2
old willow tree,2
final trial,2
grand hall,2
qədim daxma,2
vibrant streets,2
vibrant green,1
idyllic town,1
curious spirit,1
humble farmer,1
fertile land,1
local market,1
small hands learning,1
peculiar sight,1
familiar hills,1
ears—a melodic,1
short trek,1
ancient walnut trees,1
colorful traditional outfits,1
friendship envelop,1
distant echoes,1
glade whenever,1
new games,1
faraway lands,1
idyllic days,1
old walnut tree,1
distant star,1
nearby hill,1
beautiful crystals,1
magnificent figure—the spirit,1
knowledge flow,1
beautiful day,1
wooden house,1
fingers glide,1
familiar rhythms,1
old dance steps,1
young soul,1
grand oak tree,1
laughter filling,1
intricate melodies,1
small gatherings,1
farthest corners,1
whole community,1
silent witnesses,1
beautiful reminder,1
weaves generations,1
eternal dance,1
full bloom,1
brown eyes,1
small yard,1
beautiful tales,1
colorful patterns,1
open window,1
imaginable color,1
magical garden,1
mythical garden,1
yellows brighter,1
ornate fountain,1
electric thrill surge,1
starlit skies,1
gentle smile,1
vibrant petals,1
familiar scents,1
good news,1
new joys,1
small ways,1
open space,1
small pot,1
simple act,1
cheerful laughter,1
true happiness,1
twinkle overhead,1
quaint cottage,1
tree bore,1
sweetest fruits,1
wooden porch,1
grandfather vidadi,1
voice sweet,1
great composer,1
heritage resonate,1
father figure,1
cold evening,1
young face,1
frail hands,1
cold night,1
fragile echo,1
people resonate,1
heritage fade,1
peaceful smile,1
profound emptiness,1
vibrant parks,1
cultural festivals,1
renowned musician,1
cultural preservation,1
fateful summer evening,1
grand audience,1
prestigious festival,1
true power,1
captivating tales,1
rich aroma,1
lively chaos,1
water flow,1
far-off lands,1
fateful afternoon,1
old quarter,1
narrow cobblestone streets,1
undeniable grace,1
ancient library,1
musty scent,1
old books,1
young seeker,1
spirits return,1
ancient willow tree,1
great willow,1
lay atop,1
eagle dive,1
feather fall,1
lit cave,1
protective spirit,1
great guardian,1
pure intentions,1
inner light,1
heavy basket,1
true compassion,1
powerful wind,1
blue lake,1
strange energy,1
gentle ripples,1
fantastical creatures,1
ancient battles,1
majestic castles,1
beautiful gardens,1
opposite bank,1
ethereal girl,1
brilliant shade,1
iridescent leaves,1
magnificent castle,1
playful creatures,1
delicate wings,1
brave traveler,1
magical artifacts,1
thoughtful contemplation,1
countless adventures,1
flower spirit,1
final confrontation,1
mere trinkets,1
tiny fragments,1
grand feast,1
inspire dreams,1
endless possibilities,1
soft rustle,1
new day,1
smooth stones,1
particular morning,1
narrow path,1
gentle melody,1
trunk thick,1
beautiful melody,1
great legacy,1
soft moss,1
fierce warriors,1
wise women,1
beauty—a dance,1
own memories,1
serene smile,1
pride evident,1
ancient lullabies sung,1
peaceful exterior,1
souls home,1
