Noun Phrase,Count
whispering woods,184
deep breath,101
’ s heart,93
small village,58
’ s eyes,54
curious girl,53
gentle breeze,49
sunny afternoon,47
bright blue eyes,45
magical creatures,43
adventurous spirit,33
warm glow,33
sweet scent,32
vibrant colors,28
sunny morning,28
old owl,27
soft voice,27
brave heart,27
night sky,27
vibrant flowers,26
wise owl,26
new friends,25
heart swelling,24
brave girl,23
warm light,23
's heart,23
pure heart,22
golden light,21
golden sunflower,21
golden oak,21
green hills,19
ancient oak tree,18
soft glow,17
curious boy,17
crystal flower,17
kind heart,16
sunflower fields,16
golden glow,15
brilliant light,15
golden hue,15
magical forest,15
delicate wings,15
treasure map,14
dark cloud,14
colorful flowers,14
deep voice,14
brown hair,14
forest floor,14
sunflower field,14
dark shadow,13
magical place,13
playful shadows,13
tiny hands,13
magical sunflower,13
bright green eyes,13
shadow thief,13
final challenge,12
blue eyes,12
young readers,12
glow brighter,12
's eyes,12
tiny fairy,12
’ s expression,12
borislav,12
quaint village,11
small backpack,11
golden sunflowers,11
magic sunflower,11
village square,11
golden bird,11
shadow keeper,11
enchanted woods,11
golden beets,11
whispering pines,11
narrow path,10
true treasure,10
intricate carvings,10
gentle voice,10
soft whispers,10
secret garden,10
legend,10
color thief,10
lika,10
shadow beast,10
liska,10
curiosity,10
shadow caster,10
lunia,10
baba lena,10
’ s words,10
whisper,10
borscht,10
bilo,10
rurik,10
strange symbols,9
new adventures,9
years,9
’ s bravery,9
warm smile,9
forest * * * * chapter,9
rainbow stone,9
homeward bound,9
riddle,9
have,9
forest. ”,9
tall trees,9
new friend,9
old owls,9
vysokyi,9
dear child,9
soft light,9
please,9
melodic voice,9
sunflowers,9
sun shone,9
silver feather,9
it. ”,9
excuse,9
laughter,9
ancient trees,9
starlit pysanky,9
rolo,9
ruslan,9
# # # chapter,9
magic stars,9
lumina,9
thunder,9
cossack,9
adventure begins,8
great power,8
you. ” * * chapter,8
share,8
small bag,8
ancient tree,8
singing,8
okay,8
glade,8
giant sunflower,8
test,8
young adventurer,8
andriy,8
others. ”,8
tear,8
yours. ”,8
favorite place,8
moonstone,8
bohdan,8
hoots,8
tysia,8
babka zirka,8
dnipro,7
village. ”,7
shadowy figure,7
small satchel,7
blossom,7
golden fields,7
dark cave,7
gathering,7
piko,7
village * *,7
bushy tail,7
final destination,7
rough bark,7
magical world,7
dark clouds,7
big oak tree,7
morana,7
dewdrop,7
cool water,7
sweet melodies,7
old oak tree,7
morning dew,7
hollow tree,7
old oak,7
you. ” “,7
joy,7
# # #,7
sol,7
shooting,7
medvied,7
birch tree,7
crystal star,7
soniashnyk,7
wild curls,6
’ s hands,6
wise eyes,6
join,6
invitation * *,6
climb trees,6
grandmother ’ s,6
tiny figure,6
riddle. ”,6
magnificent tree,6
brave adventurers,6
caves,6
carpathian,6
treasure,6
vast fields,6
vibrant fields,6
sound brave,6
’ s time,6
discovery,6
singing stone,6
rainbow feather,6
silver stream,6
nearby woods,6
trunk thick,6
creatures,6
wish. ”,6
carefully,6
own adventures,6
soft breeze,6
friendship. ”,6
tiny creature,6
brave,6
voice melodic,6
instantly,6
kindness. ”,6
low growl,6
young girl,6
magical items,6
trok,6
chestnut hair,6
silver acorn,6
zelenograd,6
semyon,6
glimmerstone,6
magical seeds,6
yeti,6
pasha,6
baba larysa,6
stone,6
element,6
moroz,6
great responsibility,5
deep connection,5
sunlight,5
’ s lair,5
trials,5
mischievous fox,5
shiver run,5
“ trust,5
help. ”,5
curious little girl,5
big brown eyes,5
insatiable thirst,5
kind eyes,5
challenge. ”,5
young traveler,5
playful squirrels,5
friend,5
curious eyes,5
wide eyes,5
true. ”,5
magical adventure,5
promise,5
them. ”,5
golden petals,5
newfound determination,5
great job,5
tiny stars,5
small door,5
tallest tree,5
emerging,5
vyshyvanka,5
insatiable curiosity,5
forest creatures,5
golden wheat,5
grandmother ’ s attic,5
gentle hands,5
kind girl,5
short walk,5
way. ”,5
mysterious discovery,5
realm,5
smooth stones,5
absolutely,5
melodious voice,5
bright eyes,5
chill run,5
forest ’ s,5
feeling,5
mystical creatures,5
star crystal,5
colorful birds,5
rightful place,5
earth,5
blue stone,5
shadow hollow,5
everyone,5
restoring,5
giant tree,5
tiny lights,5
blue flower,5
newfound friends,5
final seed,5
stone pedestal,5
lush green fields,5
dreamstone,5
mriyka,5
silver path,5
sava,5
mystical,5
wind spirit,5
silver birch,5
vika,5
sunny meadows,4
grand adventure,4
wonders,4
’ s adventurous spirit,4
intricate patterns,4
it. ” “,4
meadow * *,4
mountain,4
bright light,4
red eyes,4
dawn,4
summer sky,4
mikhail,4
hold,4
open locks,4
heart race,4
meeting,4
whispering woods.,4
all. ”,4
tiny hand,4
tall grass,4
grand oak tree,4
help. ” * * chapter,4
rainbow,4
cheerful girl,4
brave knights,4
clever,4
favorite book,4
standing,4
mischievous grin,4
celebration * *,4
small fox,4
bright orange fur,4
majestic tree,4
home. ”,4
squirrel,4
’ ll show,4
enchanted fountain,4
dance,4
isn,4
young boy,4
brave explorer,4
hidden path,4
enchanted clearing,4
soft giggle,4
door,4
secrets,4
shadow,4
’ s surprise,4
silver hair,4
magic. ”,4
grant wishes,4
true courage,4
magic exists,4
magical crystal,4
hand,4
sun,4
golden sunflower pendant,4
mama,4
strange warmth,4
rainbow waterfall,4
warm sun,4
fairies,4
waiting,4
pool,4
hero,4
sunflower.,4
deep sense,4
courage. ”,4
cozy room,4
small creature,4
haven ’ t,4
majestic owl,4
golden rays,4
little,4
darkness flies,4
bid farewell,4
