Noun Phrase,Count
san marino,600
whispering stones,55
cobblestone streets,28
rich history,25
nonna rosa,22
heart swelling,20
intricate carvings,19
old man,15
young historian,15
golden hue,14
olive trees,14
warm glow,14
true treasure,14
young woman,13
stone walls,13
guaita tower,13
elderly man,12
whispering towers,12
steep path,11
golden glow,11
town square,11
deep breath,11
rich tapestry,10
small republic,10
ancient trees,10
rich heritage,9
crisp autumn morning,9
young girl,9
vibrant colors,9
narrow streets,8
medieval architecture,8
childhood friend,8
deep connection,8
quest begins,8
ancient stones,8
long shadows,8
tiny republic,8
state museum,8
ornate chest,8
palazzo pubblico,8
san marino.,8
local historian,7
atop mount,7
ancient scrolls,7
narrow alleyways,7
medieval towers,7
newfound purpose,7
insatiable curiosity,7
# # # # chapter,7
ancient republic,7
elena rossi,7
full moon,7
dusty tomes,6
own stories,6
saint marinus,6
nonno marco,6
ancient towers,6
adventurous spirit,6
gathering storm,6
long forgotten,6
ancient stone,6
long past,6
san marino—a,6
stone pedestal,6
small village,6
cool breeze,5
warm smile,5
warm light,5
ancient walls,5
journey begins,5
dark curls,5
legacy continues,5
unbreakable bond,5
ancient streets,5
future generations,5
secret society,5
golden light,5
crystal heart,5
profound sense,5
gentle breeze,5
narrow alleys,5
your grace,5
stone whisperer,5
ancient manuscript,4
damp earth,4
low rumble,4
treasure trove,4
inexplicable connection,4
stone bench,4
distant lands,4
ancient city,4
ancient artifact,4
ornate box,4
ancient stone walls,4
dark hair,4
small satchel,4
whispering walls,4
soft light,4
setting sun,4
heavy wooden door,4
blue eyes,4
fateful night,4
final confrontation,4
sun cast,4
her—a desire,4
deep sense,4
air thick,4
monte titano,4
small chamber,4
cool surface,4
new chapter,4
fellow citizens,4
san marino—the,4
narrow staircase,4
mythical creatures,4
whisper secrets,4
gold coins,4
intricate designs,4
dark force,4
ancient carvings,4
ancient texts,4
signora rosa,4
tapestry woven,4
olive groves,4
final trial,4
dense forests,4
nonna lucia,4
rocky terrain,4
main square,4
whispering woods,4
signor marco,4
maestro lorenzo,4
ancient stone towers,3
wild herbs,3
search begins,3
codex secretum,3
