Noun Phrase,Count
whispering pines,80
young girl,28
small village,23
whispering shadows,17
gentle breeze,15
cobblestone streets,15
deep breath,15
whispering willow,15
whispering woods,14
young woman,13
warm glow,12
elderly man,12
heart swelling,11
pure heart,10
ancient oak,10
vibrant colors,10
old man,10
golden hue,9
dear child,9
adventurous spirit,9
wise woman,9
quaint village,8
forest floor,8
golden light,8
chestnut hair,7
open arms,7
oak tree,7
young man,7
own stories,7
rough bark,7
mr. szilágyi,7
insatiable curiosity,7
soft rustle,6
warm smile,6
curious spirit,6
buda castle,6
sunny afternoon,6
cherry blossoms,6
lavender fields,6
autumn leaves,6
ancient oak tree,6
silver hair,6
distant lands,5
bright green eyes,5
brilliant light,5
soft breeze,5
sweet scent,5
warm embrace,5
town square,5
night sky,5
rich history,5
deep connection,5
soft whisper,5
gentle rustle,5
golden glow,5
journey begins,5
dark hair,5
colorful houses,4
blue eyes,4
soft voice,4
ancient trees,4
inexplicable pull,4
small cottage,4
chill run,4
golden rays,4
true treasure,4
vibrant culture,4
vivid images,4
old woman,4
úgy érezte,4
soft glow,4
ancient tree,4
dense forests,4
newfound purpose,4
vibrant tapestry,4
– mondta,4
whispering cedar,4
szív tüzét,4
kék tó,4
magical creatures,3
green eyes,3
own paths,3
close-knit community,3
crisp autumn afternoon,3
vibrant green,3
stark contrast,3
ornate box,3
tapestry woven,3
chimney cakes,3
family gatherings,3
mr. ferenc,3
faint whispers,3
gentle waves,3
warm golden hue,3
young couple,3
moonlit nights,3
willow tree,3
newfound determination,3
rich tapestry,3
autumn afternoon,3
ancient spirits,3
akik hisznek,3
autumn evening,3
elderly woman,3
tölgyfa alatt ült,3
slender trunks,3
simple lives,3
forgotten tales,3
ancient pine tree,3
fateful day,3
familiar sights,3
powerful force,3
anna szabo,3
stories woven,3
tall man,3
whispering willows,3
distant laughter,3
wooden box,3
már tudom,3
own journeys,3
small town,3
family shop,3
window seat,3
countless others,3
narrow path,3
young boy,3
centuries past,3
curious girl,3
mythical creatures,3
elfeledett mesék,3
full moon,3
pine trees,3
starlit sky,3
transcends time,3
adventurous soul,2
far-off places,2
magical spring,2
earthy scent,2
ethereal figure,2
ancient wisdom,2
red wine,2
colorful flowers,2
fiery red hair,2
ancient legends,2
part ii,2
forgotten stories,2
small chamber,2
voice firm,2
glow brighter,2
energy flow,2
part iii,2
part iv,2
drawing strength,2
part v,2
profound sense,2
magical place,2
brown hair,2
bright blue eyes,2
quiet moments,2
bittersweet farewell,2
radiant smile,2
rustic charm,2
favorite spot,2
ethereal glow,2
strange energy,2
ancient willow tree,2
white dress,2
long hair,2
real treasure,2
days painting,2
material wealth,2
crisp evening,2
grand festivals,2
daily struggles,2
local historians,2
homemade pastries,2
old days,2
pride swelling,2
anna lászló,2
childhood home,2
own life,2
ornate mirror,2
picturesque village,2
young lady,2
twilight sky,2
vibrant paintings,2
fellow artists,2
silvery glow,2
human spirit,2
boundless curiosity,2
outside world,2
damp earth,2
distant call,2
warmth radiate,2
massive oak tree,2
modern life,2
educate others,2
# # #,2
de anna,2
hogy felfedezi,2
szeme elé,2
aranyhajú tündér,2
világ tele van csodákkal,2
aki először beszélt vele,2
nap lenyugodott,2
vibrant hues,2
long forgotten,2
golden leaves,2
chimney smoke,2
strange connection,2
own experiences,2
deep sense,2
inviting friends,2
fa alatt,2
fák között,2
és hogy,2
village life,2
massive pine tree,2
small island,2
thorny bushes,2
mystical creatures,2
soft whispers,2
footsteps light,2
water crystal,2
crystal-clear water,2
gentle touch,2
final challenge,2
way home,2
conspiratorial whisper,2
stone structure,2
ancient walls,2
thread woven,2
picturesque city,2
late autumn,2
young historian,2
ancient legend,2
nearby cafés,2
everyday lives,2
fateful night,2
gentle hum,2
future generations,2
constant reminder,2
crisp air,2
treasure hunt,2
sour cream,2
ancient oaks,2
unspoken bond,2
old wooden bench,2
cool earth,2
collective spirit,2
hol nem volt,2
„ üdvözöllek,2
egyre közelebb kerültek egymáshoz,2
szívében érezte,2
úgy döntöttek,2
és arról,2
ripe apples,2
forgotten dreams,2
old oak,2
picturesque landscapes,2
vibrant energy,2
fierce battle,2
own tales,2
familiar presence,2
spirit unbroken,2
warm golden light,2
own story,2
own children,2
old friend,2
úgy érzem,2
férfi szemébe nézett,2
vibrant flowers,2
warm golden glow,2
resilient spirit,2
vibrant history,2
warm pulse,2
gentle smile,2
summer days,2
village square,2
gentle embrace,2
intricate designs,2
old workshop,2
creaky door,2
cedar tree,2
brave heroes,2
faraway places,2
restore balance,2
fellow villagers,2
lush fields,2
stone walls,2
harmonious melody,2
az elfeledett mesék,2
víz felszínére,2
„ én vagyok,2
bölcsesség könyve,2
bátorság pajzsa,2
bölcsesség könyvét,2
bátorság pajzsát,2
crisp autumn morning,2
playful shadows,2
keleti railway,2
everyday life,2
new stories,2
hogy jobban megértsék,2
dusty tome,2
true treasures,2
setting sun,2
inexplicable connection,2
old station,2
bid farewell,2
inspire others,2
ancient pines,2
dark path,2
vibrant flower gardens,1
evening gatherings,1
fateful afternoon,1
nearby forest,1
crystal-clear spring,1
melodic voice,1
delicate wings,1
tiny hand,1
