story_id,sentiment,confidence,model,date
MN_1,joy,0.96,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
MN_2,joy,0.98,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
MN_3,joy,0.98,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
MN_4,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
MN_5,fear,0.77,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
MN_6,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
MN_7,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
MN_8,fear,0.59,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
MN_9,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
MN_10,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
MN_11,joy,0.97,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
MN_12,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
MN_13,joy,0.98,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
MN_14,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
MN_15,anger,0.59,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
MN_16,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
MN_17,joy,0.98,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
MN_18,joy,0.54,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
MN_19,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
MN_20,fear,0.69,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
MN_21,fear,0.49,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
MN_22,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
MN_23,joy,0.96,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
MN_24,joy,0.94,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
MN_25,joy,0.84,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
MN_26,joy,0.96,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
MN_27,fear,0.71,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
MN_28,fear,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
MN_29,fear,0.97,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
MN_30,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
MN_31,joy,0.81,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
MN_32,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
MN_33,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
MN_34,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
MN_35,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
MN_36,fear,0.76,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
MN_37,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
MN_38,joy,0.48,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
MN_39,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
MN_40,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
MN_41,fear,0.82,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
MN_42,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
MN_43,joy,0.86,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
MN_44,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
MN_45,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
MN_46,joy,0.83,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
MN_47,fear,0.98,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
MN_48,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
MN_49,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
MN_50,joy,0.98,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
