Word,Frequency
story,423
heart,418
voice,291
hope,290
village,256
feel,250
share,244
dream,236
day,223
fear,214
begin,207
face,191
eye,177
kabul,176
stand,175
child,172
life,171
whisper,165
mountain,163
like,163
woman,163
spirit,161
resilience,159
fill,154
world,142
find,141
villager,140
laughter,138
wind,137
man,137
family,134
gather,133
echo,133
home,133
people,132
city,132
sun,126
know,120
change,117
weave,116
future,115
girl,114
strength,112
air,111
come,110
evening,108
community,105
young,103
speak,103
word,102
garden,101
tale,100
small,99
say,98
journey,97
turn,96
time,95
night,94
learn,92
shadow,92
love,92
valley,90
long,89
carry,88
let,88
thread,85
set,85
continue,85
hand,85
light,84
new,84
kite,84
return,84
leave,84
street,84
sound,84
grow,83
vibrant,81
sense,79
tapestry,79
fight,78
moment,78
sky,78
sit,77
year,76
friend,75
week,75
afghanistan,74
way,73
past,73
rise,73
inspire,72
land,71
approach,71
grandmother,71
pass,71
create,70
race,70
hold,69
old,69
father,69
beauty,69
silence,68
dance,68
take,68
live,67
help,67
listen,67
work,66
tree,66
seek,66
hear,66
unity,65
weight,65
power,64
determination,64
group,64
close,63
place,63
step,63
conflict,62
ignite,60
chaos,60
cast,59
darkness,59
symbol,59
mother,59
courage,59
color,59
distant,58
joy,58
knowledge,58
reminder,58
look,58
tell,57
watch,56
name,54
smile,54
generation,54
elder,53
struggle,53
lose,53
dark,52
want,52
remember,52
strong,52
amidst,51
war,51
peace,51
reach,51
testament,50
school,50
title,50
bring,49
taliban,49
education,48
flower,48
teach,48
ask,48
paint,48
art,47
dip,47
song,47
outside,47
uncertainty,46
path,46
steady,46
follow,45
reply,45
wall,45
history,45
culture,45
dawn,44
forward,44
transform,44
ancient,44
ancestor,44
deep,44
wisdom,44
gathering,44
join,43
bright,43
star,43
adventure,42
horizon,42
promise,42
remain,42
beneath,42
away,42
tear,42
month,42
loom,41
realize,40
hue,40
right,40
river,39
secret,39
resonate,39
protect,39
organize,38
violence,38
nod,38
festival,38
freedom,38
excitement,38
challenge,37
fire,37
pride,37
legacy,37
memory,37
swell,37
meet,37
need,36
play,36
storm,36
baba,35
pound,35
fabric,34
crowd,34
news,34
kunar,34
resolve,34
connection,34
bravery,34
glow,33
warm,33
rugged,33
bustling,33
break,33
draw,33
form,33
scent,32
herat,32
heavy,32
market,32
curiosity,32
fade,32
figure,32
decide,32
despair,32
far,32
illuminate,31
beacon,31
etch,31
flourish,31
support,31
remind,31
despite,31
believe,31
shout,31
thought,31
morning,31
surge,30
flicker,30
embrace,30
tension,30
plan,30
walk,30
soft,30
boy,30
mural,30
rush,30
travel,30
guide,30
wide,30
golden,30
shape,29
unite,29
bond,29
local,29
reality,29
treasure,29
shoulder,29
afghan,29
see,29
safe,28
stay,28
matter,28
surround,28
purpose,28
landscape,28
hide,28
field,28
shine,28
prepare,28
alive,28
notice,28
carpet,28
fall,27
experience,27
understand,27
fateful,27
warmth,27
blossom,27
plant,27
write,26
erupt,26
tradition,26
spread,26
adorn,26
loss,26
press,26
spark,26
neighborhood,26
tall,26
reflect,26
worry,26
urge,26
endure,26
hair,25
later,25
thrive,25
discuss,25
forget,25
breath,25
piece,25
familiar,25
lead,25
think,24
emerge,24
bamiyan,24
bloom,24
passion,24
seed,24
tremble,24
turmoil,24
breeze,23
spend,23
mind,23
settle,23
celebrate,23
narrative,23
shift,23
grip,23
fly,23
high,23
sparkle,23
afternoon,23
scar,23
nurture,23
declare,23
orange,22
intertwine,22
pull,22
invite,22
daughter,22
end,22
soar,22
cave,22
modest,22
sing,22
presence,22
wildflower,22
melody,22
battle,21
safety,21
danger,21
sanctuary,21
glance,21
refuse,21
intently,21
call,21
threat,21
hindu,21
homeland,21
chest,21
kush,21
arrive,21
peak,21
discover,21
slowly,21
epilogue,21
leader,21
finally,21
heritage,21
cry,20
narrow,20
gunfire,20
great,20
explore,20
wander,20
belong,20
crumble,20
whispering,20
tightly,20
clutch,20
flame,20
gaze,20
open,20
nestle,20
ready,20
well,20
ahead,20
water,20
intricate,19
adversity,19
brother,19
true,19
mix,19
mingle,19
earth,19
root,19
defiance,19
witness,19
storyteller,19
forge,19
rooftop,19
stumble,19
book,19
meeting,19
reclaim,19
hill,19
course,19
center,19
thick,19
harsh,19
encounter,19
represent,18
country,18
sink,18
softly,18
move,18
poet,18
traditional,18
pomegranate,18
envelop,18
aroma,18
silent,18
wish,18
ground,18
remnant,18
hour,18
happen,18
desire,18
teacher,18
bind,18
stone,18
welcome,18
wash,18
dare,18
soldier,18
refuge,17
anticipation,17
fierce,17
catch,17
music,17
firefly,17
branch,17
exchange,17
stark,17
captivate,17
visit,17
understanding,17
unwavering,17
low,17
ensure,17
gentle,17
hero,17
letter,17
expression,17
armed,17
pause,17
