story_id,sentiment,confidence,model,date
BZ_1,joy,0.86,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
BZ_2,joy,0.98,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
BZ_3,joy,0.98,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
BZ_4,joy,0.82,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
BZ_5,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
BZ_6,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
BZ_7,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
BZ_8,joy,0.9,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
BZ_9,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
BZ_10,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
BZ_11,fear,0.81,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
BZ_12,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
BZ_13,joy,0.93,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
BZ_14,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
BZ_15,joy,0.96,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
BZ_16,sadness,0.46,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
BZ_17,joy,0.98,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
BZ_18,sadness,0.74,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
BZ_19,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
BZ_20,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
BZ_21,sadness,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
BZ_22,fear,0.95,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
BZ_23,sadness,0.98,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
BZ_24,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
BZ_25,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
BZ_26,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
BZ_27,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
BZ_28,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
BZ_29,fear,0.55,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
BZ_30,fear,0.86,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
BZ_31,joy,0.96,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
BZ_32,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
BZ_33,joy,0.98,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
BZ_34,fear,0.96,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
BZ_35,fear,0.97,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
BZ_36,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
BZ_37,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
BZ_38,fear,0.85,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
BZ_39,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
BZ_40,fear,0.89,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
BZ_41,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
BZ_42,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
BZ_43,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
BZ_44,joy,0.98,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
BZ_45,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
BZ_46,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
BZ_47,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
BZ_48,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
BZ_49,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
BZ_50,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
