Word,Frequency
story,551
heart,392
river,373
village,336
spirit,299
share,273
feel,267
voice,256
eye,220
whisper,217
baobab,212
like,212
begin,205
tale,195
villager,191
day,185
journey,185
sun,184
ancestor,183
tree,171
people,166
water,161
listen,157
find,152
wind,145
niger,140
learn,140
land,140
speak,139
wisdom,138
gather,137
stand,136
dream,135
fill,129
know,128
weave,127
child,125
face,123
echo,123
life,120
come,118
desert,113
tell,111
air,111
set,109
world,108
evening,106
woman,105
dance,105
past,103
night,103
seek,102
young,98
festival,98
say,96
laughter,95
word,95
carry,93
sky,92
community,92
sit,92
hear,92
return,91
ancient,90
vibrant,89
flow,88
time,88
great,87
generation,86
guide,85
baba,85
deep,83
elder,83
continue,82
adventure,81
sand,81
connection,80
old,80
cast,80
knowledge,80
understand,78
home,78
place,77
future,77
star,76
sound,76
approach,76
drum,75
way,75
pass,75
girl,75
earth,75
power,74
strength,74
beneath,74
hold,74
sense,72
smile,72
horizon,72
turn,71
history,71
legacy,71
year,70
race,70
glow,69
koro,68
hope,68
light,67
music,67
father,67
honor,66
embrace,66
grandmother,66
moment,66
excitement,65
inspire,65
hand,64
treasure,64
small,62
new,62
culture,61
storyteller,61
rhythm,61
long,60
secret,59
city,59
ask,59
warm,59
change,58
take,58
man,58
close,58
golden,58
resilience,58
love,58
play,57
unity,57
tapestry,57
heritage,56
call,56
grow,55
step,55
watch,55
fear,54
rise,54
leave,54
oasis,54
fabric,53
friend,53
bring,53
name,52
timbuktu,52
courage,51
dip,51
want,51
title,50
look,50
song,49
pride,49
resonate,48
tradition,48
travel,48
live,48
let,47
help,47
purpose,47
lesson,46
sparkle,46
fire,46
follow,46
determination,46
hue,45
reach,44
nod,44
week,44
vast,44
reply,43
color,43
mind,42
riverbank,42
family,42
alive,42
guardian,42
intricate,42
wise,41
remember,41
work,41
believe,41
root,40
paint,40
explore,40
create,40
realize,40
thread,40
importance,40
gathering,40
see,39
wide,39
joy,39
respect,39
discover,38
crowd,38
challenge,38
path,37
dune,37
market,37
celebrate,37
celebration,37
bank,37
melody,36
weight,36
connect,36
teach,36
curiosity,36
sahara,36
amulet,36
protect,36
open,35
bond,35
strong,35
reflect,35
forward,35
twinkle,35
lose,35
essence,34
edge,34
surround,34
present,34
shape,33
steady,33
bamako,32
intently,32
distant,32
dawn,32
true,32
thrive,32
transform,31
landscape,31
gift,31
intertwine,31
symbol,31
adorn,31
keeper,31
prepare,31
far,31
street,31
energy,31
soft,31
fade,30
join,30
craft,30
reveal,30
beat,30
fall,30
pound,30
gentle,30
walk,30
griot,30
flourish,29
gaze,29
experience,29
trial,29
ignite,29
forest,29
swell,29
beauty,29
anticipation,29
orange,29
breeze,28
encounter,28
unite,28
struggle,28
breath,28
colorful,28
center,28
silver,28
welcome,28
tear,28
lead,28
rich,28
tremble,28
nature,27
segou,27
scent,27
envelop,27
need,27
bracelet,27
low,27
remind,27
fish,27
hide,27
draw,27
bravery,26
shadow,26
thick,26
bridge,26
illuminate,26
wish,26
traditional,26
mother,26
meet,26
shimmer,26
truth,25
belong,25
understanding,25
stumble,25
newfound,25
whispering,25
organize,25
bright,25
emerge,25
figure,25
scholar,24
bamanan,24
thought,24
bustling,24
branch,24
reminder,24
spend,24
wait,24
drought,24
recount,24
captivate,24
morning,23
testament,23
away,23
spread,23
magic,23
identity,23
later,23
arrive,23
think,23
passion,23
piece,23
tall,23
deeply,23
swirl,23
venture,22
age,22
art,22
afternoon,22
surge,22
shade,22
resolve,22
storm,22
stall,22
warmth,22
shift,22
foot,22
eager,22
mud,22
memory,22
powerful,22
pull,21
town,21
dark,21
flame,21
rustle,21
spice,21
storytelling,21
vision,21
finger,21
finally,21
library,21
urge,21
forget,21
moon,20
sing,20
decide,20
surface,20
epilogue,20
season,20
silence,20
forever,20
desire,20
remain,20
brick,20
familiar,20
quest,20
ancestors,20
shine,20
rush,20
gently,20
lean,19
uncover,19
expression,19
erupt,19
cool,19
hair,19
trunk,19
renew,19
amidst,19
racing,19
musician,19
preserve,19
test,19
carve,19
kora,19
warrior,19
depth,19
purple,19
promise,19
daughter,19
dare,19
trader,19
fierce,18
today,18
sacred,18
presence,18
ground,18
group,18
ensure,18
pattern,18
guidance,18
month,18
allow,18
sprawl,18
gold,18
kone,18
fight,18
soul,17
mingle,17
imagination,17
ruin,17
determine,17
visit,17
meeting,17
course,17
hidden,17
catch,17
suddenly,17
pulse,17
djembe,17
arm,17
loom,17
exclaim,17
palm,17
closely,17
brave,17
field,16
decision,16
destiny,16
declare,16
bind,16
bury,16
wave,16
spark,16
mix,16
heartbeat,16
choose,16
glimmer,16
ready,16
form,16
settle,16
curious,16
nearby,16
embark,16
rest,16
blend,16
cross,16
concern,16
softly,16
good,15
restore,15
weaving,15
oumar,15
etch,15
empire,15
beautiful,15
takkara,15
wash,15
sidi,15
boy,15
wall,15
outside,15
ah,15
clear,15
skin,15
sight,15
book,15
break,15
wooden,15
inspiration,15
unfold,15
performance,15
study,15
scroll,15
shimmering,15
ripple,15
awe,15
traveler,15
move,14
imagine,14
final,14
pour,14
wonder,14
near,14
wild,14
intrigue,14
note,14
echoes,14
expanse,14
wander,14
string,14
king,14
appear,14
stone,14
textile,14
show,14
storytelle,14
blessing,14
responsibility,14
threaten,14
collect,14
sweep,14
crop,14
hour,14
glisten,14
practice,14
tamba,14
ago,14
garden,14
diara,14
notice,14
medallion,14
well,13
press,13
transcend,13
plant,13
millet,13
spirited,13
spring,13
deepen,13
compassion,13
nestle,13
stage,13
dancer,13
audience,13
applause,13
djeli,13
kneel,13
carving,13
weather,13
hill,13
shoulder,13
mountain,13
tindirma,13
doubt,13
mixture,13
element,13
legend,13
gnarl,13
linger,12
widen,12
reflection,12
weaver,12
flickering,12
capture,12
narrative,12
forge,12
tantalou,12
renowned,12
malian,12
tower,12
pause,12
line,12
creep,12
loss,12
invite,12
insatiable,12
dry,12
harmony,12
arrival,12
lost,12
balance,12
fisherman,12
triumph,12
gain,12
aroma,12
talent,12
moonlight,12
rhythmic,12
education,12
merchant,12
large,12
hero,12
showcase,12
blue,12
stretch,12
answer,12
century,12
gratitude,12
source,11
flicker,11
discovery,11
barely,11
winds,11
support,11
worry,11
murmur,11
sway,11
food,11
mighty,11
alhaji,11
boubacar,11
bird,11
design,11
flower,11
melodic,11
laugh,11
traverse,11
nurture,11
chest,11
creature,11
merely,11
rain,11
jewel,11
bear,11
lush,11
revere,11
action,11
navigate,11
trade,11
sweet,11
witness,11
corner,11
annual,11
cultural,11
despite,11
savannah,11
respond,11
drummer,11
box,11
sands,10
exchange,10
search,10
plan,10
buzz,10
protector,10
mural,10
mean,10
hang,10
cry,10
soar,10
shake,10
profound,10
tirelessly,10
head,10
caravan,10
collective,10
wealth,10
give,10
beacon,10
endure,10
truly,10
prove,10
square,10
chuckle,10
mama,10
beckon,10
different,10
perform,10
hard,10
healer,10
encourage,10
fateful,10
movement,10
majestic,10
news,10
tuareg,10
house,10
grant,10
heal,9
glance,9
pure,9
darkness,9
legendary,9
touch,9
courtyard,9
sanctuary,9
competition,9
guardians,9
mosque,9
ring,9
pack,9
await,9
conclude,9
distance,9
envision,9
brush,9
despair,9
resource,9
following,9
circle,9
save,9
proud,9
entrance,9
plead,9
instrument,9
overhead,9
grove,9
trouble,9
bandiagara,9
clay,9
bark,9
fruit,9
climb,9
sankoré,9
peace,9
dreams,9
brother,9
cloud,9
write,9
run,9
yearn,9
emotion,9
grand,9
heavy,9
rice,9
narrow,9
beginning,9
finish,9
warn,9
spot,9
awake,9
pottery,9
effort,8
bull,8
outsider,8
character,8
rustling,8
issa,8
threat,8
expand,8
image,8
possibility,8
wear,8
herb,8
offer,8
flute,8
expectation,8
stop,8
roam,8
slowly,8
ray,8
legged,8
pot,8
strange,8
battle,8
leader,8
recognize,8
adventurous,8
unwavering,8
happen,8
respected,8
tightly,8
roll,8
local,8
particularly,8
event,8
tonight,8
ahead,8
arid,8
blanket,8
thrill,8
tribe,8
aspiration,8
artisan,8
childhood,8
admire,8
silent,8
greet,8
green,8
idea,8
watchful,8
discuss,8
gasp,8
dogo,8
soften,8
alongside,8
cherish,8
trepidation,8
choice,8
cliff,8
sunlight,8
creativity,8
animal,8
dusty,8
djenne,8
possess,8
special,8
nene,8
opportunity,8
reside,8
awaken,8
drift,8
key,8
workshop,8
conversation,7
prayer,7
mischief,7
modern,7
shout,7
hub,7
message,7
recall,7
agreement,7
hurry,7
blossom,7
tension,7
determined,7
firm,7
flutter,7
creation,7
enter,7
knowingly,7
brim,7
ténéré,7
current,7
sundiata,7
float,7
existence,7
valley,7
greenery,7
rocky,7
carefully,7
raise,7
scene,7
focus,7
space,7
matter,7
soil,7
passionately,7
feeling,7
role,7
rough,7
trials,7
seed,7
longing,7
glint,7
language,7
basket,7
crackle,7
restless,7
niamakoro,7
inside,7
half,7
vein,7
go,7
build,7
region,7
right,7
tug,7
duty,7
quickly,7
depict,7
judge,7
magnificent,7
grill,7
hardship,7
palpable,7
kiss,7
harvest,7
confidence,7
bless,7
ochre,6
greed,6
silk,6
festivity,6
djenné,6
trust,6
tenkodogo,6
visitor,6
safe,6
boat,6
protest,6
koutiala,6
technique,6
complete,6
steep,6
bazaar,6
display,6
woven,6
freely,6
absorb,6
provide,6
quiet,6
manuscript,6
high,6
bake,6
sign,6
neighboring,6
unique,6
sell,6
adversity,6
artist,6
second,6
border,6
replace,6
sogolon,6
higher,6
scatter,6
thunder,6
thank,6
rival,6
yes,6
breathtaking,6
clean,6
meal,6
feather,6
start,6
artifact,6
grandfather,6
recede,6
vastness,6
hesitate,6
force,6
resonant,6
soon,6
seeker,6
end,6
unbreakable,6
forth,6
jollof,6
kindness,6
collection,6
serpent,6
bubble,6
wrap,6
read,6
unlike,6
humanity,6
drumming,6
symbolize,6
thirst,6
sentinel,6
pink,6
sandstorm,6
dear,6
protection,6
twilight,6
marvel,6
talisman,6
pick,6
fail,6
reverence,6
chill,6
skilled,6
rally,6
konna,6
lion,6
discussion,6
howl,6
living,6
camp,6
intricately,6
brilliant,6
sink,6
diamond,6
ségou,6
lower,6
soothe,6
empower,5
learning,5
eternal,5
pool,5
instead,5
essential,5
kind,5
act,5
shelter,5
dust,5
drive,5
infectious,5
try,5
sigh,5
drape,5
wake,5
stories,5
school,5
chant,5
chorus,5
harsh,5
page,5
tablet,5
demand,5
daydream,5
fuel,5
yearning,5
lift,5
victory,5
progress,5
drink,5
boubous,5
unforgiving,5
vessel,5
representative,5
confine,5
belief,5
conflict,5
wandering,5
conclusion,5
summon,5
skill,5
twist,5
beast,5
stomach,5
alike,5
outskirt,5
self,5
agree,5
beautifully,5
burst,5
drop,5
developer,5
suggest,5
unexpected,5
thrum,5
kankan,5
link,5
beam,5
awareness,5
gracefully,5
free,5
remnant,5
nourish,5
gleam,5
master,5
ethereal,5
tune,5
backstage,5
peaceful,5
rumor,5
massive,5
ribbon,5
marketplace,5
miss,5
mysterious,5
danger,5
setting,5
difference,5
waste,5
attract,5
aboubakar,5
stroke,5
vow,5
flood,5
grin,5
vendor,5
makena,5
lifeline,5
accompany,5
cause,5
elderly,5
pulsate,5
solace,5
enchant,5
terrain,5
object,5
thing,5
madame,5
kankou,5
attention,5
claim,5
sudden,5
admiration,5
brightly,5
maybe,5
jewelry,5
ear,5
satchel,5
radiate,5
blaze,5
require,5
worth,5
patience,5
teaching,5
dense,5
encouragement,5
task,5
diallo,5
fate,5
relief,5
pearl,5
unveil,5
friendship,5
mansa,5
neighbor,5
instant,5
sea,5
endlessly,5
sustain,5
bloom,5
instruct,5
ability,5
sword,5
realm,5
youth,5
clothe,5
lullaby,4
endless,4
camel,4
person,4
potential,4
keep,4
caution,4
cherished,4
adapt,4
uncertainty,4
body,4
rekindle,4
farming,4
lantern,4
talk,4
humility,4
rapt,4
council,4
cloak,4
stir,4
valuable,4
countless,4
theirs,4
canvas,4
hush,4
twirl,4
document,4
destine,4
company,4
roar,4
careful,4
lip,4
talented,4
pouch,4
dot,4
tribute,4
rely,4
boundary,4
represent,4
forefront,4
snake,4
timeless,4
niafounké,4
enthusiasm,4
ritual,4
approval,4
