Noun Phrase,Count
olive tree,231
olive trees,205
olive groves,42
olive grove,37
small village,31
village square,28
ancient olive tree,28
heart swelling,27
community center,24
golden hue,24
young woman,21
deep breath,19
olive harvest,17
old olive tree,15
ancient olive groves,14
# # # # chapter,14
warm glow,14
rough bark,12
# # #,12
# # # #,12
olive oil,10
future generations,10
young girl,9
gathering storm,9
ancient olive trees,9
gentle breeze,8
young men,8
golden glow,8
peaceful demonstration,7
long shadows,7
childhood friend,7
harsh realities,7
open arms,7
sweet scent,6
military vehicles,6
young man,6
narrow streets,6
ancient trees,6
peaceful protests,6
deep connection,6
vibrant colors,6
fateful evening,6
old tree,6
ripe olives,5
elderly man,5
social media,5
distant sounds,5
village elders,5
olive branches,5
own story,5
profound connection,5
stark reminder,5
deep sense,5
vibrant tapestry,5
own stories,5
fragile peace,5
profound sense,5
stark contrast,5
dark cloud,5
beit jala,4
voice thick,4
mint tea,4
tight embrace,4
olive leaves,4
silent witnesses,4
air thick,4
dark curls,4
sturdy trunk,4
passionate activist,4
dinner table,4
twelve-year-old girl,4
countless hours,4
elderly woman,4
makeshift stage,4
ancient tree,4
traditional foods,4
traditional songs,4
powerful chorus,4
constant reminder,4
new generation,4
collective strength,4
abu khalil,4
darkest times,4
harvest season,4
palpable sense,4
fateful night,4
narrow cobblestone streets,3
political strife,3
dark clouds,3
young people,3
community meetings,3
constant threat,3
old man,3
once-quiet village,3
golden light,3
peaceful gathering,3
warm golden hue,3
nearby towns,3
rich history,3
generations past,3
international organizations,3
fresh bread,3
fire ignite,3
vibrant village,3
constant reminders,3
young boy,3
local media,3
olive branch,3
bright eyes,3
own children,3
military presence,3
art exhibitions,3
annual olive harvest festival,3
joyous atmosphere,3
harvest festivals,3
spirits unbroken,3
human rights,3
curious eyes,3
common purpose,3
collective spirit,3
tapestry woven,3
harsh reality,3
small victory,3
community workshops,3
distant echoes,3
handmade crafts,3
joy amidst,3
village council,3
drawing attention,3
expressive eyes,3
modest stone house,3
diverse backgrounds,3
nearby city,3
international activists,3
lay awake,3
small hands,3
woven baskets,3
storm approaches,3
silent prayer,3
different backgrounds,3
sunny afternoon,3
evening breeze,3
harvest festival,3
abu omar,3
beit al-maqdis,3
sixteen-year-old girl,2
hearing stories,2
fertile soil,2
thread woven,2
old woman,2
voice devoid,2
world needs,2
stray hair,2
cultural heritage,2
abu khaled,2
harvesting olives,2
loud explosion,2
familiar voice,2
face pale,2
countless stories,2
sun dip,2
brown eyes,2
gunfire rang,2
gentle reminder,2
unbreakable spirit,2
stories woven,2
olive orchards,2
soft melody,2
land speaks,2
riot gear,2
tall amidst,2
international media,2
local authorities,2
colorful ribbons,2
celebration unfold,2
distant rumble,2
painting murals,2
hearts swelling,2
new olive tree,2
shiver run,2
comfort amidst,2
ripple effect,2
hope ignite,2
inviting people,2
annual tradition,2
land remembers,2
favorite olive tree,2
starlit sky,2
distant sirens,2
human chain,2
warmth envelop,2
gentle breeze wrap,2
voice firm,2
small hill,2
true strength,2
new day,2
rich soil,2
children deserve,2
violent clash,2
countless others,2
gathering olives,2
cultural events,2
deep roots,2
wide eyes,2
inviting artists,2
uneasy silence,2
deaf ears,2
palpable force,2
community gatherings,2
bait jala,2
trunk thick,2
new festival,2
youthful optimism,2
small olive,2
childhood laughter,2
foreign land,2
hope amidst adversity,2
daily life,2
local farmers,2
old building,2
tall buildings,2
small bag,2
vibrant souks,2
own struggles,2
political tensions,2
annual festival,2
favorite olive tree—a,2
colorful flowers,2
brainstorm ideas,2
local markets,2
layla al-amin,2
family members,2
new developments,2
local artists,2
hard work,2
recent encroachments,2
young activists,2
security forces,2
small café,2
newfound determination,2
warm embrace,2
wooden box,2
sun setting,2
family history,2
thirteen-year-old girl,2
watchful eyes,2
colorful banners,2
new chapter,2
environmental science,2
own dreams,2
social justice,2
fateful day,2
unspoken tension,2
large olive tree,2
faces grim,2
common ground,2
fresh vegetables,2
symbolizes peace,2
political climate,2
support groups,2
part ii,2
night sky,2
part iii,2
vivid picture,2
different world,2
part iv,2
part v,2
human spirit,2
bright colors,2
community project,2
soft glow,2
traditional music,2
drawing strength,2
outside world,2
local clinic,2
loud crash,2
fifteen-year-old girl,2
ancestral land,2
young olive trees,2
inexplicable connection,2
traditional attire,2
olive tree chronicles,2
deep brown eyes,2
massive olive tree,2
true power,2
support families,2
nearby villages,2
grandmother tree,2
earthy aroma,1
vibrant community,1
