story_id,sentiment,confidence,model,date
YT_1,fear,0.82,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
YT_2,joy,0.46,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
YT_3,fear,0.67,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
YT_4,fear,0.59,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
YT_5,joy,0.89,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
YT_6,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
YT_7,joy,0.58,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
YT_8,fear,0.98,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
YT_9,joy,0.85,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
YT_10,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
YT_11,joy,0.96,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
YT_12,joy,0.96,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
YT_13,fear,0.83,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
YT_14,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
YT_15,anger,0.57,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
YT_16,anger,0.91,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
YT_17,joy,0.98,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
YT_18,fear,0.88,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
YT_19,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
YT_20,joy,0.86,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
YT_21,joy,0.94,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
YT_22,fear,0.57,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
YT_23,joy,0.92,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
YT_24,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
YT_25,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
YT_26,joy,0.82,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
YT_27,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
YT_28,joy,0.77,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
YT_29,fear,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
YT_30,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
YT_31,joy,0.98,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
YT_32,fear,0.84,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
YT_33,fear,0.69,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
YT_34,fear,0.48,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
YT_35,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
YT_36,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
YT_37,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
YT_38,surprise,0.69,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
YT_39,joy,0.86,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
YT_40,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
YT_41,joy,0.57,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
YT_42,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
YT_43,fear,0.42,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
YT_44,joy,0.97,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
YT_45,joy,0.76,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
YT_46,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
YT_47,joy,0.88,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
YT_48,fear,0.6,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
YT_49,fear,0.97,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
YT_50,joy,0.97,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
