Word,Frequency
island,588
aruba,486
heart,473
feel,456
story,304
find,263
share,230
sun,223
spirit,207
water,199
beach,196
life,196
ocean,190
eye,189
local,184
voice,177
wave,175
know,174
vibrant,168
day,159
whisper,153
fill,149
connection,147
treasure,147
adventure,146
begin,146
people,145
sea,144
like,142
say,139
beauty,138
sense,129
tree,129
return,124
journey,119
divi,116
stand,113
explore,113
cave,111
culture,110
set,110
love,110
small,110
new,109
air,108
dream,104
deep,101
place,100
smile,99
sky,98
time,97
moment,95
hand,92
seek,91
tale,91
coral,91
come,90
warm,90
sand,90
take,89
listen,88
shore,88
secret,87
sound,86
light,86
world,86
horizon,86
dance,86
embrace,85
laughter,85
beneath,84
way,83
excitement,82
race,82
home,81
history,80
echo,79
close,79
hide,79
night,77
hold,76
legend,76
speak,73
face,73
step,73
evening,72
protect,72
leave,71
grandmother,71
ancient,70
cast,70
turn,70
reply,69
paint,69
color,68
discover,67
landscape,67
guide,66
long,66
past,66
magic,65
sit,65
year,63
community,63
golden,63
approach,63
experience,62
watch,61
realize,60
stone,59
festival,59
look,59
promise,58
inspire,58
glow,58
caribbean,57
warmth,57
sparkle,56
breeze,56
spend,56
away,56
old,55
pass,54
reach,54
wind,54
open,54
surface,54
word,54
energy,53
ask,52
passion,52
legacy,52
art,52
beautiful,52
capture,51
land,51
hue,51
gather,50
need,50
alive,50
tell,50
man,50
create,49
meet,49
continue,49
title,49
grow,49
hope,49
lead,49
want,48
dip,48
child,48
adorn,47
cove,47
fear,47
guardian,47
learn,47
arrive,47
storm,47
week,46
pearl,46
map,46
true,46
reveal,46
crash,46
call,45
work,45
reef,45
decide,45
follow,45
woman,44
morning,44
welcome,44
draw,44
beginning,44
ancestor,43
visit,43
heritage,43
shell,43
star,43
paradise,43
surround,43
gentle,42
mind,42
power,42
lose,42
let,42
young,42
shadow,41
music,41
kiss,41
carry,41
breath,40
wait,40
soft,40
plane,40
purpose,40
crown,40
arawak,40
thought,39
walk,39
suddenly,39
family,39
transform,39
name,39
belong,39
symbol,38
nod,38
later,38
pull,38
deeply,38
honor,38
resonate,38
discovery,37
rich,37
understand,37
hear,37
generation,37
ready,37
