Word,Frequency
story,435
heart,389
village,380
river,367
voice,290
nile,278
feel,269
whisper,234
begin,233
share,233
spirit,228
eye,211
villager,204
water,195
sun,189
day,185
like,177
hope,171
people,170
dream,167
life,165
stand,159
face,156
tale,155
child,153
al,148
journey,145
know,144
gather,138
wind,137
find,137
listen,136
come,135
woman,135
land,126
desert,123
fill,123
echo,122
air,116
speak,115
community,114
tree,113
evening,110
ancestor,103
world,103
flow,101
night,100
laughter,99
family,98
resilience,98
fear,97
man,95
change,95
say,94
sudan,93
sand,93
strength,92
home,91
grandmother,91
young,91
word,89
small,88
return,88
khartoum,87
old,87
sit,87
love,86
set,84
time,83
elder,82
unity,82
carry,82
future,82
tell,81
race,81
grow,81
horizon,81
hear,81
weave,81
turn,80
generation,79
seek,78
way,78
hold,77
oasis,77
past,77
ancient,75
sense,75
understand,75
sky,73
palm,72
smile,72
dance,71
learn,71
continue,71
rise,70
place,70
inspire,70
new,70
long,69
cast,68
whispering,68
guide,68
bring,67
pass,66
year,66
vibrant,66
approach,65
connection,64
wisdom,63
history,63
adventure,63
light,63
father,62
beneath,62
golden,61
week,61
sound,61
hand,60
city,60
star,60
determination,60
dip,59
call,59
riverbank,59
take,59
help,58
reply,57
bank,57
secret,57
girl,56
look,56
storm,56
power,56
watch,56
excitement,55
deep,55
weight,54
live,53
struggle,53
let,53
ask,53
ignite,52
leave,52
step,51
legacy,51
title,51
paint,49
friend,49
need,49
moment,49
gentle,48
close,48
tapestry,48
see,47
treasure,47
want,47
embrace,47
crowd,46
sparkle,46
hue,46
work,46
lose,45
reach,45
dawn,45
strong,44
thrive,44
nod,44
fight,44
group,44
gathering,43
conflict,42
follow,42
tear,42
promise,42
protect,42
honor,42
fabric,41
name,41
purpose,40
vast,40
mind,40
transform,40
market,40
steady,40
courage,39
create,39
symbol,38
reflect,38
thought,38
realize,37
bond,37
earth,37
art,37
great,36
distant,36
unite,36
chaos,36
dune,36
shadow,35
glow,35
scent,35
travel,35
festival,35
reminder,35
knowledge,35
challenge,35
meet,34
teach,34
pound,34
forward,34
fire,34
warm,34
culture,34
join,34
pride,34
heritage,33
break,33
discover,33
shimmer,33
organize,33
joy,33
tremble,33
curiosity,33
open,33
cool,32
twinkle,32
bright,32
remember,32
alive,32
fade,32
decide,32
street,32
baobab,31
emerge,31
arrive,31
landscape,31
wide,31
amulet,31
beauty,30
tension,30
far,30
vision,30
prepare,30
shift,30
dark,30
silence,30
tradition,30
guardian,30
path,30
walk,30
storyteller,29
explore,29
thick,29
think,29
believe,29
urge,29
spend,29
color,29
mother,29
adorn,28
peace,28
swell,28
recount,28
bravery,28
understanding,28
lead,28
edge,28
spice,28
etch,28
away,28
breeze,28
gaze,28
shape,28
box,27
suddenly,27
importance,27
celebrate,27
drought,27
foot,27
notice,27
stone,27
remind,27
energy,27
soft,26
orange,26
root,26
anticipation,26
spread,26
morning,26
erupt,26
worry,26
epilogue,25
hair,25
field,25
remain,25
wave,25
resonate,25
encounter,25
shout,25
afternoon,25
sands,25
sanctuary,25
surge,25
month,25
surface,24
testament,24
despite,24
intently,24
passion,24
song,24
draw,24
local,24
newfound,24
right,24
intertwine,24
wash,23
gratitude,23
slowly,23
low,23
spark,23
wait,23
daughter,23
presence,23
write,23
hour,23
wander,23
support,23
plan,22
later,22
heavy,22
rich,22
respect,22
experience,22
build,22
flourish,22
merchant,22
connect,22
swirl,22
despair,21
forget,21
lesson,21
arm,21
truth,21
wise,21
powerful,21
celebration,21
rush,21
fierce,21
outside,21
breath,21
kiss,21
bustling,21
nature,21
surround,21
mingle,21
beacon,21
rustle,21
heal,21
finally,21
meeting,21
witness,21
true,21
weather,20
resolve,20
glance,20
battle,20
seed,20
hide,20
uncertainty,20
soon,20
school,20
give,20
ensure,20
play,20
concern,20
thread,20
protest,20
large,20
wish,20
government,20
source,20
warmth,20
amidst,20
fall,19
different,19
near,19
magic,19
figure,19
rally,19
possibility,19
ground,19
leader,19
form,19
pull,19
course,19
visit,19
catch,19
brave,19
ahead,19
unfold,19
essence,19
dear,19
exchange,19
loom,19
forge,18
fateful,18
illuminate,18
closely,18
linger,18
shake,18
declare,18
envelop,18
endure,18
sudanese,18
threaten,18
narrative,18
boy,18
ripple,18
skin,18
intrigue,18
fashir,17
desire,17
music,17
age,17
racing,17
warrior,17
reveal,17
settle,17
hang,17
finger,17
receive,17
pyramid,17
bread,17
neighboring,17
shoulder,17
mud,17
expression,17
memory,17
wonder,17
harmony,17
crop,17
center,16
intricate,16
spirited,16
effort,16
mix,16
pattern,16
gharb,16
spot,16
shimmering,16
resource,16
storytelling,16
belong,16
flower,16
lean,16
purple,16
sacred,16
chant,16
line,16
beautiful,16
news,16
run,16
gently,16
stumble,16
stay,15
supply,15
rain,15
wall,15
ah,15
discovery,15
murmur,15
atmosphere,15
moon,15
ready,15
aroma,15
nurture,15
welcome,15
unwavering,15
movement,15
grip,15
tall,15
depict,15
mountain,15
well,15
awe,15
exclaim,15
shine,15
silver,15
plant,15
sing,15
darkness,14
cry,14
restore,14
loss,14
nestle,14
unrest,14
safe,14
force,14
education,14
current,14
sink,14
uncover,14
necklace,14
curious,14
bridge,14
pulse,14
renew,14
youth,14
peaceful,14
sunlight,14
familiar,14
shade,14
captivate,14
dry,14
brother,14
expanse,14
season,14
rhythm,14
silent,14
grain,14
invite,14
lush,14
following,14
soldier,14
town,14
sight,13
blue,13
lifeline,13
sway,13
council,13
collective,13
search,13
blossom,13
hidden,13
aspiration,13
moonlight,13
chest,13
eager,13
craft,13
darfur,13
glimmer,13
demand,13
lifeblood,13
event,13
nearby,13
discuss,13
attention,13
artist,13
bind,13
piece,13
barely,13
vein,13
food,13
move,13
kosti,13
wear,13
gift,13
valley,13
end,13
dare,12
colorful,12
guidance,12
elderly,12
slip,12
tightly,12
gasp,12
canvas,12
profound,12
agree,12
embark,12
clear,12
offer,12
traditional,12
head,12
gold,12
deeply,12
imagine,12
venture,12
adversity,12
press,12
sami,12
preserve,12
sweep,12
shop,12
sorrow,12
emotion,12
reality,12
nourish,12
laugh,12
yearn,12
forever,12
go,12
brick,12
melody,12
mural,12
ritual,12
happen,12
flicker,11
stream,11
delicate,11
wild,11
idea,11
sign,11
beginning,11
freely,11
notebook,11
depth,11
pause,11
cloud,11
decision,11
choose,11
distance,11
inspiration,11
send,11
dreamer,11
responsibility,11
softly,11
read,11
present,11
acacia,11
determined,11
today,11
melodic,11
unbreakable,11
blanket,11
mean,11
parch,11
gain,11
square,11
deepen,11
legend,11
try,11
explain,11
neighbor,11
united,11
winds,11
kaldoum,11
nasr,11
action,11
ray,11
wooden,11
carve,11
smooth,11
awakening,10
ring,10
lost,10
quest,10
pour,10
tend,10
greet,10
balance,10
firm,10
danger,10
awake,10
pack,10
crack,10
carefully,10
comfort,10
homeland,10
brush,10
carving,10
capture,10
soul,10
daily,10
healing,10
pain,10
destiny,10
victory,10
cheer,10
storytelle,10
escalate,10
book,10
armed,10
sweet,10
maybe,10
stage,10
allow,10
high,10
tone,10
recognize,10
collect,10
violence,10
heat,10
confine,10
authority,10
beat,10
imagination,10
little,9
await,9
encourage,9
design,9
ruin,9
care,9
palpable,9
lay,9
isis,9
