Noun Phrase,Count
young girl,26
heart swelling,21
young woman,20
hindu kush,20
small village,18
golden hue,17
distant lands,15
pomegranate tree,15
deep breath,15
# # # chapter,14
vibrant colors,14
willow tree,13
own stories,13
stark contrast,12
fateful night,11
modest home,11
old man,11
darkest times,10
warm glow,10
sardar khel,10
young man,9
long shadows,9
baba noor,9
mr. farid,9
human spirit,8
harsh realities,8
young girls,8
own story,8
shakar dara,8
ancient city,7
intricate patterns,7
bibi zainab,7
bibi fatima,7
open arms,6
gathering storm,6
vibrant tapestry,6
indomitable spirit,6
journey begins,6
dark hair,6
small home,6
fragile peace,5
soft glow,5
elderly man,5
hope amidst,5
old woman,5
bright eyes,5
golden glow,5
future generations,5
village square,5
newfound purpose,5
curious eyes,5
dense forests,4
distant sounds,4
narrow streets,4
new seeds,4
early morning,4
narrow alleys,4
fresh bread,4
face pale,4
elderly woman,4
insatiable curiosity,4
true treasure,4
warm embrace,4
village storyteller,4
storm approaches,4
young women,4
wide eyes,4
fateful evening,4
profound sense,4
heavy heart,4
starlit sky,4
fateful afternoon,4
safe haven,4
mud-brick houses,4
distant rumble,4
inspire hope,4
fateful day,4
deep sense,4
oppressive weight,4
steep cliffs,3
small school,3
storm cloud,3
ancient mulberry tree,3
fierce determination,3
new dawn,3
share stories,3
twelve-year-old girl,3
inspire others,3
young boy,3
rich tapestry,3
collective spirit,3
long forgotten,3
gentle breeze,3
lush valleys,3
small courtyard,3
new life,3
small fire,3
stark reminder,3
intricate designs,3
childhood friend,3
new narrative,3
inexplicable connection,3
newfound determination,3
silent prayer,3
golden light,3
international media,3
warm smile,3
small room,3
societal norms,3
different backgrounds,3
new story,3
small frame,3
oil lamps,3
ancient cliffs,3
newfound sense,3
anar dara,3
colorful dress,3
nearby alley,3
dark clouds,3
new generation,3
crisp autumn morning,3
sun cast,3
encouraging others,3
rich history,3
tapestry woven,3
rocky outcrop,3
oppressive regime,3
haji rahim,3
underground school,3
childhood home,2
village children,2
plant seeds,2
village meeting,2
new group,2
traditional values,2
protective circle,2
mulberry tree,2
expressive eyes,2
small garden,2
political landscape,2
tall man,2
hope ignite,2
inspire generations,2
vibrant city,2
bright colors,2
people—a reminder,2
story unfolds,2
rich culture,2
colorful birds,2
faces alight,2
azure sky,2
cool breeze,2
neighborhood children,2
ancient willow tree,2
soft melody,2
bid farewell,2
warmth envelop,2
phoenix feather,2
gentle caress,2
dusty streets,2
craggy mountains,2
small bag,2
harsh weather,2
darkest days,2
favorite spot,2
warm golden hue,2
unexpected visitor,2
tall figure,2
captivating tales,2
narrow path,2
simple act,2
soft light,2
brave heroes,2
secret meetings,2
safe house,2
own dreams,2
wild poppy,2
stark reality,2
small library,2
familiar streets,2
refugee camp,2
familiar scent,2
long black hair,2
skilled weaver,2
dark cloud,2
collective narrative,2
collective gasp,2
tranquil setting,2
familiar sights,2
voice thick,2
quiet contemplation,2
dark canvas,2
dark figures,2
loud explosion,2
long silence,2
colorful garments,2
far-off lands,2
long day,2
own path,2
remote village,2
long white beard,2
kind eyes,2
young traveler,2
darkest corners,2
special bond,2
voice gentle,2
water rights,2
small group,2
tense silence,2
small patch,2
delicate art,2
hope reignite,2
