story_id,sentiment,confidence,model,date
SO_1,joy,0.98,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
SO_2,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
SO_3,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
SO_4,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
SO_5,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
SO_6,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
SO_7,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
SO_8,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
SO_9,joy,0.96,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
SO_10,fear,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
SO_11,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
SO_12,joy,0.98,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
SO_13,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
SO_14,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
SO_15,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
SO_16,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
SO_17,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
SO_18,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
SO_19,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
SO_20,surprise,0.96,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
SO_21,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
SO_22,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
SO_23,joy,0.98,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
SO_24,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
SO_25,joy,0.98,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
SO_26,joy,0.98,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
SO_27,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
SO_28,fear,0.93,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
SO_29,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
SO_30,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
SO_31,surprise,0.82,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
SO_32,joy,0.91,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
SO_33,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
SO_34,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
SO_35,joy,0.97,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
SO_36,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
SO_37,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
SO_38,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
SO_39,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
SO_40,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
SO_41,surprise,0.86,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
SO_42,fear,0.98,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
SO_43,joy,0.94,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
SO_44,joy,0.97,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
SO_45,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
SO_46,joy,0.96,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
SO_47,joy,0.97,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
SO_48,fear,0.98,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
SO_49,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
SO_50,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
