story_id,sentiment,confidence,model,date
EE_1,joy,0.79,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
EE_2,fear,0.8,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
EE_3,joy,0.92,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
EE_4,fear,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
EE_5,joy,0.94,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
EE_6,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
EE_7,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
EE_8,joy,0.85,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
EE_9,fear,0.96,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
EE_10,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
EE_11,joy,0.79,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
EE_12,fear,0.77,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
EE_13,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
EE_14,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
EE_15,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
EE_16,joy,0.97,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
EE_17,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
EE_18,joy,0.88,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
EE_19,joy,0.95,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
EE_20,joy,0.98,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
EE_21,joy,0.94,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
EE_22,joy,0.93,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
EE_23,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
EE_24,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
EE_25,joy,0.97,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
EE_26,anger,0.59,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
EE_27,joy,0.89,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
EE_28,joy,0.98,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
EE_29,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
EE_30,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
EE_31,joy,0.48,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
EE_32,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
EE_33,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
EE_34,surprise,0.73,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
EE_35,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
EE_36,fear,0.94,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
EE_37,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
EE_38,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
EE_39,joy,0.98,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
EE_40,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
EE_41,fear,0.55,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
EE_42,fear,0.83,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
EE_43,joy,0.98,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
EE_44,joy,0.94,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
EE_45,joy,0.75,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
EE_46,joy,0.57,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
EE_47,sadness,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
EE_48,joy,0.77,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
EE_49,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
EE_50,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
