story_id,sentiment,confidence,model,date
AU_1,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
AU_2,fear,0.49,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
AU_3,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
AU_4,fear,0.82,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
AU_5,joy,0.91,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
AU_6,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
AU_7,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
AU_8,anger,0.77,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
AU_9,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
AU_10,joy,0.74,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
AU_11,love,0.94,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
AU_12,joy,0.97,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
AU_13,joy,0.93,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
AU_14,joy,0.84,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
AU_15,sadness,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
AU_16,joy,0.96,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
AU_17,joy,0.46,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
AU_18,joy,0.9,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
AU_19,sadness,0.67,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
AU_20,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
AU_21,joy,0.95,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
AU_22,fear,0.46,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
AU_23,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
AU_24,joy,0.85,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
AU_25,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
AU_26,joy,0.98,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
AU_27,joy,0.8,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
AU_28,fear,0.48,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
AU_29,love,0.65,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
AU_30,joy,0.93,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
AU_31,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
AU_32,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
AU_33,fear,0.97,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
AU_34,joy,0.97,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
AU_35,joy,0.91,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
AU_36,sadness,0.75,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
AU_37,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
AU_38,anger,0.74,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
AU_39,joy,0.98,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
AU_40,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
AU_41,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
AU_42,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
AU_43,joy,0.46,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
AU_44,joy,0.85,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
AU_45,joy,0.93,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
AU_46,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
AU_47,joy,0.96,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
AU_48,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
AU_49,joy,0.97,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
AU_50,sadness,0.79,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
