Word,Frequency
sea,618
heart,465
wave,365
feel,360
ocean,344
whisper,318
story,300
voice,265
rúna,255
spirit,243
village,239
water,239
wind,232
eye,228
like,216
cliff,210
tale,187
villager,183
share,176
find,174
island,172
begin,171
listen,167
stand,160
storm,159
know,158
light,151
day,138
return,133
echo,130
air,128
shore,124
say,122
land,122
come,117
adventure,117
speak,115
horizon,113
sun,113
life,110
secret,107
depth,107
hear,106
guide,103
seek,103
fill,103
deep,102
night,100
connection,99
home,98
race,97
face,96
hold,96
close,96
gather,95
sky,94
woman,94
treasure,93
world,92
grow,91
journey,91
dance,91
old,90
small,90
grandmother,89
turn,88
selkie,88
carry,88
sense,88
people,86
call,86
edge,85
shell,85
beneath,84
crash,81
hair,81
love,80
time,80
sound,79
ancient,77
legend,76
set,76
young,75
ask,74
song,74
long,74
reach,73
boat,72
melody,71
understand,71
wisdom,71
shimmer,71
lose,70
embrace,70
smile,70
faroe,70
creature,70
approach,69
evening,69
bond,69
guardian,69
stone,68
islands,68
pass,68
moment,67
figure,67
weave,67
place,67
glow,67
hand,67
fear,67
help,66
whispering,66
step,65
past,64
surface,63
dream,62
live,62
watch,62
protect,62
rock,61
ancestor,61
beauty,61
way,61
cove,60
fisherman,60
see,59
darkness,58
shadow,58
pull,58
learn,57
nature,57
hope,56
rise,56
excitement,56
cast,56
child,55
sail,55
emerge,55
word,54
name,54
cave,53
continue,53
reply,53
power,53
leave,53
dark,53
envelop,52
tell,51
remember,51
path,51
follow,50
laughter,50
change,50
legacy,50
take,50
explore,50
magic,50
surge,49
curiosity,49
hide,49
morning,49
mind,48
girl,48
tide,48
break,48
fish,47
need,47
lighthouse,47
dip,47
ship,47
balance,47
gaze,47
fade,47
reminder,46
year,46
soft,46
sólrun,46
nod,45
rannvá,45
breath,45
reveal,45
transform,45
illuminate,45
determination,44
flow,44
waves,44
want,43
generation,43
wait,43
hidden,42
away,42
strong,42
suddenly,42
resonate,41
sit,41
rocky,41
catch,41
gentle,41
dawn,40
landscape,40
friend,40
sailor,40
paint,40
star,39
warmth,39
title,39
pound,39
rugged,39
week,38
alive,38
forever,38
honor,38
warm,38
urge,38
brave,37
lív,37
vibrant,37
calm,37
soul,37
howl,37
venture,37
familiar,37
sing,37
purpose,36
let,36
new,36
skin,36
vágar,36
presence,36
hue,36
bring,35
energy,35
great,35
wonder,35
atlantic,35
man,35
breeze,34
open,34
meet,34
blue,34
courage,34
look,34
community,34
swirl,34
encounter,34
strength,34
harmony,34
prepare,33
truth,33
weight,33
mystery,33
mermaid,33
discover,33
hill,33
thick,33
whale,33
rún,33
lead,32
wild,32
shimmering,32
welcome,32
rhythm,32
uncover,32
dear,31
draw,31
belong,31
forward,31
memory,31
distant,31
fishing,31
promise,31
form,31
color,31
notice,31
intertwine,30
orange,30
lítla,30
kári,30
realize,30
sólja,30
respect,30
north,30
roar,30
sparkle,30
deeply,30
jón,30
clear,29
surround,29
pearl,29
expression,29
wish,29
family,29
tremble,28
golden,28
fabric,28
decide,28
glimmer,28
believe,28
elder,28
knowledge,28
house,28
stormy,28
mist,27
bright,27
cloud,27
vast,27
hour,27
walk,27
climb,27
thought,27
warn,26
joy,26
restore,26
think,26
shift,26
ethereal,26
wash,26
steep,26
vision,26
salty,26
weather,26
foot,26
wander,25
valley,25
steady,25
intently,25
pulse,25
spot,25
inspire,25
shine,25
far,25
moon,25
newfound,25
nestle,25
spend,25
tapestry,25
haunt,25
center,25
forget,24
pendant,24
swam,24
ignite,24
remind,24
selja,24
high,24
lost,24
fierce,24
father,24
seal,24
importance,23
tightly,23
green,23
raven,23
navigate,23
racing,23
sight,23
beach,23
cry,23
beautiful,23
rage,22
flicker,22
send,22
scent,22
fire,22
wall,22
heritage,22
true,22
threaten,22
wide,22
rush,22
captivate,22
fall,21
wise,21
glisten,21
understanding,21
húsar,21
roll,21
adorn,21
awe,21
shake,21
responsibility,21
storyteller,21
adventurous,21
barely,21
gasp,21
shout,21
eyðvør,21
peace,21
gift,21
salt,21
rúni,21
ready,21
strange,21
shape,20
future,20
heavy,20
gratitude,20
stumble,20
spine,20
mountain,20
mean,20
recount,20
sorrow,20
gjógv,20
mix,20
silver,19
head,19
choice,19
restless,19
declare,19
cool,19
reflect,19
delicate,19
teach,19
history,19
tórshavn,19
melodic,19
eydis,19
concern,19
anticipation,19
longing,19
appear,19
twinkle,19
beckon,19
finally,19
moonlight,19
isle,18
tall,18
danger,18
enchanting,18
tear,18
ground,18
festival,18
struggle,18
viðareiði,18
curious,18
finger,18
join,18
autumn,18
havfrúgvin,18
realm,18
final,18
experience,18
gathering,18
thank,18
essence,18
hattarvik,18
colorful,18
swell,17
distance,17
challenge,17
determine,17
intrigue,17
willing,17
finnur,17
gently,17
current,17
circle,17
crystal,17
crisp,17
symbol,17
rich,17
slowly,17
pride,17
tradition,17
closely,17
pure,16
season,16
entrance,16
flash,16
shall,16
music,16
amulet,16
purple,16
inside,16
forge,16
overlook,16
crew,16
search,16
mingle,16
resolve,16
mirror,16
seaweed,16
grotto,16
silence,16
fog,16
answer,16
huldra,16
keeper,16
powerful,16
rest,16
thrive,16
lantern,16
choose,16
tower,15
shoulder,15
imagination,15
linger,15
course,15
visit,15
chaos,15
guidance,15
slip,15
roam,15
mythical,15
local,15
faint,15
cradle,15
connect,15
gold,15
lap,15
fjord,15
clutch,15
coral,15
inexplicable,15
etch,15
selda,15
test,15
emotion,15
press,15
pique,14
go,14
mykines,14
hang,14
imagine,14
bind,14
testament,14
low,14
páll,14
different,14
source,14
arm,14
forest,14
remain,14
vøttur,14
rain,14
thrill,14
capture,14
epilogue,14
soothe,14
force,14
harbor,14
radiant,14
ensure,14
organize,14
despite,14
chill,14
stay,14
lush,14
fateful,14
glance,14
chest,14
collect,13
underwater,13
bridge,13
deepen,13
lift,13
jewel,13
preserve,13
daughter,13
louder,13
soon,13
narrow,13
allow,13
work,13
net,13
run,13
tug,13
softly,13
dare,13
sunlight,13
warning,13
wildflower,13
root,13
shiver,13
loom,13
wear,13
