Name,Count
Isabella,3
Elena,3
Clara,2
Elena Rousseau,2
Elena Moreau,2
Elara Moreau,2
Elara,2
Isabella Moreau,2
Laura Sinclair,1
Fiona,1
Charlotte,1
Anton Chevalier,1
Lucien,1
Juliet,1
Elena Ricci,1
Clara Bellamy,1
Sofia Moretti,1
Clara D,1
Aubigne,1
Amelia Hart,1
Isabelle Moreau,1
Isabelle Durand,1
Elise,1
Elena Vasiliev,1
Elena Santorini,1
Eloise,1
Alex Turner,1
Lucien Moreau,1
Isabella Santoro,1
Ella,1
Lila,1
Eva Lysander,1
Evie,1
Sofia,1
Margaux,1
Sophie,1
Anna Rossi,1
Elara Rousseau,1
Julia Moreau,1
Elara Dupont,1
Isabella Rossi,1
