story_id,sentiment,confidence,model,date
XX_1,joy,0.98,bhadresh-savani/distilbert-base-uncased-emotion,27-02-2025
XX_2,joy,0.98,bhadresh-savani/distilbert-base-uncased-emotion,27-02-2025
XX_3,fear,0.9,bhadresh-savani/distilbert-base-uncased-emotion,27-02-2025
XX_4,fear,0.9,bhadresh-savani/distilbert-base-uncased-emotion,27-02-2025
XX_5,joy,0.65,bhadresh-savani/distilbert-base-uncased-emotion,27-02-2025
XX_6,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,27-02-2025
XX_7,fear,0.7,bhadresh-savani/distilbert-base-uncased-emotion,27-02-2025
XX_8,fear,0.89,bhadresh-savani/distilbert-base-uncased-emotion,27-02-2025
XX_9,fear,0.9,bhadresh-savani/distilbert-base-uncased-emotion,27-02-2025
XX_10,fear,0.96,bhadresh-savani/distilbert-base-uncased-emotion,27-02-2025
XX_11,fear,0.97,bhadresh-savani/distilbert-base-uncased-emotion,27-02-2025
XX_12,anger,0.58,bhadresh-savani/distilbert-base-uncased-emotion,27-02-2025
XX_13,fear,0.99,bhadresh-savani/distilbert-base-uncased-emotion,27-02-2025
XX_14,fear,0.57,bhadresh-savani/distilbert-base-uncased-emotion,27-02-2025
XX_15,joy,0.95,bhadresh-savani/distilbert-base-uncased-emotion,27-02-2025
XX_16,fear,0.97,bhadresh-savani/distilbert-base-uncased-emotion,27-02-2025
XX_17,joy,0.78,bhadresh-savani/distilbert-base-uncased-emotion,27-02-2025
XX_18,fear,0.54,bhadresh-savani/distilbert-base-uncased-emotion,27-02-2025
XX_19,joy,0.97,bhadresh-savani/distilbert-base-uncased-emotion,27-02-2025
XX_20,surprise,0.85,bhadresh-savani/distilbert-base-uncased-emotion,27-02-2025
XX_21,fear,0.92,bhadresh-savani/distilbert-base-uncased-emotion,27-02-2025
XX_22,joy,0.95,bhadresh-savani/distilbert-base-uncased-emotion,27-02-2025
XX_23,joy,0.86,bhadresh-savani/distilbert-base-uncased-emotion,27-02-2025
XX_24,joy,0.66,bhadresh-savani/distilbert-base-uncased-emotion,27-02-2025
XX_25,fear,0.5,bhadresh-savani/distilbert-base-uncased-emotion,27-02-2025
XX_26,fear,0.95,bhadresh-savani/distilbert-base-uncased-emotion,27-02-2025
XX_27,fear,0.44,bhadresh-savani/distilbert-base-uncased-emotion,27-02-2025
XX_28,joy,0.46,bhadresh-savani/distilbert-base-uncased-emotion,27-02-2025
XX_29,joy,0.8,bhadresh-savani/distilbert-base-uncased-emotion,27-02-2025
XX_30,joy,0.84,bhadresh-savani/distilbert-base-uncased-emotion,27-02-2025
XX_31,fear,0.99,bhadresh-savani/distilbert-base-uncased-emotion,27-02-2025
XX_32,fear,0.98,bhadresh-savani/distilbert-base-uncased-emotion,27-02-2025
XX_33,sadness,0.55,bhadresh-savani/distilbert-base-uncased-emotion,27-02-2025
XX_34,joy,0.7,bhadresh-savani/distilbert-base-uncased-emotion,27-02-2025
XX_35,fear,0.52,bhadresh-savani/distilbert-base-uncased-emotion,27-02-2025
XX_36,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,27-02-2025
XX_37,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,27-02-2025
XX_38,fear,0.78,bhadresh-savani/distilbert-base-uncased-emotion,27-02-2025
XX_39,fear,0.96,bhadresh-savani/distilbert-base-uncased-emotion,27-02-2025
XX_40,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,27-02-2025
XX_41,sadness,0.86,bhadresh-savani/distilbert-base-uncased-emotion,27-02-2025
XX_42,sadness,0.76,bhadresh-savani/distilbert-base-uncased-emotion,27-02-2025
XX_43,fear,0.93,bhadresh-savani/distilbert-base-uncased-emotion,27-02-2025
XX_44,joy,0.45,bhadresh-savani/distilbert-base-uncased-emotion,27-02-2025
XX_45,joy,0.98,bhadresh-savani/distilbert-base-uncased-emotion,27-02-2025
XX_46,sadness,0.9,bhadresh-savani/distilbert-base-uncased-emotion,27-02-2025
XX_47,fear,0.96,bhadresh-savani/distilbert-base-uncased-emotion,27-02-2025
XX_48,joy,0.85,bhadresh-savani/distilbert-base-uncased-emotion,27-02-2025
XX_49,sadness,0.54,bhadresh-savani/distilbert-base-uncased-emotion,27-02-2025
XX_50,sadness,0.48,bhadresh-savani/distilbert-base-uncased-emotion,27-02-2025
