Noun Phrase,Count
und der,85
der schatten,56
herr müller,51
der wald,49
war ein,43
die schatten,42
und das,40
die dorfbewohner,39
den folgenden,38
einem kleinen,38
eines tages,34
als der,30
die menschen,27
und den,25
eines abends,22
und dem,20
als ob,20
dass der,20
auf den,19
um das,18
war das,18
sondern auch,18
mit der,18
und seine,17
dass sie,17
die geschichten,16
war der,15
zu erkunden,15
über den,15
und ihre,15
war eine,15
der das,14
von den,14
zwischen den,14
eines nachts,14
dass das,13
dass er,13
des alten,13
über das,13
zu erzählen,13
machte sich,13
von der,13
zu erfahren,12
sondern ein,12
fühlte sich,12
die bäume,12
und des,12
aus der,11
der alten,11
der mann,11
über ihre,11
die worte,11
zu finden,11
hinter sich,11
als sie,11
den letzten,11
auf das,11
vor dem,11
umgeben von dichten,11
zu machen,11
aus dem,11
ihre großmutter,10
wie ein,10
schneller schlug,10
die feen,10
durch den,10
umgeben war,10
die luft,10
als anna,10
während sie,10
mehr über,9
nach dem,9
lebte ein junger,9
wurde zu einem,9
blühte auf,9
die dunkelheit,9
der kleinen,9
lebte ein,9
als er,9
wie das,9
mit den,9
sie das,8
ihrer eigenen,8
nicht nur,8
um den,8
bemerkte er,8
war einmal,8
nach stunden,8
und machte sich auf den,8
für den,8
und sanften,8
die gestalt,8
gelebt hatte,8
war ein einfacher,8
der baum,8
sagte der,8
und sein,8
ist der,8
während er,8
auf dem,8
die briefe,8
ist ein,8
die frau,8
sie durch,7
begann sie,7
sagte er,7
machte sie sich auf den,7
zu teilen,7
zurück ins,7
ein gefühl,7
zu besuchen,7
zu dem,7
die wände,7
war ein kalter,7
wie sein,7
machte er sich auf den,7
einem letzten,7
stand ein,7
hörte er ein leises,7
mit langen,7
erzählt hatte,7
mit einer,7
der folgenden,7
erinnerte sich,7
fragte er,7
zu ehren,7
dass es,7
und begann,7
er den,7
das durch,7
wo das,6
und alten,6
den alten,6
von ihrer,6
umgeben von,6
herrn müller,6
und ihr,6
eine andere,6
hörte aufmerksam zu,6
die vergangenheit,6
für ihre,6
flüsterte sie,6
einem langen,6
war es,6
zu schreiben,6
entdeckt zu werden,6
einer alten,6
überkam ihn,6
zu gehen,6
klang wie,6
zu lüften,6
von hohen,6
hatte das,6
schlug schneller,6
bist du,6
bin der,6
schüttelte den,6
hörte er ein,6
der den,6
dass etwas,6
war nicht nur ein,6
von ihm,6
die stadt,6
das licht,6
und mit jedem,6
gewesen war,6
um seine,6
nickte zustimmend,6
hast es geschafft,6
und einem,6
die tage,6
sagte sie,6
und er wusste,6
einer anderen,6
begann der,6
der waldgeist,6
während des,6
war voller,6
und begann zu lesen,5
der brief,5
sondern auch ein,5
wie ihr,5
die monate,5
zu akzeptieren,5
sie nie gekannt hatte,5
als würde sie,5
sondern auch eine,5
die liebe,5
zögerte einen,5
vor vielen,5
zu den,5
eines alten,5
waren zerbrochen,5
mit seiner,5
zu sein,5
mit dem,5
waren mit,5
die farben,5
zu folgen,5
eines dichten,5
man sagte,5
doch lukas,5
zu bewahren,5
die fenster,5
folgte dem,5
die seiten,5
die vögel,5
und für einen,5
von ihren,5
die legenden,5
wie eine,5
nahm das,5
der wind,5
rief er,5
aus seiner,5
er das,5
und ein,5
hinter sich zu lassen,5
fiel ihr,5
auf ein altes,5
die wahrheit,5
und sie wusste,5
deine mutter,5
machte sich auf den,5
fühlte eine,5
die ausstellung,5
die legende,5
murmelte er,5
stand und,5
die erinnerungen,5
flüsterte er,5
eine alte,5
die sonne,5
hatte nicht nur,5
das sie,5
zu lesen,5
war entschlossen,5
und ihrer,5
spürte er,5
von einem,5
waren vergilbt,5
einem der,5
der im,5
zu feiern,5
sondern auch das,5
ihre augen,5
war ein nebliger,4
zu öffnen,4
konnte nicht anders,4
das alte,4
war nicht nur eine,4
zu einem,4
war eine kleine,4
waren voller,4
nicht nur eine,4
dem kleinen,4
klopfte es,4
doch das,4
nahm den,4
bin auf der,4
dass er etwas,4
wusste nicht,4
ihren eigenen,4
machten sie sich auf den,4
als sie das,4
war von,4
war ein großer,4
gefunden hatte,4
zu stammen,4
gelebt hatten,4
am abend,4
und lächelte,4
ist es,4
ihre eigene,4
im inneren,4
von seinem,4
sprach mit,4
zu befreien,4
sah er,4
eine neue,4
von dem,4
wurde lauter,4
das im,4
war fasziniert,4
sind nur,4
waren skeptisch,4
zu schätzen,4
und dichten,4
bedeckt waren,4
gesäumt war,4
wie der,4
zu bringen,4
versammelten sich,4
als würde der,4
sondern auch für,4
umhüllte sie,4
der durch,4
