Noun Phrase,Count
quaint village,30
vibrant village,21
whimsical adventures,20
curious girl,20
magical creatures,16
small village,16
newfound friends,13
magical paintbrush,12
shy girl,9
magical forest,9
grants wishes,7
akira,7
new friends,7
magical realm,6
kiki,6
magical lantern,6
mischievous fox,6
taro,6
whimsical village,5
guided,5
young girl,5
quiet village,5
magical world,5
magical adventures,5
restore balance,5
magical garden,5
hiro,5
kaito,4
true power,4
restore harmony,4
valuable lessons,4
suki,4
mei,4
old turtle,4
newfound friends—a mischievous fox,3
important lessons,3
new friends—a mischievous fox,3
new friends—a wise owl,3
learning courage,3
magical brush,3
new friends—a wise fox,3
true meaning,3
kitsu,3
shy fox,3
animal friends,3
sora,3
teaming,3
kumo,3
magical cherry blossom tree,2
brighter world,2
kiko,2
timid girl,2
yumi,2
playful fox—she embarks,2
mysterious shadow,2
tranquil village,2
accompanied,2
eternal winter,2
greedy developer,2
forgotten spirits,2
curious cat,2
real world,2
old turtle—yuki embarks,2
delightful chaos,2
whimsical creations,2
learning bravery,2
magic thrives,2
ancient curse,2
danger threatens,2
shadowy figure threatens,2
brave fox,2
greedy sorcerer,2
inner strength,2
newfound friend,2
magical adventure,2
momo,2
cherry blossom tree,2
magical village,2
hanamori,1
mischievous fox spirit,1
cherry blossoms bloom,1
creates fantastical creatures,1
old turtle—she embarks,1
duo realizes,1
magical bamboo flute,1
old turtle—kiko embarks,1
exciting adventures,1
haru,1
fox friend,1
nature ’ s wonders,1
mischievous fox friend,1
wise fox,1
playful fox—to,1
moonlight,1
mystical rabbit friend,1
village 's history,1
befriends whimsical creatures,1
whispering bamboo,1
ancient stories,1
brave fox—to,1
magical home,1
creations spill,1
balance imagination,1
old fox,1
darkness threatens,1
garden 's power,1
dark clouds,1
curious fox,1
new friends—a shy rabbit,1
magical diary,1
imagination runs,1
yume,1
mysterious curse,1
playful rabbit—he embarks,1
curious young girl,1
cherry tree,1
magical realms,1
hanazawa,1
dreams blossom,1
garden 's,1
newfound wonder,1
emi,1
magical snow globe,1
fox companion,1
magical cherry blossom trees,1
old turtle—hana embarks,1
magical sakura tree,1
loyal friends,1
wise turtle,1
thrilling adventures,1
whimsical forest,1
alongside,1
brave squirrel friend,1
courageous adventure,1
newfound friends—a brave rabbit,1
old turtle—kitsu embarks,1
playful creations,1
forest 's heart,1
wise owl—to restore,1
ancient cherry blossom tree,1
magical kite,1
newfound friends—a wise fox,1
playful rabbit—they embark,1
mysterious shadow threatens,1
wise owl,1
spirit world,1
loyal fox companion,1
delicate balance,1
underwater village,1
curious little octopus,1
surface world,1
magical pearl,1
adventurous journey,1
true self amidst,1
magical ink,1
wise turtle—hana embarks,1
ancient shadow,1
grandmother ’ s attic,1
greedy spirit,1
time runs,1
whispering woods,1
water shortage,1
playful sprite—to embark,1
legendary spring,1
dreams,1
vibrant spirits,1
joined,1
quirky friends,1
playful dolls,1
whimsical adventure,1
magical book,1
curious boy,1
unique story,1
’ s heart,1
forgotten dreams,1
shadow keeper,1
restore hope,1
new friends—a wise turtle,1
return home,1
creations interact,1
quirky companions,1
mischievous spirit,1
magical library,1
characters leap,1
new friends—a brave knight,1
clever fox,1
kind dragon—yuki embarks,1
shy boy,1
old owl,1
true self,1
timid cat,1
colorful adventure,1
shadowy creature,1
playful fox companion,1
grandmother 's attic,1
grandmother 's garden,1
family 's past,1
friendly fox spirit,1
mystical world,1
grant wishes,1
playful animal friends,1
embrace courage,1
vibrant forest,1
friends—a wise owl,1
playful rabbit—yuki learns,1
brave rabbit—she embarks,1
adventure,1
timid rabbit,1
forest creatures,1
learns courage,1
newfound power,1
chaos ensues,1
secret door,1
forgotten creatures,1
forgotten toys,1
sleepy village,1
ancient cherry tree,1
magical plants,1
mysterious drought,1
newfound friends embark,1
environmental stewardship,1
magical kappa,1
village mysteries,1
cherry blossom trees,1
dark shadow,1
nature thrives,1
miko,1
shadowy figure intent,1
newfound friends—a playful fox,1
old turtle—yumi embarks,1
adventurous quests,1
creations—playful animals,1
whimsical plants—cause,1
evil sorcerer,1
spirits regain,1
’ s past,1
creature shares,1
unique lesson,1
forest animals,1
vibrant world,1
magical origami crane,1
navigates friendship,1
mythical creatures,1
nurture magical flowers,1
true strength,1
mythical creatures dwell,1
forest 's,1
thrilling adventure,1
rainbow,1
grants happiness,1
facing,1
whimsical creatures,1
