story_id,sentiment,confidence,model,date
IE_1,joy,0.93,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
IE_2,sadness,0.54,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
IE_3,joy,0.92,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
IE_4,fear,0.49,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
IE_5,fear,0.71,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
IE_6,joy,0.6,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
IE_7,fear,0.96,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
IE_8,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
IE_9,joy,0.93,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
IE_10,anger,0.37,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
IE_11,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
IE_12,sadness,0.91,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
IE_13,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
IE_14,joy,0.81,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
IE_15,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
IE_16,surprise,0.69,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
IE_17,fear,0.51,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
IE_18,joy,0.97,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
IE_19,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
IE_20,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
IE_21,fear,0.67,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
IE_22,fear,0.51,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
IE_23,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
IE_24,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
IE_25,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
IE_26,fear,0.57,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
IE_27,fear,0.95,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
IE_28,fear,0.98,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
IE_29,joy,0.96,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
IE_30,fear,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
IE_31,joy,0.98,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
IE_32,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
IE_33,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
IE_34,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
IE_35,joy,0.98,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
IE_36,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
IE_37,fear,0.76,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
IE_38,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
IE_39,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
IE_40,surprise,0.93,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
IE_41,fear,0.71,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
IE_42,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
IE_43,fear,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
IE_44,love,0.64,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
IE_45,fear,0.92,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
IE_46,joy,0.48,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
IE_47,sadness,0.8,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
IE_48,fear,0.6,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
IE_49,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
IE_50,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
