story_id,sentiment,confidence,model,date
PL_1,joy,0.97,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
PL_2,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
PL_3,joy,0.63,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
PL_4,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
PL_5,joy,0.88,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
PL_6,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
PL_7,fear,0.96,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
PL_8,love,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
PL_9,fear,0.6,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
PL_10,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
PL_11,joy,0.94,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
PL_12,fear,0.94,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
PL_13,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
PL_14,joy,0.92,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
PL_15,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
PL_16,joy,0.59,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
PL_17,joy,0.95,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
PL_18,joy,0.97,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
PL_19,surprise,0.84,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
PL_20,love,0.84,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
PL_21,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
PL_22,love,0.54,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
PL_23,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
PL_24,joy,0.78,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
PL_25,surprise,0.92,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
PL_26,fear,0.86,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
PL_27,joy,0.48,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
PL_28,sadness,0.82,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
PL_29,joy,0.56,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
PL_30,fear,0.98,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
PL_31,fear,0.56,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
PL_32,sadness,0.93,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
PL_33,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
PL_34,joy,0.95,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
PL_35,joy,0.73,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
PL_36,joy,0.92,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
PL_37,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
PL_38,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
PL_39,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
PL_40,joy,0.93,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
PL_41,joy,0.72,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
PL_42,joy,0.6,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
PL_43,joy,0.96,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
PL_44,joy,0.94,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
PL_45,joy,0.97,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
PL_46,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
PL_47,joy,0.98,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
PL_48,fear,0.68,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
PL_49,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
PL_50,surprise,0.73,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
