Noun Phrase,Count
deep breath,23
whispering pines,23
young woman,20
damp earth,19
quaint village,18
mr. wainwright,14
drawing room,13
whispering woods,13
cobblestone streets,12
mr. finch,12
warm glow,10
blue eyes,10
ankh clock,10
mr. thompson,10
golden hue,9
inexplicable pull,9
mrs. hargrove,9
narrow staircase,8
heart swelling,8
gentle breeze,8
new beginnings,8
soft glow,8
stormy night,8
village square,8
young man,8
small village,8
oak tree,8
dusty tomes,8
celestial guild,8
old books,7
golden glow,7
bygone era,7
golden light,7
stone walls,7
intricate carvings,7
silver hair,7
ancient trees,7
old man,7
eldridge clock,7
thatched-roof cottages,6
elderly man,6
profound connection,6
eleanor hawthorne,6
insatiable curiosity,6
local historian,6
ivy-clad walls,6
childhood home,6
own story,6
elderly woman,6
profound sense,6
warm smile,6
old friend,6
shiver run,6
family legacy,6
old letters,6
local library,5
village archives,5
tapestry woven,5
grand staircase,5
rainy afternoon,5
old trunk,5
childhood friend,5
long past,5
tall man,5
autumn leaves,5
small room,5
intricate designs,5
mr. hargrove,5
thomas ashford,5
village green,5
deep sense,5
new life,5
old oak tree,5
rough bark,5
heavy oak door,5
family history,5
mr. eldridge,5
celestial clock,5
mr. barnaby,5
cecil radcliffe,4
long shadows,4
newfound purpose,4
village hall,4
drawing visitors,4
front door,4
dust motes,4
societal pressures,4
green eyes,4
grand entrance,4
inexplicable urge,4
grimy windows,4
stark contrast,4
grand foyer,4
sweet scent,4
countless hours,4
eleanor tamsin,4
young girl,4
ethereal glow,4
old wood,4
musty scent,4
new path,4
quaint cottages,4
own tales,4
narrow path,4
treasure trove,4
great oak tree,4
ornate box,4
own voice,4
face pale,4
local pub,4
familiar sights,4
familiar scent,4
old photographs,4
lake district,4
emerald pendant,4
quiet nights,4
mrs. waverly,4
tobias albright,4
old willow,4
golden rays,3
old newspapers,3
wooden door,3
heavy heart,3
whispering shadows,3
small cottage,3
chill run,3
local historians,3
warmth envelop,3
late twenties,3
crisp autumn morning,3
dark hair,3
loose floorboard,3
dusty shelves,3
grand hall,3
gravel underfoot,3
unspoken words,3
lit corridors,3
peace envelop,3
equal measure,3
gathering storm,3
grand estate,3
new home,3
ancient willows,3
old chapel,3
eerie shadows,3
willow tree,3
village library,3
brilliant light,3
overgrown garden,3
ancient oak tree,3
own struggles,3
small wooden box,3
intricate patterns,3
mr. lancaster,3
front lines,3
warm embrace,3
night sky,3
cool breeze,3
ancient oaks,3
city life,3
old church,3
stone altar,3
brief moment,3
charity event,3
ms. harrington,3
warm light,3
soft rustle,3
old furniture,3
satisfying click,3
intricate design,3
deep connection,3
family gatherings,3
elegant script,3
vivid picture,3
mrs. whitaker,3
old cottage,3
