Noun Phrase,Count
bamboo grove,81
lotus flowers,45
whispering bamboo,35
small village,35
young woman,26
young girl,26
full moon,26
gentle breeze,22
ban phong,19
deep breath,18
whispering lotus,17
adventurous spirit,15
ban na,14
bamboo groves,14
distant lands,13
lotus pond,13
warm glow,13
golden lotus,13
loy krathong,12
vibrant colors,12
emerald hills,12
lotus fields,12
lotus flower,11
golden glow,11
rice fields,11
banyan tree,11
old woman,11
moon blossom,11
mae phra,11
mae phong,11
wise woman,10
chao phraya,10
rice paddies,10
ban phun,10
dark hair,9
muddy waters,9
village elders,9
ban phakwan,9
great bamboo tree,9
pak thong,9
deep connection,8
# # # chapter,8
heart swelling,8
inexplicable connection,8
ban pha thong,8
open arms,8
golden hue,8
emerald rice paddies,7
fateful evening,7
soft glow,7
journey begins,7
bamboo leaves,7
soft voice,7
young man,7
mae jao,7
mae noy,7
ban phak chao,7
mae ying,7
grandma som,7
mae ploy,7
intricate patterns,6
intricate carvings,6
warm embrace,6
quaint village,6
ban suan,6
chiang mai,6
ban phueng,6
mae sadao,6
newfound determination,6
guardian spirit,6
traditional medicine,6
ban pak muen,6
ban pha,6
magical properties,5
long black hair,5
soft rustle,5
delicate balance,5
insatiable curiosity,5
special connection,5
restore balance,5
deep sense,5
# # #,5
grandfather somchai,5
soft light,5
night sky,5
sweet scent,5
golden leaf,5
bamboo forest,5
ban wang,5
koh lanta,5
phra nakhon,5
# # # # chapter,5
mae som,5
mae nam,5
black hair,4
mythical creatures,4
celestial vase,4
hard work,4
unbreakable bond,4
future generations,4
fateful night,4
soft breeze,4
profound connection,4
mae bua,4
human spirit,4
ban nong kha,4
delicate petals,4
newfound courage,4
lush greenery,4
lush landscapes,4
profound sense,4
ban suan doi,4
dear child,4
traditional attire,4
ancient tales,4
vibrant culture,4
fateful day,4
mae fa,4
ban phai,4
rich tapestry,4
ban phakara,4
golden rays,4
tall stalks,4
dense forests,4
ban phum,4
herbal medicine,4
wat phra si,4
golden light,4
ban nam tok,4
inquisitive eyes,3
intricate designs,3
modern world,3
rare gift,3
starlit sky,3
lush green rice paddies,3
dense jungles,3
serene village,3
banana leaves,3
blue eyes,3
different cultures,3
warmth envelop,3
traditional clothing,3
lush rice paddies,3
vibrant hues,3
exotic fruits,3
expression thoughtful,3
monsoon season,3
low rumble,3
village square,3
inexplicable pull,3
true essence,3
lotus seed,3
tranquil pond,3
newfound wisdom,3
newfound clarity,3
simple lives,3
soft whispers,3
own adventures,3
entire village,3
lotus blossom,3
own stories,3
vibrant hub,3
tranquil village,3
mystical flower,3
restore harmony,3
nai ban,3
kind heart,3
bountiful harvests,3
colorful decorations,3
delicious food,3
warm smile,3
heavy heart,3
small satchel,3
pure heart,3
thread woven,3
jasmine dreams,3
deep brown eyes,3
sunny afternoon,3
rich traditions,3
mysterious bamboo grove,3
bamboo stalk,3
ancient legends,3
curious eyes,3
mr. chattak,3
ancient banyan tree,3
village herbalist,3
different time,3
ancient temples,3
true adventure,3
evening breeze,3
gentle spirit,3
bamboo trees,3
close-knit community,3
vibrant flowers,3
phu khiao,3
lush fields,3
dragon spirit,3
mae yai,3
bright eyes,3
vibrant flora,3
ban khao,3
colorful lanterns,3
grant wishes,3
strange energy,3
exotic birds,3
vibrant murals,3
grandmother som,3
drawing visitors,3
ancient spirits,3
dark clouds,3
constant reminder,3
grandmother sangwan,3
lotus ponds,3
chill run,3
own passions,3
ban phan,3
greedy man,3
family shrine,2
true beauty,2
young artist,2
vibrant life,2
brown eyes,2
beautiful fabrics,2
incense sticks,2
laughter filling,2
small boat,2
faraway places,2
quiet moments,2
familiar sounds,2
familiar sights,2
old friend,2
wind blew,2
strange connection,2
share stories,2
soft murmur,2
lila… lila…,2
ancient stone statue,2
traditional music,2
simple life,2
white lotus,2
warmth radiate,2
melodic voice,2
lotus flowers bloom,2
gentle wave,2
soft hum,2
beautiful princess,2
dear girl,2
good fortune,2
warm afternoon,2
gentle ripples,2
tranquil state,2
