File Name,Sentiment,Count
summary_Russian_stories.csv
,joy,14
,anger,6
,sadness,22
,fear,25
,love,3
summary_Norwegian_stories.csv
,joy,45
,love,1
,fear,25
,sadness,9
summary_Palestinian_stories.csv
,anger,2
,joy,66
,fear,3
,sadness,1
,love,1
summary_Israelian_stories.csv
,joy,58
,anger,6
,sadness,8
,fear,4
,love,2
,surprise,1
summary_Australian_stories.csv
,joy,54
,love,5
,fear,13
,sadness,7
,anger,1
summary_Chinese_stories.csv
,fear,19
,surprise,3
,sadness,6
,joy,49
,anger,3
,love,2
summary_Nigerian_stories.csv
,joy,56
,fear,11
,sadness,9
,anger,3
summary_Indian_stories.csv
,joy,64
,sadness,7
,love,3
,fear,6
,surprise,1
summary_Ukrainian_stories.csv
,joy,55
,sadness,9
,fear,8
,anger,1
,love,1
summary_American_stories.csv
,joy,44
,sadness,19
,anger,1
,fear,11
,love,4
