Word,Frequency
feel,418
town,382
maplewood,372
story,368
community,353
heart,278
find,247
festival,242
share,241
life,238
maple,226
begin,184
local,182
leave,180
tree,178
love,175
sense,171
fill,166
eye,153
stand,149
new,148
grandmother,148
old,147
know,146
day,138
air,131
laughter,128
voice,128
year,127
place,124
connection,123
leaf,122
home,121
come,121
like,121
spirit,121
time,117
family,115
say,107
smile,107
evening,105
people,105
dream,104
small,104
beauty,103
vibrant,101
journey,96
face,96
winter,96
approach,92
turn,92
past,89
work,89
explore,88
adventure,88
history,87
art,87
city,87
moment,86
friend,85
reply,83
landscape,82
way,82
embrace,82
set,81
excitement,80
think,79
change,79
look,79
hope,79
night,78
take,77
land,77
long,77
create,76
bring,76
autumn,75
week,75
return,74
sun,73
hand,73
memory,73
experience,72
continue,72
warm,71
spend,69
decide,69
realize,68
help,67
pass,67
world,66
belong,66
fall,65
legacy,65
promise,65
event,64
townsfolk,64
want,63
let,63
light,62
deep,62
resilience,62
surround,62
future,62
word,61
woman,61
child,61
step,61
gather,60
canada,60
tale,60
echo,59
write,58
sky,58
warmth,57
capture,57
inspire,57
watch,56
cast,56
title,56
whisper,56
sit,56
crisp,56
root,55
race,55
grow,55
artist,55
harvest,55
need,55
street,55
speak,54
season,54
toronto,54
organize,52
ask,52
scent,51
childhood,51
open,50
paint,50
forest,49
nature,48
pine,48
park,48
wood,47
weave,47
draw,47
sound,46
nestle,46
idea,46
beginning,46
lake,46
northern,45
transform,45
good,45
celebrate,45
generation,44
letter,44
showcase,44
live,44
golden,43
bond,43
tell,43
familiar,43
young,43
friendship,42
passion,42
center,42
treasure,42
afternoon,41
arrive,41
mother,41
hold,41
call,40
discover,40
purpose,40
beneath,40
snow,40
creek,40
hue,40
name,40
crowd,39
lead,39
dance,39
glow,39
cabin,39
chronicles,38
prepare,38
away,38
beautiful,37
learn,37
celebration,37
support,37
project,37
adorn,37
lights,37
morning,37
meet,36
wash,36
tapestry,36
settle,36
square,36
lose,36
swell,36
reach,36
walk,36
color,36
month,36
mountain,36
challenge,36
alex,36
journal,35
invite,35
sparkle,35
read,35
close,35
listen,34
wind,34
room,34
visit,34
photograph,34
nostalgia,34
café,34
thought,34
essence,34
welcome,34
twinkle,34
creativity,33
importance,33
pride,33
struggle,33
bustling,33
alive,33
joy,33
weight,33
group,33
quaint,33
spark,33
branch,32
mind,32
book,32
resident,32
gold,32
red,32
meeting,31
blanket,31
bright,31
house,31
join,31
piece,31
reflect,31
pull,31
renew,30
arrival,30
ready,30
follow,30
outside,30
nod,30
tear,30
see,30
remember,30
buzz,30
workshop,30
wander,30
ignite,30
build,30
catch,30
annual,29
tradition,29
conversation,29
connect,29
line,29
fade,29
hometown,29
understand,29
noah,29
arm,29
gratitude,28
break,28
coffee,28
breath,28
later,28
environmental,28
finally,28
magic,28
reveal,28
remind,28
hair,28
believe,28
horizon,28
intertwine,28
aurora,27
page,27
summer,27
thrive,27
epilogue,27
trail,27
nearby,27
wilderness,26
wave,26
spring,26
gaze,26
anticipation,26
run,26
craft,26
try,26
uncover,26
honor,26
cozy,26
miss,26
gathering,26
ontario,26
enthusiasm,25
envelop,25
display,25
canadian,25
aroma,25
stall,25
stumble,25
painting,25
blossom,25
man,25
curiosity,25
dip,25
intrigue,25
receive,24
fear,24
fire,24
mix,24
inspiration,24
hear,24
garden,24
move,24
forge,24
ground,24
tommy,24
library,24
stay,24
search,24
little,24
eager,24
decision,24
form,24
orange,23
farmer,23
opportunity,23
rush,23
wooden,23
resonate,23
job,23
testament,23
neighbor,23
secret,23
thank,23
strength,22
cottage,22
maybe,22
rally,22
reminder,22
preserve,22
rich,22
hot,22
gallery,22
tower,22
symbol,22
quiet,22
wear,22
culture,22
determination,22
fresh,22
play,21
music,21
waft,21
carry,21
apple,21
suggest,21
sip,21
plan,21
inside,21
exclaim,21
start,21
protect,21
strong,21
overwhelming,21
mayor,20
steady,20
door,20
freshly,20
notice,20
exhibition,20
emotion,20
booth,20
roll,20
weather,20
greet,20
travel,20
seek,20
laugh,20
storm,20
right,20
profound,20
path,20
sustainable,20
gentle,20
market,19
star,19
dear,19
fight,19
kind,19
mingle,19
table,19
immerse,19
heritage,19
wall,19
mean,19
present,19
late,19
hill,19
pie,19
loss,19
pour,19
deepen,19
offer,19
early,19
linger,18
blue,18
captivate,18
envision,18
newfound,18
unexpected,18
shape,18
business,18
guide,18
box,18
porch,18
soft,18
tall,18
design,18
camera,18
hour,18
spot,18
amidst,18
peace,18
girl,18
encourage,18
strike,18
deeply,17
window,17
breeze,17
admire,17
rustle,17
chilly,17
unfold,17
hide,17
elderly,17
illuminate,17
collection,17
narrative,17
energy,17
visitor,17
effort,17
erupt,17
corner,17
colorful,17
expect,17
host,16
chuckle,16
whispering,16
beloved,16
fabric,16
true,16
happen,16
indigenous,16
council,16
vision,16
island,16
heavy,16
end,16
ice,16
syrup,16
soon,16
wrap,16
vast,16
get,16
chance,16
food,16
unite,16
stunning,16
enter,16
cover,16
plant,16
white,16
intently,15
festivity,15
comfort,15
building,15
wait,15
hike,15
thing,15
storytelle,15
tremble,15
glisten,15
storytelling,15
different,15
teach,15
make,15
discovery,15
natural,15
carter,15
edge,15
expression,15
water,15
shadow,15
bury,15
parent,15
talent,15
rugged,15
go,15
townspeople,14
charm,14
progress,14
picturesque,14
cup,14
discuss,14
artisan,14
fireplace,14
serene,14
produce,14
treat,14
british,14
raise,14
area,14
forever,14
sight,14
bake,14
stop,14
columbia,14
quebec,14
development,14
cold,14
aspiration,14
softly,14
sketch,14
writing,14
road,14
surge,14
sunlight,14
volunteer,14
matter,14
breathtaking,14
special,14
remain,14
favorite,14
father,14
following,14
weekend,14
friendly,14
chill,14
venture,14
cherish,14
wildlife,14
power,14
wonderland,14
north,14
main,14
smell,13
blend,13
surprise,13
high,13
shade,13
document,13
unity,13
atmosphere,13
drive,13
exchange,13
slowly,13
school,13
grove,13
hall,13
possibility,13
legend,13
quickly,13
racing,13
talk,13
feeling,13
ancestor,13
rekindle,13
hang,13
homemade,13
bookstore,13
growth,13
chest,13
countless,13
age,13
snowy,13
decade,13
truly,13
clear,12
wish,12
pound,12
urge,12
shine,12
head,12
note,12
stage,12
series,12
spread,12
desire,12
hesitate,12
audience,12
success,12
emerge,12
structure,12
glance,12
newcomer,12
silence,12
shop,12
preparation,12
foster,12
wisdom,12
vancouver,12
endure,12
earth,12
ago,12
relationship,12
gain,12
rockies,12
beam,12
gently,12
bind,12
despite,12
university,12
writer,12
interview,12
sculpture,12
pack,12
practice,12
thick,12
great,12
low,12
clearing,12
large,12
cocoa,12
concern,12
nurture,12
article,12
map,12
applause,12
course,12
truth,12
solace,12
sweet,12
cheek,11
fort,11
far,11
cherished,11
october,11
spirited,11
crimson,11
program,11
living,11
musician,11
recount,11
orchard,11
rise,11
baked,11
settler,11
shimmer,11
identity,11
hidden,11
distance,11
pick,11
etch,11
cloud,11
space,11
tug,11
bridge,11
press,11
shoulder,11
focus,11
infectious,11
dust,11
participate,11
sure,11
potential,11
particularly,11
bus,11
pause,11
introduce,11
carve,11
steam,11
invigorate,11
shimmering,11
cheer,11
bear,11
collaborate,11
sketchbook,11
activity,11
émilie,11
wild,11
charming,11
stark,10
reconnecte,10
incredible,10
distant,10
canvas,10
presence,10
recent,10
entire,10
collaboration,10
well,10
enjoy,10
fiery,10
flicker,10
simple,10
stroll,10
youth,10
reality,10
pace,10
shore,10
recently,10
navigate,10
coin,10
pursue,10
creature,10
environment,10
ottawa,10
propose,10
serve,10
green,10
bennett,10
artwork,10
shift,10
study,10
dark,10
attention,10
flourish,10
pique,10
near,10
palpable,10
flutter,10
medium,10
diary,10
flame,10
balance,10
sprawl,10
consider,10
await,10
admit,10
harold,10
yellow,10
dedicate,10
feature,9
delicate,9
imagine,9
yes,9
upcoming,9
intricate,9
initiative,9
snowflake,9
social,9
flow,9
launch,9
tight,9
hub,9
bustle,9
promote,9
car,9
hollow,9
busy,9
sign,9
river,9
lean,9
fierce,9
witness,9
brow,9
agnes,9
thrill,9
photography,9
triumph,9
slightly,9
depict,9
widen,9
figure,9
tom,9
frozen,9
contribute,9
surrounding,9
shake,9
reminisce,9
show,9
entry,9
highlight,9
camaraderie,9
whirlwind,9
exhilarate,9
appreciation,9
encouragement,9
backdrop,9
marketing,9
marvel,9
historian,9
proud,9
tie,9
breathtake,9
pines,9
recognition,9
lift,9
fellow,9
responsibility,9
determined,9
include,9
lot,9
henderson,9
contrast,9
silvercrest,9
transcend,9
majestic,9
hint,9
dig,9
finger,9
knit,9
swirl,9
storyteller,9
reconnect,9
wide,9
graduate,9
couple,9
ahead,9
trip,9
bloom,8
news,8
studio,8
curious,8
self,8
chocolate,8
define,8
brush,8
respect,8
hey,8
partner,8
flood,8
mom,8
transformation,8
fix,8
uncertainty,8
save,8
grin,8
finish,8
novel,8
farm,8
perfect,8
rumor,8
sanctuary,8
knowledge,8
wonder,8
rhythm,8
key,8
brew,8
member,8
pink,8
picture,8
chaos,8
mcmurray,8
career,8
thread,8
seed,8
chat,8
bench,8
forget,8
game,8
pumpkin,8
scene,8
trepidation,8
deserve,8
destination,8
carefully,8
reflection,8
locket,8
jacob,8
ensure,8
war,8
journalist,8
surface,8
bubble,8
grandfather,8
amid,8
mirror,8
final,8
retreat,8
science,8
role,8
flip,8
revelstoke,8
campaign,8
instead,8
big,8
strengthen,8
advocate,8
librarian,8
delicious,8
tart,8
grief,8
explain,8
mystery,8
dusty,8
flower,8
climb,8
date,8
ancient,8
collective,8
suddenly,8
morgan,8
photo,8
hiking,8
log,8
awe,8
butter,8
eve,8
choose,7
cider,7
unveil,7
stone,7
courage,7
urgency,7
tightly,7
exploration,7
edith,7
nerve,7
simplicity,7
push,7
value,7
phone,7
saturday,7
heal,7
refuge,7
choice,7
stream,7
bonfire,7
overhead,7
newspaper,7
depth,7
descend,7
exactly,7
laurentians,7
jacques,7
montreal,7
tousled,7
appreciate,7
melt,7
clarity,7
research,7
thoughtfully,7
loom,7
confess,7
embark,7
check,7
carving,7
dinner,7
sort,7
mural,7
delve,7
remnant,7
fun,7
competition,7
paper,7
mixture,7
kiss,7
animal,7
reunion,7
tuck,7
awareness,7
interest,7
background,7
education,7
contemplate,7
encounter,7
hustle,7
proposal,7
creative,7
detail,7
bakery,7
short,7
tension,7
fulfillment,7
forward,7
sustainability,7
magical,7
pang,7
sunny,7
pen,7
silent,7
attend,7
brim,7
foliage,7
furniture,7
cause,7
henry,7
escape,7
seat,7
decoration,7
photographer,7
board,7
layer,6
vivid,6
determine,6
chloe,6
station,6
rural,6
teacher,6
unique,6
cafe,6
handmade,6
climate,6
ah,6
flashlight,6
alongside,6
creak,6
knock,6
drift,6
crossroad,6
clean,6
point,6
difference,6
sigh,6
kitchen,6
tea,6
kindness,6
stillness,6
purple,6
tinge,6
invitation,6
information,6
backpack,6
care,6
expectation,6
response,6
disappointment,6
banff,6
sway,6
tone,6
cascade,6
woodsmoke,6
investigate,6
stranger,6
urban,6
sell,6
abandon,6
furrow,6
tourism,6
barely,6
sturdy,6
national,6
postcard,6
setting,6
rediscover,6
lock,6
unpack,6
notebook,6
significance,6
cedar,6
record,6
glimmer,6
message,6
silver,6
understanding,6
mining,6
college,6
oak,6
passionate,6
artistic,6
reverie,6
unofficial,6
fuel,6
