Noun Phrase,Count
olive tree,447
olive trees,401
’ s heart,185
olive grove,77
olive groves,62
rough bark,47
olive harvest,45
long shadows,41
golden hue,39
ancient olive tree,35
ripe olives,34
village square,34
warm glow,33
childhood friend,32
israeli,29
gathering storm,27
deep breath,27
’ s voice,24
olive oil,23
small village,23
’ s eyes,23
please,22
sami,22
call,21
roots,21
's heart,21
palestine,20
remember,20
ancient olive trees,19
stark contrast,19
community center,19
aftermath,19
families,19
khaled,19
mira,19
shadow,18
hope,18
old olive tree,18
home. ”,18
family ’ s land,17
olive,17
will,17
’ s mind,17
voice firm,17
young men,17
young man,17
fresh bread,17
stark reminder,17
fear,17
weeks,16
inspired,16
tomorrow,16
olive branches,16
family ’ s history,16
future. ”,16
constant reminder,15
drawing attention,15
land,15
tensions,15
stand,15
sitti,15
’ s father,14
you. ”,14
young woman,14
harsh realities,14
jerusalem,13
past,13
ramallah,13
protest,13
ancient trees,13
together. ”,13
echoes,13
ancient tree,13
promise,13
resistance,13
shadows,13
# # # # chapter,13
khalil,13
ma'in,13
narrow streets,12
silenced. ”,12
gentle breeze,12
family ’ s legacy,12
here. ”,12
harvest festival,12
al-nakba,12
harvest season,12
dark cloud,12
’ s thoughts,12
’ s hand,12
tears,12
distant sounds,12
burqin,12
old man,12
memory,12
za ’ atar,12
thank,12
al-nasr,12
voice thick,11
warm embrace,11
grandmother ’ s voice,11
familiar faces,11
world needs,11
face pale,11
olive branch,11
hebron,11
slowly,11
vibrant colors,10
air thick,10
soldiers,10
social media,10
olive trees. ”,10
familiar scent,10
palestinians,10
it. ”,10
everything. ”,10
’ s time,10
al-masara,10
’ s hands,9
home * *,9
have,9
profound sense,9
are. ”,9
small hands,9
peaceful protests,9
dinner table,9
didn ’ t,9
warm golden hue,9
family ’ s,9
ancient olive groves,9
stories. ”,9
military vehicles,9
stories,9
village elders,9
heavy silence,9
fadi,9
al-mansour,9
karim,9
rami,9
dark hair,8
long day,8
outside world,8
” * * chapter,8
stop,8
don,8
’ s gaze,8
earthy scent,8
new settlement,8
amidst,8
silence,8
panic,8
storm,8
own stories,8
modest home,8
golden light,8
distant rumble,8
burin,8
history. ”,8
coming,8
beneath,8
weight,8
ma,8
father ’ s voice,8
people. ”,8
’ d,8
* chapter,8
hope. ”,7
collective spirit,7
you. ” “,7
saffa,7
old tree,7
action * *,7
ashraf,7
’ s home,7
fierce determination,7
deep connection,7
young girl,7
father ’ s,7
future generations,7
move,7
collective strength,7
family ’ s olive grove,7
tear gas,7
welcome,7
decision,7
* * end * *,7
laughter,7
heart,7
sun shone,7
sturdy trunk,7
neighbors,7
america,7
grandma,7
muna,7
ghassan,7
rashid,7
hafez,7
mahmoud,7
distant hills,6
legacy. ”,6
run,6
story. ”,6
familiar sights,6
determined,6
stone walls,6
hard work,6
grandmother ’ s,6
“ things,6
familiar sight,6
brief moment,6
everyone,6
olive tree ’ s whisper,6
fragile peace,6
memories,6
makeshift stage,6
deir asharaf,6
peaceful demonstration,6
# # #,6
that. ”,6
mother ’ s,6
voice,6
mother ’ s voice,6
family home,6
wide eyes,6
europe,6
storm cloud,6
unity. ”,6
al-balad,6
fire ignite,6
’ s shoulder,6
disperse,6
political climate,6
safe. ”,6
watchful gaze,6
olive tree chronicles,6
villagers,6
who,6
meeting,6
end * *,6
family ’ s home,6
family. ”,6
’ s expression,6
siti,6
hope amidst,6
evening breeze,6
's eyes,6
al-jarrah,6
small act,5
small gathering,5
hadn ’ t,5
small group,5
tight embrace,5
international organizations,5
heard. ”,5
tear,5
sun cast,5
bright eyes,5
them. ”,5
silvery leaves,5
community meetings,5
vibrant tapestry,5
olive tree ’ s shadow,5
narrow alleys,5
family ’ s struggles,5
deep roots,5
small stone house,5
bethlehem,5
reluctant sigh,5
heavy heart,5
wouldn ’ t,5
newfound determination,5
elderly woman,5
past. ”,5
golden glow,5
nearby village,5
community meeting,5
for. ”,5
own children,5
* * word,5
peaceful demonstrations,5
never,5
silent witnesses,5
’ s words,5
community gathering,5
new dawn,5
seed,5
mediterranean,5
peace. ”,5
endure. ”,5
cool breeze,5
day. ”,5
“ peace,5
world. ”,5
golden hues,5
family ’ s grove,5
reluctantly,5
enough,5
storm approaches,5
family 's olive grove,5
turning point,5
heritage. ”,5
cheers,5
evening air,5
gathering place,5
profound connection,5
countless stories,5
reckoning,5
strength. ”,5
aamir,5
powerful chorus,5
town square,5
ours. ”,5
i…,5
part,5
al-masri,4
own story,4
young people,4
family 's land,4
family 's history,4
whispers,4
nakba,4
voices matter,4
spirit. ”,4
banners,4
grandmother ’ s house,4
people ’ s,4
night sky,4
silent understanding,4
save,4
fateful evening,4
beginnings,4
amidst adversity,4
familiar voice,4
childhood home,4
environmental science,4
sustainable practices,4
it. ” * * chapter,4
identity. ”,4
soft glow,4
heavy machinery,4
rubber bullets,4
lit room,4
* * end,4
excerpt,4
departure,4
confrontation,4
isn ’ t,4
family ’ s olive trees,4
’ s stories,4
inspire others,4
ancestors ’ struggles,4
grandmother ’ s words,4
help. ”,4
wasn ’ t,4
annual tradition,4
unbreakable bond,4
small victory,4
chill run,4
voice hoarse,4
harvest olives,4
smooth stone,4
narrow path,4
’ s stomach,4
daily lives,4
international media,4
olive leaves,4
olives,4
warm bread,4
israelis,4
village life,4
abu khalil,4
deep sense,4
susiya,4
us. ” “,4
resilience. ”,4
paris,4
sweet scent,4
father,4
place. ”,4
thick fog,4
us. ” * * chapter,4
same. ”,4
dark eyes,4
favorite olive tree,4
village. ”,4
late afternoon,4
heavy weight,4
history,4
count,4
alone. ”,4
media,4
