Noun Phrase,Count
ancient olive tree,28
magical olive tree,24
quaint village,18
olive tree,16
curious boy,6
true treasure,6
whispers secrets,5
silver key,4
olive trees,4
vibrant village,4
curious girl,4
fairy guardian,3
favorite olive tree,3
tree 's,3
treasure map,3
future generations,3
magical quest,3
magical adventure,3
golden olive,3
olive groves,3
magical secrets,3
charming village,2
ancient grove,2
village 's,2
true wealth,2
magical olive grove,2
magical key,2
small village,2
bountiful harvest,2
true power,2
grandmother 's tales,2
mystical olive tree,2
adventurous quest,2
ancestral stories,2
mysterious key,2
ornate box,2
tree ’ s legacy,2
golden olives,2
community spirit,2
village 's history,2
wise owl,2
tree ’ s,2
grandmother 's olive grove,1
hidden,1
animal friends,1
owl,1
's riddle,1
village 's legacy,1
al-razah,1
al-zahra,1
ancestral scrolls,1
beit zait,1
zayna,1
olive seeds,1
village 's joy,1
revives laughter,1
mysterious storyteller arrives,1
magical world,1
joyful spirits,1
sunstone,1
restores light,1
friends uncover,1
whispering olive,1
magical items,1
complete tasks,1
community 's history,1
ornate key,1
tree reveals scrolls,1
vibrant stones,1
rich heritage,1
joyful festival,1
centuries-old olive tree,1
diverse backgrounds,1
share food,1
barriers dissolve,1
's spirit,1
al-nakhl,1
sitti zaytoun,1
forgotten stories,1
rekindling joy,1
wondrous valley,1
shadow keeper,1
peace transforms,1
hadi,1
olive tree landscape,1
upon,1
mysterious treasure map,1
cultural treasures,1
community bonds,1
magical story,1
olive realm,1
envious wind,1
uncover clues,1
new tree,1
old treasure map,1
true meaning,1
ancient town,1
garden 's,1
elderly woman,1
ancient olive grove,1
dark forces,1
village 's heritage,1
amira,1
zahrat,1
ancient olive tree—a magical bracelet,1
awakened,1
grove 's spirit,1
inspires unity,1
shares secrets,1
treasure—a collection,1
brave girl,1
motivated,1
treasure hunt,1
harvest festival,1
door,1
's adventure reveals,1
adventure inspires,1
sitti,1
selma,1
forest creatures,1
rusty key,1
grandmother ’ s,1
wise woman,1
magical land,1
zahra,1
granted,1
share ancestral stories,1
whisper secrets,1
stone,1
village ’ s history,1
shadow,1
doubt,1
newfound wisdom,1
whispers clues,1
's legacy,1
greedy merchant,1
foster joy,1
garden 's legacy thrives,1
feast,1
village 's olive tree,1
sayed,1
amidst,1
deir,1
spirit,1
mountain,1
secret door,1
village ’ s olive trees,1
village bonds,1
tree 's wisdom,1
togetherness endures,1
blue kite,1
heartbroken,1
newfound friends,1
golden light,1
olive grove,1
playful fox,1
tree guardians,1
people 's stories,1
returns home,1
learns stories,1
plants seeds,1
al-azhar,1
ancient olive trees,1
grant wishes,1
wise olive,1
wisdom stone,1
silver dew,1
peace transform,1
fragile olive tree,1
special powers,1
bond deepens,1
following,1
valley 's beauty,1
environmental stewardship,1
vibrant world,1
evil sorcerer,1
magical fruit,1
olivina,1
enchanted,1
way home,1
al-nour,1
organizing,1
small festival,1
unites villagers,1
family 's stories,1
aisha,1
local children,1
true riches lie,1
discovers magical stones,1
abu ahmad,1
's stall,1
choosing,1
red stone,1
ancient ruins,1
stones,1
grandmother 's guidance,1
dream bird,1
vibrant paradise,1
ibrahim,1
community 's struggles,1
nurtures hope,1
baby fox,1
naming,1
zaki,1
wise olive tree,1
grandmother 's magical olive grove,1
full moon,1
joy,1
young dreamer,1
al-najm,1
hope,1
grandmother 's wisdom,1
special gift,1
grandmother 's grove,1
vibrant streets,1
al-quds,1
ornate lantern,1
new friends,1
zaytouna,1
zayt,1
water shortage,1
red kite,1
foster community,1
whispers dreams,1
adventurous friend,1
village elders,1
journey inspires,1
community ’ s legacy,1
nour,1
restores hope,1
special olive seed,1
majestic tree,1
magical stone,1
rallying,1
joyful rain dance,1
grove ’ s legacy,1
ranya,1
storm threatens,1
village ’ s heritage,1
unearth letters,1
new olive tree,1
moonlit adventure,1
foster hope,1
tree 's spirit,1
legendary magical garden,1
friendship 's,1
adventure transforms,1
village 's storytellers,1
gathers villagers,1
collaborative mural,1
adventurous boy,1
colorful marbles,1
olive tree whisperer,1
friends plant,1
years,1
hikmat,1
ancient tree,1
giant 's,1
thrilling adventure,1
dream,1
magical door,1
vibrant land,1
dream creature,1
zayd,1
tiny guardian,1
forgotten tree 's dream,1
tree awakens,1
village storyteller,1
culture 's stories,1
beit jala,1
uncover olive wood carvings,1
rekindle joy,1
adventurous journey,1
faces trials,1
magic fades,1
ancient scrolls,1
cave,1
whispers,1
magical seeds,1
adventure reignites hope,1
magical tree,1
facing,1
learns courage,1
golden olive tree,1
timeless secrets,1
al-bayda,1
friendly rabbit,1
everyday experiences,1
magical pebble,1
shares joy,1
vibrant mosaic,1
homeland ’ s beauty,1
bethlehem,1
bright star,1
nuri,1
adventure,1
explores vibrant planets,1
newfound insights,1
drawn,1
mysterious olive tree,1
zaytoun,1
nura,1
olive tree 's guardian,1
true wishes,1
