story_id,sentiment,confidence,model,date
CL_1,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
CL_2,surprise,0.97,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
CL_3,sadness,0.55,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
CL_4,fear,0.94,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
CL_5,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
CL_6,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
CL_7,joy,0.58,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
CL_8,joy,0.98,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
CL_9,fear,0.84,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
CL_10,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
CL_11,joy,0.94,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
CL_12,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
CL_13,joy,0.97,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
CL_14,joy,0.97,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
CL_15,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
CL_16,joy,0.98,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
CL_17,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
CL_18,fear,0.55,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
CL_19,joy,0.44,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
CL_20,sadness,0.98,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
CL_21,anger,0.87,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
CL_22,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
CL_23,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
CL_24,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
CL_25,joy,0.7,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
CL_26,joy,0.98,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
CL_27,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
CL_28,joy,0.85,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
CL_29,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
CL_30,love,0.62,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
CL_31,fear,0.85,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
CL_32,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
CL_33,anger,0.55,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
CL_34,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
CL_35,fear,0.82,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
CL_36,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
CL_37,fear,0.92,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
CL_38,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
CL_39,joy,0.57,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
CL_40,joy,0.95,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
CL_41,surprise,0.74,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
CL_42,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
CL_43,joy,0.94,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
CL_44,joy,0.86,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
CL_45,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
CL_46,joy,0.97,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
CL_47,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
CL_48,joy,0.98,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
CL_49,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
CL_50,surprise,0.93,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
