Story_ID,Summaries,Prompt,Model,Date
CZ_1,"In ""The Last Train to Prague,"" a struggling artist named Eliška finds inspiration after meeting a traveler, Viktor, in a café. He invites her on a journey to Český Krumlov, where she discovers beauty and creativity. The experience reignites her artistic passion, transforming her perspective on life and art.","In English, write a 50 word plot summary of this story: [STORY]",gpt-4o-mini,25-02-2025
CZ_2,"In the Czech village of Nové Dvory, artist Eliška becomes entranced by haunting echoes in the nearby Bohemian Forest. Drawn deeper by a mysterious melody, she encounters an ethereal woman who reveals the echoes’ connection to forgotten souls. Eliška paints their stories, ensuring their memories endure through her art.","In English, write a 50 word plot summary of this story: [STORY]",gpt-4o-mini,25-02-2025
CZ_3,"In the quaint village of Nový Kraj, adventurous Eliska discovers a magical realm of fairies in the whispering pines. Embracing her connection to nature, she learns to wield its magic. When darkness threatens her home, Eliska unites villagers and fairies to protect both worlds, becoming a guardian of the forest's secrets.","In English, write a 50 word plot summary of this story: [STORY]",gpt-4o-mini,25-02-2025
CZ_4,"In ""Shadows of Prague,"" graduate student Eliška discovers the legend of the Golem while researching Czech folklore at a café. A mysterious man warns her about the dangers of awakening the Golem, symbolizing protection against injustice. Ultimately, Eliška chooses to honor its legacy by advocating for the oppressed.","In English, write a 50 word plot summary of this story: [STORY]",gpt-4o-mini,25-02-2025
CZ_5,"In Prague, young artist Eliška draws inspiration from the Vltava River and the legacy of a long-lost painter, Jakub. As she delves into his life and struggles with perfection, Eliška finds herself torn between ambition and authenticity. Ultimately, she embraces her journey, creating a masterpiece that captures the city’s soul.","In English, write a 50 word plot summary of this story: [STORY]",gpt-4o-mini,25-02-2025
CZ_6,"In Prague's Vyšehrad fortress, aspiring historian Martin Šíma uncovers a hidden alcove containing ancient legends and a treasure guarded by a knight’s spirit. Facing his fears through trials, he realizes the treasure is knowledge and unity. Martin vows to share these stories, becoming a beacon of hope for his people’s heritage.","In English, write a 50 word plot summary of this story: [STORY]",gpt-4o-mini,25-02-2025
CZ_7,"In the tranquil village of Hřibov, Klára seeks solace from her chaotic past in the enchanting Whispering Woods. Guided by the whispers of trees and a mysterious old woman, she discovers a glade where lost memories resurface. Embracing her past, Klára finds healing, connection, and her heart’s true desire.","In English, write a 50 word plot summary of this story: [STORY]",gpt-4o-mini,25-02-2025
CZ_8,"In the picturesque town of Český Krumlov, a lonely painter named Klára discovers the beauty of shadows through a chance encounter with an older man, Pavel. Inspired, she creates a series of paintings reflecting deep emotions. As she embraces her artistry, Klára transforms her life, finding connection and hope amid darkness.","In English, write a 50 word plot summary of this story: [STORY]",gpt-4o-mini,25-02-2025
CZ_9,"In Prague, Viktor, an old clockmaker, crafts timepieces capturing memories. When young Anika wishes to see her late mother, he reveals a magical clock, showing her cherished moments. Through their bond, Anika learns to embrace the past while dreaming of the future. Viktor’s final gift symbolizes hope and the beauty of time.","In English, write a 50 word plot summary of this story: [STORY]",gpt-4o-mini,25-02-2025
CZ_10,"In ""Echoes of the Vltava,"" Petr Novák travels from America to the Czech Republic to uncover his family's roots in Český Krumlov. As he learns about his ancestors and immerses himself in local traditions, he forms a deep connection with the community and a budding romance with Anna, embracing his heritage and future.","In English, write a 50 word plot summary of this story: [STORY]",gpt-4o-mini,25-02-2025
CZ_11,"In a quaint Czech village, young Ančka discovers the enchanted willows of Větrná Louka, known for their whispers of past secrets and future dreams. Encouraged by her adventurous spirit, she gathers friends to explore the grove, where they meet a mysterious guardian who inspires Ančka to embrace her gift of storytelling, shaping her destiny.","In English, write a 50 word plot summary of this story: [STORY]",gpt-4o-mini,25-02-2025
CZ_12,"In the quaint village of Vranov, young Aneta defies warnings to explore the enigmatic Whispering Forest. Guided by the ethereal Guardian, she learns the forest's secrets and faces trials that test her resolve. Ultimately, she unites the villagers to protect their home, transforming fear into a celebration of nature's whispers.","In English, write a 50 word plot summary of this story: [STORY]",gpt-4o-mini,25-02-2025
CZ_13,"In ""Beneath the Echoes of Prague,"" young artist Eva arrives in Prague, where she meets painter Jakub. Together, they embark on a creative journey, overcoming self-doubt and adversity to create a mural for an art festival. Their collaboration symbolizes resilience and friendship, transforming their dreams into a vibrant reality.","In English, write a 50 word plot summary of this story: [STORY]",gpt-4o-mini,25-02-2025
CZ_14,"In the serene village of Nové Věky, Klára discovers a locket belonging to her great-grandmother, Eliska, who once dreamed of adventure but stayed behind. Inspired, Klára journeys to Prague, uncovering Eliska's legacy and transforming her family's history into a vibrant art community, bridging the past with her own dreams for the future.","In English, write a 50 word plot summary of this story: [STORY]",gpt-4o-mini,25-02-2025
CZ_15,"In the small Czech town of Klatovy, Eliška, a talented weaver, prepares for the annual Arts Festival, showcasing her tapestry inspired by folklore. As she shares stories with a curious young girl, Anička, they form a bond that rekindles Eliška's connection to her heritage, emphasizing the importance of storytelling and tradition.","In English, write a 50 word plot summary of this story: [STORY]",gpt-4o-mini,25-02-2025
CZ_16,"In ""The Last Train to Moravia,"" Marek returns to his hometown after years in Prague, feeling defeated and lost. On the train, he meets a wise woman who encourages him to reconnect with his past. Upon arriving in Brno, he unexpectedly reunites with childhood friend Anna, rekindling their bond and realizing the importance of home and true happiness.","In English, write a 50 word plot summary of this story: [STORY]",gpt-4o-mini,25-02-2025
CZ_17,"In the picturesque town of Hranice, young Eliška struggles with the loss of her mother during the annual Festival of Lanterns. Guided by the wise Baba Jitka, she creates a lantern to honor her mother, transforming her grief into a celebration of love and memory, illuminating the darkness together with her community.","In English, write a 50 word plot summary of this story: [STORY]",gpt-4o-mini,25-02-2025
CZ_18,"In ""Echoes of the Vltava,"" young historian Anna Havelková discovers the power of storytelling while researching the Czech national revival. A chance encounter with the elderly Karel Novák leads her on a journey through time, igniting her passion to honor the past, especially the tale of the courageous Eliska.","In English, write a 50 word plot summary of this story: [STORY]",gpt-4o-mini,25-02-2025
CZ_19,"In the enchanting village of Nový Hrad, Eliška returns from Prague and discovers a whispering grove of ancient pines. Guided by mysterious voices, she ventures into the heart of the Šumava forest, awakening her ancestors' spirits. Inspired, she revitalizes village traditions, uniting the community in celebration of their magical heritage.","In English, write a 50 word plot summary of this story: [STORY]",gpt-4o-mini,25-02-2025
CZ_20,"In ""The Echoes of Old Prague,"" art historian Eva explores the city's rich history and uncovers a hidden gallery belonging to forgotten Baroque painter Antonín Král. Guided by local Jan, they seek Král's lost masterpiece and discover his connection to spirits of folklore, ultimately giving voice to his tragic story through a celebrated exhibition.","In English, write a 50 word plot summary of this story: [STORY]",gpt-4o-mini,25-02-2025
CZ_21,"In Prague, glassmaker Antonín struggles to create the perfect glass heart, symbolizing love and pain. When he meets Eliska, a troubled girl, they form a bond while working together. Their shared experiences inspire them to craft a flawed yet beautiful heart, reflecting their journey and resilience, ultimately embracing imperfection.","In English, write a 50 word plot summary of this story: [STORY]",gpt-4o-mini,25-02-2025
CZ_22,"In ""The Echoes of Bohemia,"" Eva returns to her hometown of Český Krumlov after ten years, inspired to write her first novel. While exploring memories and local legends, she discovers her grandmother's journal and reconnects with childhood friend Adam. Together, they weave the town's stories into a tapestry of love and heritage.","In English, write a 50 word plot summary of this story: [STORY]",gpt-4o-mini,25-02-2025
CZ_23,"In ""The Echoes of Liberec,"" young historian Anna returns to her hometown to uncover its hidden stories. With her childhood friend Eliška, they explore the significance of the old clock tower and its role in local resistance during the war. Together, they honor forgotten heroes through a poignant museum exhibit.","In English, write a 50 word plot summary of this story: [STORY]",gpt-4o-mini,25-02-2025
CZ_24,"In Prague, young artist Marek finds inspiration along the Vltava River, where he meets historian Eliska. Their deepening romance fuels Marek's creativity, but as his art darkens, he risks losing their connection. Ultimately, they unite their passions, creating a harmonious blend of love and art, echoing the river's timeless stories.","In English, write a 50 word plot summary of this story: [STORY]",gpt-4o-mini,25-02-2025
CZ_25,"In 2023 Prague, graduate student Klara discovers a mysterious manuscript filled with historical clues and drawings. Guided by its secrets, she embarks on a journey to unveil the city’s hidden tales. As she connects with the past, Klara becomes a modern-day guardian of Prague's rich history, sharing its stories with the world.","In English, write a 50 word plot summary of this story: [STORY]",gpt-4o-mini,25-02-2025
CZ_26,"In the enchanting village of Dubovice, young Aneta embarks on a quest to restore balance to her land after discovering an ancient spirit in the Whispering Woods. Tasked with retrieving three magical items, she faces her fears, learns true selflessness, and ultimately revitalizes her village's connection to nature and its spirits.","In English, write a 50 word plot summary of this story: [STORY]",gpt-4o-mini,25-02-2025
CZ_27,"In Pilsen, Czech Republic, history student Klára discovers a faded journal belonging to Antonín Varga, an original brewer at Pilsner Urquell. Inspired by his reflections on tradition and modernity, she creates a multimedia exhibition that connects the past with the present, fostering appreciation for Pilsen's cultural heritage and inspiring community pride.","In English, write a 50 word plot summary of this story: [STORY]",gpt-4o-mini,25-02-2025
CZ_28,"In the enchanting Czech village of Vranov, young Aneta discovers a magical forest guardian named Eliska. Together, they embark on a quest to find a hidden treasure, gathering a wise owl's feather, a Moonflower, and a singing stone. Aneta returns to her village, sharing stories that rekindle belief in magic.","In English, write a 50 word plot summary of this story: [STORY]",gpt-4o-mini,25-02-2025
CZ_29,"In Třebíč, journalist Eliška returns to her hometown, seeking solace after years in Prague. While exploring, she discovers a legend of a mysterious echo that mourns a lost love. Intrigued, she investigates, ultimately encountering the spirit of a woman bound to the hills, forever searching for her beloved, inspiring Eliška’s writing.","In English, write a 50 word plot summary of this story: [STORY]",gpt-4o-mini,25-02-2025
CZ_30,"In the Czech countryside, Eliska receives an invitation to her estranged uncle Jiri's estate in the mystical Whispering Pines. Intrigued, she embarks on a journey filled with adventure and ancient legends. Together, they uncover family secrets and the true treasure of wisdom, ultimately connecting with nature and their heritage.","In English, write a 50 word plot summary of this story: [STORY]",gpt-4o-mini,25-02-2025
CZ_31,"In ""The Last Train to Prague,"" Anna leaves her small hometown for the vibrant city, hoping to become an artist. As she navigates the challenges of urban life, she battles loneliness and self-doubt. However, after forming connections with fellow artists, she finds her place, reigniting her passion and creativity.","In English, write a 50 word plot summary of this story: [STORY]",gpt-4o-mini,25-02-2025
