Name,Count
Eleanor,14
Clara,4
Eleanor Hawthorne,3
Clara Hargrove,2
Eliza Hawthorne,2
Thomas Hargrove,2
Nathaniel Pembroke,1
Margaret Hargrove,1
Eleanor Thorne,1
Eleanor Finch,1
Clara Thompson,1
Margaret,1
Eliza,1
Ellie,1
Hastings,1
Evelyn Hartley,1
Eleanor Worthington,1
Charlotte Hargrove,1
Alice Granger,1
Clara Penrose,1
Eileen Parker,1
Arthur Elliot,1
Alfie Trumble,1
Evelyn,1
Eleanor Barrow,1
Oliver Greyson,1
Eleanor Tamsin,1
Amelia Hawthorne,1
Eliza Hartley,1
Clara Hawthorne,1
Eliza Montgomery,1
