Word,Frequency
sea,643
feel,401
story,401
heart,398
island,346
whisper,310
åland,310
wave,297
water,296
spirit,258
voice,222
eye,215
share,196
tale,192
like,191
find,182
begin,174
shore,155
grandmother,147
stand,145
listen,145
sun,141
air,140
light,138
echo,137
know,136
connection,134
day,133
wind,132
fill,132
home,128
return,128
past,128
adventure,125
small,124
come,122
life,122
secret,121
treasure,120
guide,116
stone,114
storm,114
ocean,112
old,110
sense,109
horizon,109
time,108
journey,107
hear,106
say,103
deep,101
set,100
love,98
world,98
seek,95
race,94
speak,94
close,94
sound,93
history,92
carry,91
call,91
whispering,89
night,87
year,87
long,87
place,86
woman,85
hold,84
explore,84
archipelago,83
ancient,81
village,81
boat,81
hand,80
dream,79
smile,78
legend,78
sky,78
continue,78
lose,77
legacy,77
beneath,76
land,75
turn,74
depth,73
evening,72
balance,72
step,72
surface,72
understand,71
sailor,71
pass,71
embrace,71
leave,69
generation,69
ask,68
fisherman,67
local,67
hair,67
lantern,67
dance,67
approach,66
gather,65
hope,65
family,64
cast,64
villager,63
moment,63
guardian,62
gentle,62
uncover,61
pull,61
rocky,61
reveal,60
glow,60
sail,60
excitement,60
take,59
young,59
spend,59
hide,58
follow,58
community,58
rock,58
memory,57
people,57
grow,57
soft,57
laughter,57
shimmer,57
weave,56
child,56
live,55
fade,55
mind,55
reply,55
discover,54
path,54
scent,54
cliff,54
paint,54
new,53
word,53
ship,52
open,52
way,52
curiosity,52
face,52
tell,52
deeply,52
beauty,52
edge,51
decide,51
islands,50
beach,49
remember,49
envelop,49
reach,49
watch,49
hue,49
protect,48
sit,48
breeze,48
look,48
away,48
nature,47
sparkle,47
tide,47
emerge,47
reminder,47
waves,47
morning,46
girl,46
fish,46
resonate,46
warm,46
lead,46
learn,45
alva,45
figure,45
suddenly,44
help,44
tree,44
friend,44
surround,44
wooden,44
bond,44
root,44
catch,43
mystery,43
crash,43
notice,43
letter,43
forest,43
dip,42
title,42
name,41
urge,41
weight,41
inspire,41
wait,40
nod,40
honor,40
gaze,40
alive,40
ancestor,40
gently,40
cove,40
cottage,40
vibrant,40
change,40
map,39
realize,39
week,39
swirl,39
illuminate,39
star,39
baltic,38
wisdom,38
future,38
lighthouse,38
breath,38
intertwine,38
stumble,38
energy,38
warmth,38
golden,38
weather,38
fear,38
cave,37
intrigue,37
magic,37
restore,37
visit,37
color,37
landscape,36
soul,36
flow,36
draw,36
wonder,36
purpose,36
rise,36
creature,36
shell,35
blue,35
power,35
see,35
want,35
form,35
forever,35
symbol,35
thought,35
festival,35
wish,34
shadow,34
tapestry,34
shimmering,34
compass,34
wash,34
walk,34
heritage,33
respect,33
anticipation,33
distant,33
pound,33
cool,33
need,33
hidden,33
salty,33
mariehamn,32
glimmer,32
chest,32
mermaid,32
wander,32
welcome,31
discovery,31
true,31
summer,31
piece,31
hour,30
finger,30
melody,30
islander,30
promise,30
familiar,30
belong,30
adorn,30
pearl,30
orange,30
truth,30
inside,30
bring,29
rich,29
arrive,29
man,29
gathering,29
surge,29
forget,29
tremble,28
determination,28
experience,28
encounter,28
ferry,28
thick,28
courage,28
meet,28
darkness,27
venture,27
lost,27
prepare,27
dawn,27
navigate,27
believe,27
locket,27
low,27
quest,26
shift,26
peace,26
lap,26
wall,26
childhood,26
grandfather,26
newfound,26
settle,26
pulse,26
bury,25
transform,25
expression,25
run,25
quaint,25
brave,25
forge,25
intently,25
ignite,25
search,25
forward,24
delicate,24
dock,24
rugged,24
vitsö,24
finally,24
presence,24
mean,24
sand,24
pine,24
organize,24
bind,24
faint,24
ethereal,24
let,24
calm,24
bright,23
determine,23
lush,23
later,23
write,23
nestle,23
brush,23
racing,23
folklore,23
tear,23
think,23
mix,23
moon,23
marine,22
remain,22
spot,22
strange,22
mist,22
swam,22
wide,22
essence,22
reflect,22
house,22
dark,22
shape,22
work,21
remind,21
foot,21
captivate,21
present,21
exclaim,21
eager,21
storyteller,21
autumn,21
center,21
preserve,21
twinkle,21
moonlight,21
arm,21
beginning,21
thread,21
breathe,21
echoes,21
melodic,21
understanding,21
spine,21
salt,21
song,21
importance,21
fabric,21
spread,20
dear,20
join,20
knowledge,20
connect,20
desire,20
overlook,20
shoreline,20
course,20
sunlight,20
gold,20
longing,20
gratitude,20
choose,20
wildflower,20
lean,20
celebrate,20
fishing,20
pink,20
epilogue,20
awaken,19
thrive,19
clear,19
photograph,19
olof,19
cloud,19
ah,19
break,19
read,19
far,19
beckon,19
sweden,19
haunt,19
harmony,19
arrival,19
joy,19
create,19
rustle,18
music,18
guidance,18
softly,18
mysterious,18
barely,18
testament,18
swell,18
rest,18
distance,18
trial,18
mingle,18
invite,18
appear,18
beautiful,18
flicker,18
steady,18
pride,18
afternoon,18
imagine,18
unfold,17
tranquil,17
different,17
await,17
källskär,17
room,17
elderly,17
vision,17
rhythm,17
serene,17
study,17
book,17
rush,17
recount,17
vast,17
coral,17
collection,17
countless,17
ensure,17
hang,16
earth,16
jonas,16
tightly,16
strength,16
chill,16
ready,16
teach,16
near,16
flood,16
smooth,16
closely,16
intricate,16
strong,16
great,16
current,16
war,16
gasp,16
lapping,16
jewel,16
circle,16
bridge,16
coastline,16
keeper,16
collect,16
tower,15
etch,15
endure,15
bottle,15
tousle,15
imagination,15
profound,15
anchor,15
silver,15
inexplicable,15
shake,15
crisp,15
gem,15
clearing,15
conch,15
spark,15
go,15
thank,15
kind,15
howl,15
transcend,15
culture,15
stay,15
lift,15
enchanting,15
resilience,15
wild,15
green,15
entrance,15
spirited,15
truly,14
narrow,14
awe,14
sing,14
blend,14
allow,14
soon,14
pique,14
month,14
realm,14
large,14
carve,14
elder,14
fall,14
isle,14
underwater,14
dare,14
celebration,14
challenge,14
guard,14
line,14
explain,14
ground,14
thrill,14
harbor,13
answer,13
father,13
wood,13
restless,13
kneel,13
force,13
finland,13
stream,13
rhythmic,13
wear,13
craft,13
cover,13
shade,13
message,13
grant,13
shipwreck,13
bird,13
dedicate,13
pick,13
glisten,13
chestnut,13
powerful,13
seaweed,13
emotion,13
ago,13
sweep,13
king,12
cherish,12
roll,12
responsibility,12
play,12
sink,12
charm,12
bravery,12
town,12
rumor,12
exploration,12
flower,12
stop,12
secluded,12
embark,12
research,12
museum,12
nearby,12
radiate,12
trace,12
kiss,12
artifact,12
expanse,12
happen,12
climb,12
ray,12
sight,12
image,12
spin,12
language,12
vow,12
overhead,12
mirror,12
loom,12
loss,12
fateful,12
hint,12
journal,12
shroud,12
beacon,12
sorrow,12
sacrifice,12
gift,12
deepen,12
carving,12
havsvandrar,11
overwhelming,11
sign,11
café,11
drift,11
trepidation,11
prove,11
quiet,11
slip,11
dot,11
end,11
half,11
heavy,11
descend,11
gesture,11
head,11
final,11
clutch,11
ålandic,11
determined,11
notebook,11
shine,11
encourage,11
unusual,11
unique,11
rage,11
kökar,11
human,11
murmur,11
bear,11
passion,11
city,11
tradition,11
necklace,11
capture,11
pause,11
silence,11
ear,11
shout,11
move,11
solace,11
tides,11
free,11
fog,11
offer,11
stir,11
chapel,11
yes,11
bloom,11
serpent,11
scatter,11
amidst,11
season,11
wrap,11
marvel,11
ingeborg,10
renew,10
resolve,10
try,10
following,10
silent,10
ruin,10
deck,10
clue,10
grove,10
warning,10
enchantress,10
artist,10
moss,10
stockholm,10
bustling,10
chaos,10
mormor,10
slowly,10
nostalgia,10
curious,10
structure,10
examine,10
colorful,10
greet,10
object,10
fresh,10
attention,10
shoulder,10
window,10
freshly,10
little,10
flourish,10
struggle,10
focus,10
startle,10
källvik,10
test,10
reconnect,10
intricately,10
view,10
relic,10
entity,10
awake,10
matter,10
axel,10
sanctuary,10
good,10
emerald,10
chamber,10
fierce,10
street,10
point,9
cross,9
conversation,9
treacherous,9
magical,9
otherworldly,9
backpack,9
sustainable,9
high,9
seagull,9
canvas,9
possibility,9
dense,9
coffee,9
andersson,9
crowd,9
net,9
trap,9
radiant,9
document,9
glide,9
luminous,9
recognize,9
roam,9
tug,9
townsfolk,9
soar,9
age,9
despite,9
practice,9
pocket,9
touch,9
tall,9
mixture,9
cry,9
kaldholm,9
purple,9
effort,9
identity,9
tranquility,9
table,9
depict,9
comfort,9
stretch,9
twist,9
dig,9
glance,9
glint,9
delve,9
humanity,9
pool,9
declare,9
peer,9
vein,9
fulfillment,8
shiver,8
quickly,8
tie,8
wise,8
confront,8
remnant,8
grateful,8
bake,8
soothing,8
mere,8
heartbeat,8
feeling,8
warn,8
yearn,8
coast,8
key,8
mainland,8
location,8
scale,8
cabin,8
endless,8
dreamer,8
wade,8
capital,8
protector,8
exchange,8
linger,8
bread,8
porch,8
heal,8
fire,8
school,8
care,8
disappear,8
unlike,8
reverence,8
workshop,8
hum,8
peculiar,8
early,8
altar,8
carefully,8
diamond,8
design,8
mythical,8
chuckle,8
dress,8
pedestal,8
dive,8
give,8
storytelling,8
recall,8
threaten,8
hull,8
real,8
knowing,8
lung,8
question,8
page,8
strike,8
pry,8
louder,8
press,7
plan,7
gust,7
concern,7
raise,7
group,7
undeniable,7
will,7
clarity,7
careful,7
respond,7
fight,7
knowingly,7
natural,7
glass,7
cascade,7
plant,7
cloak,7
cavern,7
enter,7
iridescent,7
glimpse,7
witness,7
worth,7
bustle,7
church,7
push,7
stormy,7
hill,7
pour,7
aurora,7
flashlight,7
mother,7
frame,7
cluster,7
sunset,7
sketch,7
brew,7
hesitate,7
tone,7
rent,7
trunk,7
claim,7
library,7
century,7
caution,7
dart,7
sturdy,7
destiny,7
ponder,7
immerse,7
parchment,7
white,7
proud,7
red,7
writing,7
envision,7
unearth,7
dwell,7
steep,7
float,7
agneta,7
wound,7
reef,7
supply,7
kärlek,7
precious,7
scan,7
vessel,7
magnificent,7
vårdö,7
enchant,7
needle,7
blaze,7
skin,7
danger,7
aroma,7
grandma,7
selkie,7
apprehension,7
drive,7
trail,6
myth,6
blanket,6
silhouette,6
source,6
mischief,6
lore,6
festivity,6
vattenvittnen,6
secure,6
corner,6
waft,6
meridia,6
abandon,6
caress,6
storytelle,6
pierce,6
depths,6
unease,6
curl,6
oak,6
choice,6
reclaim,6
bed,6
debris,6
plunge,6
safety,6
travel,6
proudly,6
bubble,6
board,6
breathtaking,6
pursue,6
awakening,6
fate,6
marking,6
seabird,6
saltwater,6
market,6
bicycle,6
self,6
vanish,6
neck,6
pattern,6
rally,6
alarik,6
chirp,6
formation,6
save,6
brilliant,6
