Story_ID,Summaries,Prompt,Model,Date
IE_1,"In the enchanted village of Lough Erin, spirited Maeve O'Sullivan discovers her destiny when a lake guardian, Aisling, tasks her with retrieving three sacred stones to combat an awakening evil. Overcoming trials, Maeve harnesses the stones' power, confronting darkness and ultimately becoming the village's guardian, embodying strength, love, and hope.","In English, write a 50 word plot summary of this story: [STORY]",gpt-4o-mini,25-02-2025
IE_2,"In the enchanting village of Lios an Tóiteáin, Eileen O'Sullivan mourns her mother's death. During the festival Fáinne na nAmhrán, she sings by Lough Leane, connecting with her mother’s spirit. Guided by ancestral tales, Eileen’s voice unites the village, bridging the worlds of the living and the dead through the power of story.","In English, write a 50 word plot summary of this story: [STORY]",gpt-4o-mini,25-02-2025
IE_3,"In the enchanting Valley of Glendalough, Aisling discovers her destiny as a storyteller. Guided by ancestral spirits, she revives forgotten tales, igniting community pride. When a developer threatens their land, Aisling rallies villagers to protect their heritage. Together, they triumph, ensuring the valley's stories and spirit endure for generations.","In English, write a 50 word plot summary of this story: [STORY]",gpt-4o-mini,25-02-2025
IE_4,"In ""The Whispering Pines,"" Aisling returns to her childhood village of Carrigmore after receiving an urgent letter from her grandmother, Moira. Upon hearing the whispers of the ancient pines, they gather the villagers to confront an impending storm. Together, they discover the strength of community and the magic of home.","In English, write a 50 word plot summary of this story: [STORY]",gpt-4o-mini,25-02-2025
IE_5,"In the village of Glenshane, the ancient Last Oak, believed to hold the spirits of ancestors, begins to die, threatening the community’s magic. Young Aisling, guided by a mystical stag, rallies the villagers to rekindle their faith. Together, they revive the oak’s spirit, restoring hope and unity to Glenshane.","In English, write a 50 word plot summary of this story: [STORY]",gpt-4o-mini,25-02-2025
IE_6,"In County Kerry, Maeve O’Donnell arrives in Dún na nGael to research folklore, drawn to the mystical Whispering Glen. There, she meets Aidan and discovers the glen's ancient secrets through a mystical keeper. As Maeve learns to navigate the power of storytelling, she must choose which tales to share and protect.","In English, write a 50 word plot summary of this story: [STORY]",gpt-4o-mini,25-02-2025
IE_7,"In County Kerry's Dún Aengus, young Maeve O'Sullivan explores the mysterious Whispering Glen, a portal to the Otherworld. There, she encounters the Keeper of the Glen, who bestows upon her the ability to hear ancestral stories. Embracing her gift, Maeve becomes the village storyteller, connecting the past and present.","In English, write a 50 word plot summary of this story: [STORY]",gpt-4o-mini,25-02-2025
IE_8,"In the village of Glenwood, Aoife discovers her ancestral legacy through a mystical encounter with Eamon, the guardian of the Whispering Pines. Inspired by her ancestors’ courage, she rallies the villagers to unite against a corporate threat. Together, they forge a future rooted in resilience, hope, and the power of storytelling.","In English, write a 50 word plot summary of this story: [STORY]",gpt-4o-mini,25-02-2025
IE_9,"In the village of Lios na nAingeal, Aoife encounters the banshee, who warns her of her friend Liam's despair after losing his father. Determined to save him from the darkness, Aoife confronts Liam at the cliffs, reminding him of their bond. Their shared strength brings hope and healing, illuminating their path forward.","In English, write a 50 word plot summary of this story: [STORY]",gpt-4o-mini,25-02-2025
IE_10,"In the village of Glenmore, young Aisling awakens Lugh, the forgotten sun god, who seeks to rekindle hope against encroaching darkness. As belief in old tales revives among the villagers, they unite to confront the sorceress Morgana, who threatens their light. Together, they reclaim their stories and triumph over despair.","In English, write a 50 word plot summary of this story: [STORY]",gpt-4o-mini,25-02-2025
