Word,Frequency
die,3005
und,2227
der,1756
sie,1490
er,1055
zu,962
war,939
den,844
das,786
sich,738
von,716
ein,698
es,553
eine,535
des,461
mit,459
dass,430
hatte,427
nicht,405
ich,380
al,365
auf,344
einem,322
schatten,281
du,280
ihre,279
dem,276
ihn,247
über,239
waren,234
geschichten,228
wald,225
um,222
aber,219
seine,219
nur,208
einen,206
für,202
alten,196
vergangenheit,195
ihr,190
einer,187
doch,184
wie,182
ist,177
nach,173
fühlte,169
als,168
ihrer,167
sein,161
auch,161
waldes,159
menschen,154
dorf,154
ihm,151
während,145
wurde,145
durch,142
wir,138
aus,135
vor,134
leben,130
mehr,130
hatten,126
licht,124
geschichte,123
begann,121
alte,120
immer,117
sondern,113
dorfbewohner,112
mann,110
stadt,109
wusste,109
spürte,106
sagte,105
seiner,100
stand,100
augen,100
weg,98
erinnerungen,97
dunkelheit,96
ort,94
ihren,94
kleinen,93
zeit,93
konnte,91
wieder,90
natur,89
stimme,88
baum,88
nie,87
diesem,84
plötzlich,83
fand,82
großmutter,80
sah,80
liebe,80
frau,79
ihnen,79
ob,79
seinen,78
würde,77
lebte,76
teil,74
sprach,73
zurück,73
familie,72
etwa,72
geheimnisse,72
schließlich,71
wollte,71
müller,69
wenn,68
dir,68
sind,67
kann,67
haben,67
bin,66
herz,66
namen,66
schien,65
habe,65
erzählte,63
voller,63
hinter,63
noch,62
dich,62
moment,62
viele,62
fragte,61
hier,60
luft,59
eines,59
vielleicht,59
machte,59
schloss,58
finden,58
lächelte,57
oft,57
hörte,57
herr,56
werden,56
lag,56
öffnete,56
zwischen,55
hast,55
umgeben,55
hoffnung,54
nickte,54
tag,54
gefühl,54
bäume,53
ihrem,53
trat,52
angst,52
schienen,51
bereit,51
herzen,50
kapitel,50
musst,50
hat,49
kleine,48
mich,48
bist,48
gefunden,47
folgenden,47
garten,47
dort,47
beschloss,46
einst,46
tages,46
verbindung,46
wurden,45
mir,45
wahrheit,45
haus,45
jahren,45
briefe,44
gibt,43
gemeinsam,43
neugierig,43
zum,43
hand,42
eigenen,42
mut,42
altenburg,42
sonne,42
seinem,42
dieser,42
erzählen,42
worte,42
tief,41
rief,41
musste,41
himmel,41
buch,41
selbst,41
lebten,41
lichtung,40
einige,40
antwortete,40
un,40
bemerkte,40
nächsten,40
letzten,39
begannen,39
je,39
weiter,39
anderen,39
will,39
tiefen,39
welt,39
gab,38
gestalt,38
tun,38
könnte,38
neue,37
kraft,37
entdeckte,37
klang,36
ließ,36
gehört,36
tür,35
unter,35
alle,35
tagebuch,35
wissen,35
mitte,35
morgen,34
schönheit,34
träume,34
gesicht,34
diese,34
erreichte,34
deine,34
tage,34
wind,33
feen,33
fiel,32
zur,32
dorfes,32
vergessen,32
fenster,32
helfen,32
erzählt,32
etwas,32
näher,32
blick,32
wasser,32
schlüssel,31
nun,31
junge,31
hielt,31
dichten,31
geist,31
frieden,31
setzte,30
beiden,30
stellte,30
raum,30
herum,30
führte,30
gedanken,30
entschlossen,30
nacht,30
wochen,30
langen,30
verloren,29
seiten,29
geheimnisvollen,29
hi,29
zog,29
seltsame,29
schlug,29
tiefer,29
bei,29
damit,29
viel,28
müssen,28
kam,28
wesen,28
legenden,28
schritt,28
lebendig,28
nahm,28
verborgen,28
können,27
erzählten,27
ging,27
abends,27
lernen,27
andere,27
vielen,27
