Word,Frequency
san,627
marino,626
heart,404
story,342
stone,336
history,268
feel,259
whisper,246
tower,209
spirit,205
stand,203
find,196
ancient,193
share,185
voice,181
treasure,177
eye,174
tale,170
echo,170
people,168
past,167
republic,161
air,150
begin,145
legend,131
time,121
day,118
speak,115
say,115
fill,112
light,112
land,111
guaita,110
know,109
seek,108
legacy,106
come,103
old,102
like,102
wind,102
hill,97
wall,97
whispering,97
sun,97
love,96
secret,96
step,95
hide,94
sense,93
place,93
shadow,92
hold,91
cave,90
small,90
city,89
face,89
street,85
symbol,85
mountain,84
uncover,84
ancestor,83
journey,82
set,79
adventure,79
power,79
strength,79
guardian,78
race,78
reveal,78
path,78
continue,77
scroll,76
guide,76
dream,76
approach,76
turn,75
hand,75
man,72
hope,71
wisdom,70
local,69
word,68
return,68
reach,67
connection,67
glow,67
cast,66
year,66
moment,66
listen,66
long,66
unity,66
close,65
life,65
rich,64
truth,64
resilience,64
excitement,64
hear,63
evening,63
generation,63
world,62
young,62
stones,62
tell,62
fortress,61
understand,61
open,61
deep,61
courage,60
homeland,60
way,60
night,59
protect,59
leave,59
village,59
tree,58
surround,58
heritage,57
carry,57
ask,57
weave,56
sky,56
landscape,56
lead,56
sound,55
figure,55
smile,55
knowledge,54
gather,54
reply,54
curiosity,54
discovery,53
freedom,52
inside,52
purpose,51
illuminate,51
laughter,51
home,51
tapestry,51
discover,51
future,50
live,50
title,50
pass,49
chamber,49
look,49
forget,48
mind,48
century,48
take,48
community,47
marinus,47
deeply,47
beneath,47
true,47
name,46
grow,46
hidden,46
narrow,46
fight,46
new,46
intrigue,46
resonate,45
quest,45
explore,45
nestle,45
gold,45
follow,44
festival,44
battle,44
inspire,44
chest,44
preserve,44
fade,44
adorn,44
climb,43
learn,43
historian,43
sparkle,43
warm,43
trial,43
scent,43
stumble,43
golden,43
map,43
nod,43
fear,42
cobblestone,42
passion,42
bond,42
pride,41
realize,41
dark,41
lose,41
woman,41
emerge,40
titano,40
tremble,40
search,40
morning,40
forward,39
townsfolk,39
thick,39
library,39
manuscript,39
believe,39
book,39
gaze,38
steep,38
call,38
nonna,38
mount,38
darkness,38
valley,37
let,37
remember,37
determination,37
atop,37
weight,37
carving,37
intricate,37
artifact,36
view,36
ignite,36
energy,36
reminder,36
child,35
away,35
vibrant,35
hour,35
relic,35
breath,35
paint,35
crowd,34
journal,34
promise,34
cool,34
honor,34
week,33
center,33
mean,33
soft,33
dance,33
great,33
shape,33
roll,32
catch,32
ensure,32
belong,32
wander,32
amulet,32
unite,32
venture,32
decide,32
celebrate,32
anticipation,32
embrace,32
guardians,32
alive,32
cesta,31
watch,31
pound,31
villager,31
age,31
mystery,31
finger,31
beauty,31
walk,31
locket,31
horizon,30
hue,30
color,30
dip,30
gathering,30
dawn,30
envelop,30
spend,29
distant,29
notice,29
friend,29
memory,28
carefully,28
warmth,28
surge,28
family,28
wish,28
crisp,28
grandmother,28
towers,28
draw,28
endure,28
arm,28
swell,28
weather,28
flower,27
thought,27
rise,27
sit,27
create,27
eager,27
study,27
remind,26
keeper,26
box,26
bury,26
far,26
transform,26
etch,26
challenge,26
plan,25
sacrifice,25
captivate,25
struggle,25
town,25
dusty,25
hair,25
moon,25
bravery,25
need,25
bring,25
essence,25
final,25
bind,24
federico,24
founding,24
think,24
dear,24
force,24
ah,24
read,24
arrive,24
racing,24
shimmer,24
riddle,24
entrance,24
pull,24
wait,23
door,23
spine,23
autumn,23
room,23
breeze,23
present,23
change,23
storm,23
testament,23
ground,23
olive,23
high,23
strong,23
suddenly,23
magic,23
square,23
want,23
depict,23
fabric,22
identity,22
piece,22
shift,22
clue,22
twinkle,22
dare,22
thrive,22
lean,22
newfound,21
see,21
heavy,21
importance,21
pedestal,21
visit,21
page,21
spread,21
jewel,21
rustle,21
finally,21
gentle,21
press,21
brush,20
join,20
wooden,20
sentinel,20
montale,20
museum,20
forest,20
break,20
triumph,20
urge,20
barely,20
ready,20
determine,20
earth,20
dust,20
vision,20
expression,20
epilogue,20
steady,20
italy,20
work,20
elderly,20
hint,20
intently,20
flashlight,20
bright,20
murmur,19
surface,19
low,19
fall,19
corner,19
organize,19
shield,19
imagine,19
medieval,19
push,19
root,19
exclaim,19
cover,19
shine,19
passage,19
wide,19
glance,19
loom,19
foot,19
intertwine,19
meet,19
chalice,19
tiny,19
forever,19
test,19
girl,19
experience,19
joy,19
state,19
rush,19
azzurra,19
run,19
sunlight,19
gasp,18
understanding,18
remain,18
course,18
serravalle,18
help,18
forge,18
father,18
amidst,18
later,18
resolve,18
afternoon,18
merely,17
valor,17
base,17
fierce,17
play,17
shake,17
silver,17
connect,17
unfold,17
tall,17
lift,17
apennine,17
trace,17
elder,17
recount,17
flicker,17
justice,17
pulse,17
softly,17
breathtaking,17
nature,17
collection,17
independence,17
renew,17
despite,17
delve,17
wonder,17
swirl,16
value,16
go,16
celebration,16
orange,16
flow,16
francesco,16
tourist,16
titan,16
group,16
erupt,16
presence,16
spark,16
quaint,16
detail,16
duke,16
beacon,16
café,16
capital,16
today,16
awaken,16
invader,16
brave,16
knight,16
tear,16
childhood,16
rock,16
bear,16
francesca,16
write,16
rest,16
hesitate,15
ornate,15
scholar,15
profound,15
unwavering,15
linger,15
scene,15
breathtake,15
art,15
ago,15
remnant,15
cherish,15
doubt,15
wear,15
ethereal,15
citizen,15
clearing,15
beloved,15
settle,15
visitor,15
nearby,15
capture,15
descend,15
lantern,15
encounter,15
carve,15
soul,15
defend,15
leather,15
pause,15
thread,15
desire,15
star,15
tradition,15
possess,14
cloak,14
point,14
wildflower,14
overlook,14
creak,14
glimmer,14
pierce,14
romano,14
wash,14
prepare,14
wise,14
examine,14
leader,14
footstep,14
storyteller,14
outside,14
feeling,14
familiar,14
stretch,14
romagna,14
sweep,14
mountains,14
eagle,14
hang,14
fellow,14
rossi,14
blossom,14
powerful,14
early,14
shiver,14
rally,14
form,14
embark,14
prove,14
silence,14
contain,14
pique,14
accord,14
research,14
confront,13
summer,13
hum,13
rugged,13
transcend,13
sanmarinese,13
wood,13
navigate,13
water,13
document,13
chill,13
rumor,13
shout,13
coin,13
bloom,13
craft,13
lesson,13
culture,13
series,13
appear,13
overwhelming,13
mural,13
vast,13
strange,13
pure,13
music,13
wild,13
narrative,13
witness,13
destiny,13
shall,13
clear,13
event,13
claim,13
exhibition,13
curious,13
possibility,13
shroud,13
wave,13
branch,12
greet,12
raise,12
moss,12
send,12
damp,12
sketch,12
confrontation,12
delicate,12
determined,12
represent,12
glint,12
tablet,12
codex,12
touch,12
staircase,12
di,12
emotion,12
festivity,12
pine,12
near,12
sight,12
faint,12
historical,12
exchange,12
gratitude,12
build,12
parchment,12
large,12
following,12
line,12
terrain,12
decipher,12
mysterious,12
thrill,12
sorceress,12
oak,12
atmosphere,11
