story_id,sentiment,confidence,model,date
NP_1,joy,0.95,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
NP_2,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
NP_3,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
NP_4,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
NP_5,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
NP_6,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
NP_7,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
NP_8,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
NP_9,joy,0.49,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
NP_10,joy,0.94,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
NP_11,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
NP_12,joy,0.96,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
NP_13,joy,0.54,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
NP_14,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
NP_15,fear,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
NP_16,love,0.62,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
NP_17,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
NP_18,fear,0.73,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
NP_19,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
NP_20,fear,0.56,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
NP_21,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
NP_22,joy,0.95,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
NP_23,joy,0.97,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
NP_24,joy,0.9,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
NP_25,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
NP_26,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
NP_27,surprise,0.8,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
NP_28,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
NP_29,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
NP_30,joy,0.96,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
NP_31,joy,0.98,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
NP_32,joy,0.95,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
NP_33,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
NP_34,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
NP_35,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
NP_36,joy,0.77,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
NP_37,love,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
NP_38,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
NP_39,surprise,0.95,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
NP_40,sadness,0.5,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
NP_41,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
NP_42,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
NP_43,fear,0.52,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
NP_44,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
NP_45,joy,0.54,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
NP_46,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
NP_47,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
NP_48,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
NP_49,fear,0.98,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
NP_50,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
