story_id,sentiment,confidence,model,date
GF_1,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
GF_2,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
GF_3,joy,0.98,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
GF_4,anger,0.72,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
GF_5,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
GF_6,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
GF_7,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
GF_8,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
GF_9,fear,0.87,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
GF_10,joy,0.77,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
GF_11,anger,0.37,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
GF_12,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
GF_13,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
GF_14,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
GF_15,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
GF_16,joy,0.7,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
GF_17,joy,0.85,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
GF_18,joy,0.96,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
GF_19,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
GF_20,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
GF_21,joy,0.94,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
GF_22,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
GF_23,anger,0.54,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
GF_24,anger,0.72,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
GF_25,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
GF_26,joy,0.92,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
GF_27,fear,0.71,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
GF_28,fear,0.62,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
GF_29,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
GF_30,joy,0.94,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
GF_31,joy,0.98,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
GF_32,fear,0.59,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
GF_33,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
GF_34,fear,0.76,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
GF_35,joy,0.45,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
GF_36,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
GF_37,anger,0.8,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
GF_38,joy,0.31,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
GF_39,surprise,0.92,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
GF_40,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
GF_41,joy,0.64,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
GF_42,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
GF_43,joy,0.77,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
GF_44,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
GF_45,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
GF_46,fear,0.9,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
GF_47,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
GF_48,joy,0.86,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
GF_49,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
GF_50,joy,0.95,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
