Word,Frequency
tunde,847
village,826
heart,816
chapter,698
drum,677
eye,547
ayo,538
spirit,516
tree,507
magic,505
forest,472
feel,453
find,449
wish,415
calabash,399
say,388
story,386
adventure,371
voice,364
friend,344
fill,337
like,331
joy,310
river,309
share,309
child,307
nneka,307
magical,304
begin,302
zuri,300
help,293
baobab,271
villager,262
know,252
light,250
ask,248
air,246
excitement,245
smile,238
mama,237
dance,236
kiki,233
come,232
glow,228
play,228
hand,224
laughter,218
day,215
water,214
look,214
return,206
kindness,203
courage,203
sparkle,198
dream,195
remember,195
whisper,193
sound,193
exclaim,192
race,192
love,191
sun,191
gather,190
shimmer,189
think,185
old,181
bring,179
face,177
echo,177
hold,173
adaobi,171
reply,171
nia,170
great,169
suddenly,167
home,166
deep,164
let,161
stone,157
amina,155
golden,155
learn,154
vibrant,154
set,153
stand,153
hear,150
nod,149
land,149
reach,149
friendship,148
need,147
brave,145
leave,145
kemi,144
small,144
challenge,141
feather,140
creature,139
live,139
girl,137
listen,136
place,136
close,135
kofi,133
fear,132
call,132
take,132
want,130
shadow,130
power,130
music,128
approach,128
name,127
young,127
true,126
wisdom,124
bright,124
amara,123
bravery,123
thank,122
night,121
tale,121
tell,120
journey,120
step,119
way,118
wide,117
wind,116
star,115
sky,114
flower,113
colorful,113
soft,113
warm,113
continue,112
gentle,111
festival,110
talk,110
secret,108
beautiful,108
explore,106
shout,106
branch,106
wise,106
treasure,106
wonder,105
grow,105
clearing,102
bird,101
path,101
title,100
end,100
lie,100
ada,99
curious,99
time,98
seek,98
color,98
follow,98
world,97
woman,97
rhythm,96
new,95
grant,95
rush,94
grandmother,94
see,93
lead,91
sit,91
determination,91
twinkle,91
importance,89
moment,88
deeply,88
turn,87
family,86
quest,85
speak,85
animal,85
enchanted,84
create,84
guardian,84
swirl,83
green,83
warmth,83
year,83
chijioke,82
community,82
sunny,82
afternoon,82
lush,81
lose,81
guide,81
breath,81
gently,80
kind,80
flow,80
celebrate,80
tortoise,80
baba,79
tall,79
lesson,79
hope,79
open,78
declare,78
hill,78
welcome,77
tayo,76
adaeze,76
binta,76
beat,75
laugh,75
wave,75
cave,75
wait,75
kola,75
pass,75
run,75
unity,74
dark,74
crystal,74
appear,74
curiosity,74
sunlight,74
ancient,74
life,74
boy,74
notice,73
pure,73
riddle,73
happiness,73
elder,72
believe,72
surround,71
people,70
realize,69
envelop,69
little,69
breeze,69
reveal,69
long,69
watch,68
work,68
walk,68
fade,68
softly,68
sense,68
final,67
whispering,67
discover,67
nneoma,67
explain,67
forward,66
spread,66
pride,66
evening,65
show,64
good,64
center,64
ground,64
emerge,64
alive,64
figure,64
finally,64
item,63
nestle,63
away,63
hide,62
decide,62
yes,62
tola,62
wing,62
market,61
ready,61
sweet,61
remind,61
monkey,60
iya,60
riverbank,60
spot,59
surface,57
climb,57
energy,56
awe,56
big,56
song,56
darkness,56
tolu,55
shine,55
join,55
strong,55
nkechi,54
mind,54
paint,54
gasp,54
cheer,54
stumble,54
obi,54
soon,53
dear,53
adorn,53
hard,53
inside,53
high,53
use,53
morning,52
carefully,52
sing,52
wander,52
protect,51
hidden,51
word,51
prove,51
pound,51
inspire,51
earth,50
swell,50
bead,50
chika,50
mountain,50
melody,50
field,50
mysterious,49
enter,49
eagle,49
imagination,49
promise,49
nut,48
ancestor,48
arrive,48
dare,48
head,48
beneath,48
rabbit,47
large,47
venture,47
happen,47
thrive,46
teach,46
cast,46
food,46
restore,46
test,46
ijebu,46
special,45
tightly,45
strength,45
save,45
meet,45
brightly,45
gift,44
door,44
beam,44
begins,44
glance,44
harvest,44
intrigue,44
mother,43
seed,43
culture,43
intricate,43
edge,43
adventures,43
fish,43
trunk,42
hue,42
pattern,42
zara,42
scent,42
rock,42
harmony,42
timi,42
nigeria,41
ah,41
efe,41
tremble,40
try,40
celebration,40
fall,40
widen,40
glimmer,40
zainab,40
answer,40
eko,40
eagerly,39
odu,39
pick,39
grove,39
bloom,39
instruct,39
stop,39
beginning,38
chirp,38
temitope,38
rainbow,38
carry,38
go,38
mean,38
weave,38
generation,37
bubble,37
touch,37
crop,37
strange,37
legend,37
hair,37
encounter,37
tiny,37
beauty,37
exchange,37
understand,37
chuckle,37
shall,36
game,36
second,36
oh,36
arm,36
await,36
mango,36
stream,36
femi,36
powerful,35
rustle,35
symbol,35
awaken,35
care,35
lift,35
bond,35
hero,35
search,35
cross,34
man,34
wood,34
legacy,34
spice,34
square,34
hurry,34
near,34
rain,34
nearby,34
clap,34
adventurous,34
racing,33
ade,33
thing,33
surge,33
plant,33
discovery,33
form,33
magnificent,33
silver,33
nature,33
flutter,33
belong,32
transform,32
encourage,32
finger,32
wild,32
gourd,32
wisely,32
float,32
carve,32
closely,32
surprise,32
illuminate,31
grin,31
fruit,31
point,31
worry,31
clear,31
sparkling,31
thought,31
rice,31
forget,30
shimmering,30
jide,30
change,30
summon,30
erupt,30
blue,30
jollof,30
catch,30
orange,29
foot,29
imagine,29
carving,29
djembe,29
forever,29
cloud,29
responsibility,29
today,29
beautifully,29
melodic,29
newfound,29
sway,29
balance,29
hello,28
brush,28
complete,28
dami,28
group,28
steady,28
enchant,28
thick,28
solve,28
value,28
butterfly,28
ify,28
embrace,28
careful,28
mix,28
afraid,28
resonate,28
bush,28
hour,27
nigerian,27
root,27
roll,27
palm,27
giant,27
cry,27
cool,27
fly,27
tower,26
pulse,26
delight,26
fabric,26
invite,26
delicious,26
chase,26
moon,26
garden,26
different,26
echoes,26
anticipation,26
dreams,26
ring,26
okwu,26
lost,26
rustling,26
suggest,26
bottle,26
mischief,25
eager,25
bed,25
disbelief,25
maybe,25
sorceress,25
stall,25
nimi,25
wow,25
push,25
epilogue,25
sacred,25
reminder,25
clutch,25
favorite,25
proud,25
grandma,24
pause,24
street,24
lola,24
jump,24
base,24
ear,24
burst,24
rich,24
soar,24
shake,24
far,24
purpose,24
rise,24
gratitude,23
steal,23
mischievous,23
lion,23
determined,23
reflect,23
unlike,23
low,23
one,23
pull,23
iroko,23
rest,23
gold,23
clever,23
gem,23
quickly,23
connection,23
retrieve,22
phoenix,22
eniola,22
slowly,22
guard,22
hum,22
iwo,22
crown,22
dawn,22
circle,22
intently,22
ahead,22
shade,22
spine,22
radiate,22
happy,22
truly,22
fairy,22
house,22
tradition,22
cloth,22
abuela,21
respect,21
safely,21
embark,21
well,21
bury,21
raise,21
ife,21
later,21
tear,21
horizon,21
ifeoma,21
school,21
ordinary,21
astonishment,21
course,21
aroma,21
storyteller,21
announce,21
choose,21
room,20
drop,20
brilliant,20
aisha,20
