Word,Frequency
heart,538
voice,306
like,260
feel,256
seek,216
eye,211
village,202
light,194
love,192
spirit,191
villager,183
god,183
echo,179
life,173
begin,171
whisper,170
stand,168
air,161
face,160
know,160
find,158
shadow,155
fear,152
wind,145
day,140
ancient,138
power,135
story,134
darkness,134
journey,133
grove,132
world,131
weave,130
hope,130
sea,127
sun,126
fill,119
strength,118
speak,115
oracle,114
fate,113
tale,112
music,112
return,109
moment,109
tapestry,108
water,105
people,104
share,104
thread,104
hand,101
beauty,100
figure,98
embrace,98
step,95
deep,95
say,94
guide,93
come,93
wave,91
wisdom,90
gather,90
sky,90
dream,89
stone,89
dance,88
melody,87
lyre,87
weight,84
tree,83
word,81
path,81
gift,79
young,79
night,79
emerge,77
courage,77
leave,77
city,77
land,76
delphi,76
woman,74
time,74
turn,74
grow,74
approach,73
destiny,71
name,71
apollo,70
take,70
essence,70
truth,69
bring,68
aegis,67
song,67
great,67
child,66
play,65
soul,65
glow,65
forest,65
reach,64
warmth,63
close,63
dark,62
set,62
star,62
sense,62
shimmer,62
let,61
mortal,61
reply,60
true,60
joy,60
storm,59
lose,59
vision,59
trial,59
hold,58
envelop,58
realm,57
place,57
temple,56
sound,56
create,56
bond,56
shall,56
home,55
mountain,55
live,55
resonate,55
sacred,55
understand,55
laughter,54
adventure,54
hair,53
ask,53
cast,53
confront,53
reveal,53
flow,53
call,52
choice,52
forward,52
smile,52
presence,52
golden,52
listen,51
earth,51
way,51
new,51
challenge,51
evening,50
loom,50
carry,50
small,50
surge,50
rise,49
prophecy,49
breath,49
purpose,49
guardian,49
continue,49
learn,49
pearl,48
form,48
unity,48
fade,48
long,47
horizon,47
nod,47
connection,47
despair,47
energy,47
gentle,46
race,46
ethereal,46
remember,46
look,46
final,45
sacrifice,45
sorrow,45
elysium,45
reminder,45
choose,45
tear,45
shore,44
determination,44
cave,44
hear,44
sing,44
hill,44
fall,43
vibrant,43
dare,43
deeply,43
illuminate,43
gaze,43
nymph,43
depth,43
silver,43
festival,42
dawn,42
lead,42
pass,42
magic,42
draw,41
see,41
note,41
crowd,41
title,41
secret,41
inspire,41
fight,41
declare,41
olive,41
threaten,40
balance,40
goddess,40
follow,40
divine,40
old,39
work,39
age,39
thick,39
family,39
mind,38
restore,38
daughter,38
orpheus,38
whispering,38
ignite,38
fierce,38
protect,38
man,38
resolve,38
soft,38
past,38
pound,38
ground,37
island,37
heavy,37
beneath,37
tell,37
sparkle,37
legend,36
testament,36
wander,36
tremble,36
change,36
transform,36
adorn,36
finger,36
fateful,36
greece,36
radiant,35
watch,35
breeze,35
intertwine,35
course,35
harmony,35
spread,35
venture,35
nature,34
steady,34
creature,34
legacy,34
symbol,33
fire,33
color,33
theros,32
honor,32
distant,32
silence,32
unite,32
king,32
week,32
aegean,31
dip,31
surround,31
newfound,31
year,31
generation,31
racing,31
cliff,31
prove,31
pour,31
flourish,31
wish,30
offer,30
shape,30
future,30
river,30
break,30
battle,30
hero,30
strong,29
enter,29
forever,29
hue,29
chaos,29
desire,29
glade,29
swirl,29
bear,29
save,29
scent,29
encounter,29
sit,29
cry,29
center,29
expression,29
arrive,28
remind,28
olympus,28
craft,28
edge,28
memory,28
realize,28
remain,28
force,27
beast,27
believe,27
moon,27
forth,27
intricate,27
swell,27
bind,27
curiosity,27
elder,26
stumble,26
suddenly,26
fabric,26
nestle,26
warm,26
surface,26
valley,26
pull,26
emotion,26
gratitude,26
guidance,26
cloud,26
father,26
thaddeus,26
struggle,26
high,25
shimmering,25
sirens,25
doubt,25
understanding,25
cloak,25
excitement,25
resilience,25
grant,25
thought,25
alive,25
celebrate,25
possess,24
summon,24
reflect,24
humble,24
gold,24
far,24
shoulder,24
intrigue,24
girl,24
strike,24
rage,24
prepare,24
weaver,23
endure,23
talent,23
despite,23
allow,23
hide,23
quest,23
art,23
mother,23
wise,23
await,23
mount,22
join,22
determine,22
promise,22
captivate,22
longing,22
compassion,22
paint,22
musician,22
garden,22
wall,22
damianos,22
warrior,22
townsfolk,22
catch,22
descend,22
robe,22
calista,21
test,21
leviathan,21
consume,21
ancestor,21
flame,21
thalassia,21
weaving,21
sunlight,21
pierce,21
forget,21
haunt,21
piece,21
ahead,21
wide,21
erupt,21
travel,21
appear,20
pure,20
teach,20
kiss,20
ocean,20
altar,20
rustle,20
truly,20
belong,20
spring,20
pythia,20
mere,20
anticipation,20
crash,20
awe,20
soar,20
morning,20
away,20
wait,19
unwavering,19
revere,19
lost,19
heal,19
think,19
glimmer,19
roar,19
nyssa,19
pride,19
wonder,19
meet,19
humanity,19
blessing,19
beautiful,19
zephyros,19
linger,19
firm,19
simple,19
wild,19
loss,19
regard,19
lesson,19
finally,19
press,19
triumph,18
accept,18
wood,18
help,18
hang,18
entrance,18
clarity,18
tower,18
foot,18
knowledge,18
arachne,18
thrive,18
touch,18
thunder,18
worth,18
warn,18
shift,18
arm,18
aeloria,18
brave,18
open,18
near,18
pain,18
creation,18
dorian,18
athena,18
howl,18
drape,18
climb,18
bathe,18
amidst,17
ready,17
inspiration,17
awaken,17
spend,17
answer,17
experience,17
underworld,17
treasure,17
grand,17
existence,17
reflection,17
walk,17
enchanting,17
calm,17
statue,17
beacon,17
kythira,17
pulse,17
celebration,17
peace,17
forge,17
bright,17
burden,17
lift,17
wield,16
flower,16
boat,16
root,16
landscape,16
treacherous,16
merely,16
clotho,16
rush,16
shroud,16
mean,16
amphitrite,16
ambition,16
claim,16
friend,16
poseidon,16
azure,16
explore,16
chamber,16
rally,16
discover,16
attention,16
need,16
free,16
admiration,16
fisherman,16
human,16
wash,16
witness,15
murmur,15
rhythm,15
importance,15
hour,15
cool,15
kallistos,15
shatter,15
darius,15
tall,15
mingle,15
renowned,15
artistry,15
skill,15
cross,15
magnificent,15
flicker,15
moonlight,15
powerful,15
transcend,15
settle,15
guard,15
ripple,15
cascade,15
embark,15
passion,15
falter,14
wove,14
dissipate,14
trials,14
gasp,14
tend,14
ii,14
shepherd,14
fraught,14
enchant,14
beckon,14
fiery,14
raise,14
lake,14
merchant,14
want,14
grasp,14
wing,14
stream,14
end,14
athens,14
workshop,14
iv,14
show,14
emerald,14
silent,14
send,14
iii,14
inside,14
mist,14
sweep,14
freedom,14
spark,14
cavern,13
urge,13
solace,13
rumble,13
eternal,13
twinkle,13
cheer,13
ray,13
respect,13
familiar,13
sapphire,13
arcadia,13
fury,13
renew,13
riddle,13
blend,13
twilight,13
victory,13
softly,13
creep,13
concern,13
beware,13
depict,13
laugh,13
rest,13
cassian,13
clash,13
ring,13
dear,12
clearing,12
cherish,12
square,12
ruin,12
clear,12
street,12
shake,12
replace,12
pulsate,12
failure,12
oak,12
community,12
trust,12
shine,12
icarus,12
melodic,12
kneel,12
barely,12
string,12
mystery,12
chimera,12
slowly,12
rocky,12
epilogue,12
sanctuary,12
lykos,12
decision,12
bravery,12
uncover,12
use,12
vast,12
performance,11
threat,11
capture,11
engulf,11
ability,11
etch,11
rich,11
crop,11
anger,11
brilliant,11
nurture,11
blind,11
spin,11
gathering,11
mix,11
inexplicable,11
priestess,11
vein,11
soften,11
chance,11
silvery,11
sweet,11
grip,11
carve,11
tempest,11
price,11
image,11
wildflower,11
fame,11
command,11
entwine,11
dionysus,11
sway,11
scene,11
kallistrate,11
shout,11
plan,11
vi,11
sword,11
shell,11
responsibility,11
welcome,11
crystal,11
head,11
lion,11
body,11
field,11
unfold,11
move,11
faith,10
betrayal,10
mixture,10
focus,10
chill,10
recall,10
liquid,10
desperation,10
rekindle,10
embodiment,10
bridge,10
carving,10
ache,10
incense,10
hesitate,10
knee,10
shiver,10
tyrant,10
spine,10
give,10
marble,10
sail,10
later,10
lush,10
prayer,10
symphony,10
scale,10
soon,10
decide,10
vanish,10
defeat,10
fates,10
twist,10
season,10
pool,10
connect,10
surprise,10
notice,10
exchange,10
low,10
bloom,10
right,10
confrontation,10
blossom,10
win,10
aigle,10
countless,10
sink,10
overlook,10
sight,10
theia,10
verdant,10
audience,10
applause,9
masterpiece,9
parnassus,9
stay,9
float,9
victorious,9
majestic,9
wisely,9
traverse,9
timeless,9
clay,9
flash,9
lurk,9
styx,9
clothe,9
flock,9
yearn,9
crown,9
element,9
matter,9
stir,9
earn,9
gnarl,9
army,9
ear,9
unleash,9
