Noun Phrase,Count
magical olive tree,22
ancient olive tree,20
olive tree,12
curious girl,7
true treasure,7
valuable lessons,6
grove 's,5
mysterious invitation,5
magical olive grove,4
ancient olive grove,4
adventurous quest,4
treasure hunt,3
mysterious map,3
quaint village,3
silver key,3
whispers secrets,3
olive grove,3
tree 's guardian,3
magical forest,2
newfound magic,2
adventurous boy,2
thrilling quest,2
magical stones,2
magical journey,2
night sky,2
mysterious key,2
ancient wisdom,2
newfound wisdom,2
grandmother 's tale,2
magical star,2
mystical olive tree,2
olive tree 's legacy,2
mysterious olive tree,2
magical tree,2
grandmother 's garden,2
magical grove,2
olive trees,2
grandmother 's attic,2
curious boy,2
olive kingdom,2
newfound friends,2
tree 's,2
village children,2
grandmother 's,2
tree 's spirit,2
magic olive tree,2
magical key,2
true value,2
secret door,2
true essence,2
ancient tree,2
grandmother 's wisdom,2
magical items,2
greedy merchant,2
new friend,2
village 's history,2
vibrant village,1
village 's happiness,1
grand feast ensues,1
olive girl,1
yara,1
leo,1
enchanted bookshop,1
quill,1
restore melodies,1
wind thief,1
grant wishes,1
dream seeds,1
village 's,1
vibrant festival,1
community bonds,1
small village,1
wisdom—lila embarks,1
leah,1
lost olives,1
wind sprites,1
shira,1
guardian fairy,1
teaming,1
kavi,1
true bravery,1
wooden box,1
grandmother 's legend,1
exciting adventures,1
niko,1
astra,1
star fairy,1
upon,1
ancient spirits,1
golden olives,1
mischievous spirit,1
zalmon,1
restores joy,1
adventurous nine-year-old,1
darkness threatens,1
restore harmony,1
ancestral home,1
newfound courage,1
olive tree spirit,1
special seed,1
lion guardian,1
returns triumphant,1
stepping,1
vibrant land,1
embrace friendship,1
mahane yehuda shuk,1
mystical pomegranate tree,1
david,1
fairy guardian,1
oliviana,1
dark spirit,1
draziel,1
olives,1
silver olive,1
granted,1
felix,1
grizzle,1
true meaning,1
solving,1
stone,1
unity,1
elior,1
trees ’ stories,1
community 's connection,1
yeruham,1
starstone,1
shorashim,1
new beginnings,1
future adventures,1
nahalim,1
rainbow stone,1
elemental spirits,1
village 's prosperity,1
olive whisperer,1
little tamar,1
wonders,1
curious girl discovers,1
magical map,1
whimsical journey,1
challenging cliff,1
learns bravery,1
dusty shop,1
blue stone,1
guardians,1
vibrant town,1
magical compass,1
ancient olive trees,1
dark force,1
mystical seeds,1
nature ’ s stories,1
star sprite,1
cosmic adventure,1
transforming,1
restore hope,1
dim stars,1
magical necklace,1
grandmother ’ s olive grove,1
replant trees,1
tree 's fairy guardian,1
grandfather olive tree,1
inspires laughter,1
olive tree endures,1
dream thief,1
adventurous ten-year-old,1
favorite olive tree,1
unravel riddles,1
old man,1
own olive seed,1
tree 's legacy thrives,1
nahalal,1
silver keys,1
magical quest,1
kfar nitzan,1
magical realm,1
tzippy,1
guardian creature,1
moriel,1
