Name,Frequency
ISLA,112
CHARLOTTE,104
OLIVIA,86
AVA,77
IVY,73
AMELIA,67
GRACE,67
HAZEL,67
HARPER,64
MIA,64
LILY,61
ELLA,60
EVELYN,56
EVIE,56
MATILDA,56
ISABELLA,55
WILLOW,55
DAISY,54
MILA,52
VIOLET,52
LAYLA,50
SIENNA,50
ELSIE,49
MILLIE,49
ELLIE,48
SOPHIE,48
MAEVE,44
ARIA,42
LUCY,42
RUBY,42
SOPHIA,42
PENELOPE,40
AYLA,39
CHLOE,39
FREYA,39
SOFIA,38
ZOE,38
ELEANOR,37
FLORENCE,37
EMILIA,36
AUDREY,34
HANNAH,34
MARGOT,34
FRANKIE,33
ZARA,33
GEORGIA,32
POPPY,32
BILLIE,31
LUNA,31
SADIE,31
SCARLETT,31
ALICE,30
HARRIET,30
ISABELLE,30
ROSIE,30
STELLA,29
AURORA,28
EMILY,28
MAGGIE,28
LOTTIE,27
PIPPA,27
SUMMER,27
ADELINE,26
DELILAH,26
PHOEBE,26
MAISIE,25
OLIVE,25
HALLIE,24
MACKENZIE,24
REMI,23
ELIANA,22
ELIZA,22
EVA,22
MAYA,22
ABIGAIL,21
AUBREY,21
ELOISE,21
LOLA,21
MABEL,21
NINA,21
PEYTON,21
IMOGEN,19
LILAH,19
EMMA,18
LARA,18
EDEN,17
ESTHER,17
GRACIE,17
PIPER,17
RILEY,17
SAVANNAH,17
ANNABELLE,16
HARLOW,16
LYLA,16
MADELINE,16
BROOKLYN,15
CALLIE,15
GIA,15
JASMINE,15
NORA,15
OLIVER,155
HENRY,112
LEO,109
NOAH,92
THEODORE,87
LUCA,85
ELIJAH,84
CHARLIE,81
WILLIAM,76
ARCHIE,73
JACK,73
HARVEY,70
HUDSON,70
LEVI,66
OSCAR,63
LUCAS,60
SEBASTIAN,56
ARTHUR,55
HARRISON,55
ARCHER,54
ARLO,53
HARRY,53
HUGO,53
GEORGE,50
LIAM,50
MAX,50
JAMES,49
MASON,49
LOUIS,48
THOMAS,48
ALEXANDER,46
EDWARD,46
XAVIER,44
FINN,43
ETHAN,42
DARCY,41
JASPER,41
AUSTIN,38
RILEY,38
THEO,38
SONNY,37
BODHI,36
KAI,36
ARI,34
LACHLAN,34
BILLY,33
MILES,33
COOPER,32
ELI,32
HUNTER,32
SAMUEL,32
EZRA,31
HAMISH,31
LINCOLN,31
BENJAMIN,30
GRAYSON,30
LOGAN,30
LOUIE,30
PATRICK,30
JACKSON,29
JORDAN,29
PARKER,29
ALFIE,28
ASHER,27
CARTER,27
LUKA,27
MATTEO,27
FELIX,26
ISAAC,26
MUHAMMAD,26
ANGUS,25
AUGUST,25
OAKLEY,25
RYAN,25
FLETCHER,23
LENNY,23
RORY,23
WYATT,23
JAXON,22
MYLES,22
OWEN,22
FINLEY,21
JAYDEN,21
JUDE,21
MARCUS,21
TATE,21
BEAU,20
CHASE,20
FLYNN,20
OLLIE,20
SPENCER,20
CONNOR,19
JACOB,19
OTIS,19
RIVER,19
RYDER,19
ALFRED,18
ELIAS,18
GABRIEL,18
HUXLEY,18
