Word,Frequency
adventure,362
tree,350
chapter,344
heart,331
treasure,329
find,328
eye,297
map,255
like,243
say,222
feel,212
look,210
old,210
fill,188
friend,187
magic,182
wood,181
excitement,172
creek,171
ask,154
sparkle,149
willow,148
share,144
voice,142
story,141
know,140
whisper,135
stone,134
lila,133
small,133
light,131
secret,127
exclaim,127
day,124
leave,123
open,122
race,120
oak,118
joy,117
think,117
town,115
begin,112
emma,112
woods,110
friendship,108
hold,105
forest,105
oliver,104
mia,103
hand,103
let,103
follow,102
come,100
air,100
smile,99
whispering,98
help,97
sky,97
inside,97
path,96
shimmer,96
lead,94
great,94
wonder,93
explore,93
bright,92
reach,90
laughter,89
glow,89
way,89
color,87
star,87
step,87
clara,85
water,84
place,84
sun,84
set,84
penny,82
home,81
grove,81
love,81
key,81
wish,81
magical,80
new,79
luna,78
sunlight,78
chest,77
world,77
need,76
deep,76
close,73
golden,73
sound,72
reveal,71
reply,70
cave,70
flower,69
dance,69
echo,68
stand,68
spirit,67
box,67
suddenly,66
turn,66
sam,66
bring,66
time,66
sunny,65
discover,64
hear,64
lucy,64
nod,64
create,64
creature,64
branch,62
riddle,62
soft,61
hide,61
girl,61
shadow,61
carefully,61
grandmother,61
hidden,60
wide,60
name,60
take,59
little,59
jake,58
door,58
benny,58
approach,57
return,57
wait,57
bella,57
point,57
end,56
notice,56
spot,56
brave,56
ellie,55
curious,55
true,55
guardian,55
gem,54
sophie,54
face,54
crystal,54
call,53
remember,53
child,52
backpack,52
lie,52
live,52
continue,52
twinkle,51
gold,51
ready,51
trunk,51
see,50
good,50
ella,50
title,50
breath,50
maple,49
walk,49
clearing,49
deeply,48
hair,48
kindness,48
big,48
believe,47
mysterious,47
rainbow,47
shine,47
cloud,47
tall,47
colorful,47
ollie,46
blue,46
imagination,46
wind,45
bird,45
warm,45
maybe,45
moment,45
book,45
gentle,45
play,44
leo,43
decide,43
bubble,43
gasp,43
pull,43
attic,43
edge,42
head,42
rush,42
listen,42
welcome,42
paint,42
gather,41
thank,41
sit,41
ground,40
realize,40
beautiful,40
morning,40
wild,40
beneath,39
wow,39
strange,39
wing,38
shout,38
button,38
flashlight,38
afternoon,38
power,38
alive,38
dream,38
land,38
hollow,38
fairy,38
determination,37
arrive,37
courage,37
seek,37
away,37
venture,37
want,37
ancient,36
finally,36
river,36
owl,36
fade,36
guide,36
journey,36
year,36
search,35
dark,35
jewel,35
glance,35
park,35
wooden,35
ben,35
laugh,34
snack,34
breeze,34
center,34
go,34
widen,34
read,34
clue,34
symbol,34
sense,34
grow,34
pick,34
cast,33
try,33
chirp,33
memory,33
tiny,33
stumble,33
uncover,33
mind,33
different,33
lulu,33
compass,33
mark,33
spread,32
house,32
vibrant,32
warmth,32
x,32
curiosity,32
green,32
forget,32
wave,32
tale,32
poppy,31
word,31
gently,31
zoe,31
enter,31
mystery,31
large,31
swirl,31
adventurer,30
run,30
rock,30
grin,30
promise,30
amazing,30
begins,30
long,29
declare,29
finger,29
mean,29
solve,29
nature,29
lock,29
learn,29
feather,29
enchanted,29
red,29
pound,29
challenge,29
trail,28
aloud,28
note,28
dusty,28
kid,28
collection,28
surround,28
bounce,28
squirrel,28
wise,27
meadow,27
quest,27
young,27
arm,27
real,27
pip,27
climb,27
right,27
soon,27
jellybean,27
ear,27
special,26
festival,26
suggest,26
stream,26
trio,26
explain,26
bravery,26
cover,26
tightly,26
happiness,26
sparkling,26
speak,26
pass,25
adventurous,25
belong,25
okay,25
tell,25
tremble,25
cheer,25
night,25
emerge,25
examine,25
grab,25
rustle,25
curly,24
shimmering,24
rummage,24
thought,24
spend,24
piece,24
room,24
closely,24
journal,24
softly,24
surprise,24
pinecone,24
bark,24
orange,23
kneel,23
toy,23
visit,23
treehouse,23
discovery,23
line,23
delight,23
course,23
near,23
saturday,23
bloom,23
castle,22
high,22
await,22
creak,22
cross,22
surface,22
illuminate,22
waterfall,22
pete,22
glimmer,22
boy,22
show,22
tower,22
meet,22
appear,21
flutter,21
stretch,21
root,21
hill,21
intrigue,21
shiny,21
backyard,21
nestle,21
flicker,21
tuck,21
thing,21
excitedly,21
brook,20
family,20
roll,20
figure,20
beginning,20
hurry,20
favorite,20
glass,20
animal,20
tilly,20
dear,20
base,20
brilliant,20
lose,20
legend,20
exchange,20
lean,19
hue,19
save,19
sweet,19
encourage,19
start,19
fly,19
cool,19
inspire,19
float,19
beauty,19
thrill,19
today,19
flick,19
catch,19
giggle,19
final,19
kind,19
rustling,19
yes,19
grass,19
adventures,18
thick,18
parchment,18
darkness,18
candy,18
garden,18
beam,18
burst,18
awe,18
fall,18
wall,18
dare,18
rest,18
envelop,18
peer,18
mountain,18
anticipation,18
shade,18
forward,18
shape,18
change,18
forever,18
quickly,18
brush,17
sunflower,17
life,17
happen,17
entrance,17
scent,17
racing,17
trusty,17
far,17
corner,17
mother,17
letter,17
make,17
answer,17
sing,17
narrow,17
form,17
use,17
notebook,17
ahead,17
twist,17
swell,17
paw,17
giant,17
agree,16
brightly,16
filter,16
brown,16
tail,16
keep,16
will,16
join,16
hour,16
write,16
lift,16
chirpy,16
intricate,16
carve,16
idea,16
sway,16
work,16
hunt,16
possibility,16
prove,16
pack,16
acorn,15
understand,15
amazement,15
stop,15
umbrella,15
foot,15
nearby,15
magnificent,15
remind,15
winding,15
watch,15
game,15
second,15
draw,15
bond,15
unfold,15
study,15
importance,15
hard,15
pocket,15
hope,15
protect,15
hop,15
plan,14
perch,14
felix,14
restore,14
mom,14
grandma,14
yellow,14
clap,14
click,14
cheerful,14
fluffy,14
correct,14
