Noun Phrase,Count
maria elena,58
maría elena,41
mango tree,31
doña rosa,20
golden hue,18
heart swelling,17
vibrant colors,17
social media,16
small apartment,15
community center,15
deep breath,14
abuela rosa,13
don carlos,13
warm glow,12
young woman,12
economic crisis,11
harsh realities,11
calle verde,11
gathering storm,9
old man,9
vibrant streets,9
own stories,9
political unrest,9
el amparo,9
cacao tree,9
young girl,8
darkest times,8
fellow activists,8
village square,7
long shadows,7
political landscape,7
government officials,7
colorful murals,7
countless others,7
makeshift stage,7
stark contrast,7
small village,6
vibrant tapestry,6
heart race,6
young man,6
long day,6
fateful night,6
economic collapse,6
golden glow,6
vibrant murals,6
turning tide,6
fellow artists,6
street vendors,6
los eco,6
food drive,6
warm embrace,5
el paraíso,5
drawing attention,5
long hours,5
daily life,5
long time,5
childhood friend,5
modest apartment,5
everyday life,5
tear gas,5
new life,5
plaza bolívar,5
dark hair,5
new seeds,4
indomitable spirit,4
community gardens,4
new generation,4
voice firm,4
soft glow,4
fellow citizens,4
profound sense,4
young boy,4
local artists,4
fateful evening,4
untold stories,4
small café,4
open arms,4
small town,4
difficult decision,4
heavy heart,4
early morning,4
final stand,4
dark curls,4
human spirit,4
unbreakable bond,4
elderly man,4
el dorado,4
warm breeze,3
national guard,3
street corners,3
young artists,3
community members,3
international media,3
sweet aroma,3
small crowd,3
mango trees,3
constant presence,3
local market,3
ripe mangoes,3
sweet fruit,3
rough bark,3
long pause,3
small kitchen,3
harsh reality,3
family members,3
sweet scent,3
vibrant chaos,3
lay awake,3
new dawn,3
unbreakable spirit,3
young journalist,3
people need,3
front lines,3
true power,3
bright eyes,3
food shortages,3
joy amidst,3
inexplicable connection,3
political climate,3
inspire others,3
political strife,3
economic hardship,3
journey begins,3
international organizations,3
warm golden hue,3
dire consequences,3
social justice,3
elderly woman,3
stark reminder,3
main square,3
small bag,3
warm smile,3
black beans,3
basic necessities,3
distant sounds,3
community gatherings,3
vibrant hues,3
night sky,3
town square,3
dark cloud,3
community kitchen,3
vibrant spirit,3
everyday citizens,3
starlit sky,3
sharp pain,3
san rafael,3
street food,3
el valle,3
don miguel,3
nueva voz,3
gran sabana,3
oil companies,3
oil fields,3
golden rays,2
bountiful harvests,2
small patch,2
familiar faces,2
fiery girl,2
fateful afternoon,2
hard work,2
flourish anew,2
collective strength,2
pride swell,2
colorful papel picado,2
family gatherings,2
san josé,2
beautiful reminder,2
don rafael,2
small boat,2
storm approaches,2
dark uniforms,2
fierce determination,2
sun shone,2
defiant roar,2
thick foliage,2
ávila mountain,2
vibrant life,2
sun rise,2
mural painting,2
young people,2
city center,2
inviting artists,2
gray morning,2
prominent figure,2
vibrant reminder,2
deep blues,2
political situation,2
stark reality,2
# # #,2
childhood memories,2
cool water,2
vendors shouting,2
old mango tree,2
familiar voice,2
young lady,2
small victory,2
own struggles,2
gathering place,2
young activists,2
peaceful protests,2
art exhibitions,2
community events,2
small community center,2
true essence,2
vivid colors,2
mi cielo,2
central plaza,2
tight embrace,2
future generations,2
chaotic streets,2
camera slung,2
plaza venezuela,2
golden hues,2
narrow alley,2
cool night air,2
