Noun Phrase,Count
whispering pines,83
deep breath,27
young girl,25
young woman,24
small village,23
vibrant colors,19
deep connection,18
ancient tree,18
birch tree,17
crisp autumn morning,16
gentle breeze,16
amber rose,16
ancient oak,16
rough bark,15
damp earth,13
forest floor,13
heart swelling,11
bright green eyes,11
warm glow,11
warm embrace,11
adventurous spirit,11
golden light,11
ancient trees,11
wise woman,10
elderly woman,10
ancient spirits,10
ancient pines,9
delicate balance,9
inexplicable pull,9
dark figure,9
forgotten melody,9
ancient forests,8
inexplicable connection,8
soft glow,8
narrow path,8
soft voice,8
open arms,7
golden hue,7
dark hair,7
distant call,7
golden glow,7
own stories,7
warm light,7
ancient oak tree,7
insatiable curiosity,7
journey begins,7
great oak,7
guardian spirit,7
newfound determination,7
fateful night,6
village square,6
brilliant light,6
bright blue eyes,6
crisp autumn afternoon,6
soft whisper,6
vibrant tapestry,6
dear child,6
small satchel,6
chestnut hair,6
silvery glow,6
intricate patterns,5
soft light,5
ancient rituals,5
ancient woods,5
new trees,5
natural world,5
long shadows,5
village elders,5
cobblestone streets,5
profound sense,5
irresistible pull,5
professor jaanus,5
old woman,5
old ways,5
own path,5
pine tree,5
dense forests,4
ancient oaks,4
low growl,4
silver hair,4
deep sense,4
golden leaves,4
intricate carvings,4
grant wishes,4
silver glow,4
newfound sense,4
serene lakes,4
morning sun,4
mythical creatures,4
future generations,4
ancient pine tree,4
autumn leaves,4
pure heart,4
rich tapestry,4
earthy aroma,4
strange energy,4
village life,4
salty air,4
close-knit community,3
young artist,3
young couple,3
forest speaks,3
newfound purpose,3
proud smile,3
gentle reminder,3
whispering woods,3
modern world,3
sun cast,3
mere folklore,3
new chapter,3
playful shadows,3
rich history,3
cool surface,3
long forgotten,3
ethereal glow,3
pine trees,3
wooden figure,3
gentle rustle,3
pine needles,3
city life,3
night sky,3
quaint village,3
lush forests,3
forest spirits,3
stone altar,3
great courage,3
gentle smile,3
ethereal form,3
voice melodic,3
forest surge,3
ancient tales,3
own right,3
vast forests,3
sudden rush,3
thread woven,3
own tales,3
small backpack,3
winter solstice,3
ancient wisdom,3
old friends,3
chill run,3
crisp autumn evening,3
profound connection,3
rapt attention,3
ancient guardians,3
golden sunlight,3
final surge,3
strange warmth,3
soft breeze,3
expression thoughtful,3
new stories,3
wooden houses,3
spirit alight,3
national park,3
shiver run,3
own life,3
powerful force,3
presence radiant,3
young man,3
great tree,3
faint whisper,3
mystical creatures,3
whisper secrets,3
familiar sounds,3
winter spirit,3
small cottage,2
soft melody,2
silvery moonlight,2
peace envelop,2
fateful evening,2
setting sun,2
long day,2
cool air,2
enchanted clearing,2
subtle changes,2
clean-up efforts,2
sustainable practices,2
final roar,2
deep respect,2
small town,2
ancient traditions,2
local folklore,2
long past,2
adventurous girl,2
raven-black hair,2
insatiable thirst,2
local library,2
gathering storm,2
summer days,2
town square,2
sunny afternoon,2
mysterious letter,2
narrow streets,2
great importance,2
ancient telescope,2
cold metal,2
ancient texts,2
celestial bodies,2
treasure trove,2
ages past,2
inspire generations,2
vibrant spirit,2
special connection,2
ancient times,2
spirit world,2
sweet scent,2
tranquil village,2
tall pines,2
natural circle,2
soft moss,2
tall man,2
wild mane,2
ethereal beauty,2
ancient stone,2
iron age,2
warrior figure,2
familiar scent,2
watchful gaze,2
unbreakable bond,2
summer solstice,2
drawing strength,2
tapestry woven,2
stone walls,2
weave magic,2
vast expanse,2
golden wheat,2
ancient ways,2
recount tales,2
vibrant moss,2
dark clouds,2
harmonious blend,2
brave child,2
spirit envelop,2
simple lives,2
water nymphs,2
pure hearts,2
perfect circle,2
warmth radiate,2
dark shadow,2
remote village,2
thatched-roof cottages,2
smooth stone,2
gentle melody,2
thrill run,2
colors vibrant,2
small island,2
vibrant traditions,2
warmth wrapping,2
sea maidens,2
colorful skirts,2
enthusiasm infectious,2
inexplicable urge,2
warm blanket,2
warm smile,2
newfound strength,2
own memories,2
eternal bond,2
countless stories,2
liquid glass,2
forest needs,2
fateful autumn,2
earthy scent,2
late twenties,2
evening breeze,2
distant sounds,2
