story_id,sentiment,confidence,model,date
FR_1,fear,0.88,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
FR_2,joy,0.9,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
FR_3,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
FR_4,joy,0.52,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
FR_5,love,0.8,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
FR_6,surprise,0.8,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
FR_7,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
FR_8,sadness,0.79,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
FR_9,surprise,0.49,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
FR_10,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
FR_11,fear,0.98,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
FR_12,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
FR_13,joy,0.98,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
FR_14,joy,0.75,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
FR_15,joy,0.91,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
FR_16,fear,0.68,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
FR_17,joy,0.88,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
FR_18,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
FR_19,joy,0.85,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
FR_20,surprise,0.81,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
FR_21,fear,0.67,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
FR_22,sadness,0.98,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
FR_23,surprise,0.8,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
FR_24,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
FR_25,joy,0.89,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
FR_26,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
FR_27,joy,0.57,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
FR_28,love,0.51,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
FR_29,fear,0.6,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
FR_30,sadness,0.54,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
FR_31,fear,0.88,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
FR_32,joy,0.97,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
FR_33,fear,0.98,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
FR_34,joy,0.58,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
FR_35,sadness,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
FR_36,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
FR_37,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
FR_38,fear,0.85,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
FR_39,fear,0.98,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
FR_40,fear,0.97,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
FR_41,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
FR_42,joy,0.98,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
FR_43,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
FR_44,joy,0.98,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
FR_45,fear,0.98,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
FR_46,sadness,0.95,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
FR_47,fear,0.73,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
FR_48,fear,0.96,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
FR_49,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
FR_50,fear,0.57,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
