story_id,sentiment,confidence,model,date
PK_1,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
PK_2,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
PK_3,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
PK_4,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
PK_5,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
PK_6,joy,0.81,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
PK_7,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
PK_8,love,0.95,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
PK_9,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
PK_10,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
PK_11,joy,0.45,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
PK_12,sadness,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
PK_13,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
PK_14,joy,0.82,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
PK_15,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
PK_16,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
PK_17,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
PK_18,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
PK_19,joy,0.98,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
PK_20,love,0.97,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
PK_21,sadness,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
PK_22,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
PK_23,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
PK_24,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
PK_25,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
PK_26,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
PK_27,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
PK_28,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
PK_29,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
PK_30,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
PK_31,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
PK_32,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
PK_33,joy,0.9,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
PK_34,joy,0.67,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
PK_35,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
PK_36,joy,0.8,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
PK_37,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
PK_38,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
PK_39,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
PK_40,fear,0.97,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
PK_41,joy,0.77,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
PK_42,joy,0.93,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
PK_43,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
PK_44,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
PK_45,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
PK_46,joy,0.94,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
PK_47,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
PK_48,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
PK_49,joy,0.98,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
PK_50,fear,0.82,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
