Noun Phrase,Count
’ s heart,126
deep breath,107
small town,81
’ s eyes,34
mother ’ s,33
childhood home,32
new life,30
long shadows,30
main street,27
new beginnings,26
stark contrast,25
unspoken words,25
’ s expression,25
bea,25
childhood friend,21
’ s voice,21
old man,21
local library,20
golden hue,20
dark hair,20
evergreen,20
halcyon,20
warm glow,20
frank,20
parker,20
oliver,20
who,19
tears,19
weight,19
jonah,19
max,19
sure,18
have,18
father ’ s,18
hannah,18
noah,18
old diner,17
’ s mind,17
here. ”,17
maya,17
familiar faces,16
you. ” “,16
’ s time,16
decision,16
old friends,16
beginnings,16
new beginning,16
home * * * * chapter,16
young man,16
oh,16
rhythmic clatter,16
miriam,16
fenton,16
heart swelling,15
blue eyes,15
old oak tree,15
town ’ s,15
isn ’ t,15
ghosts,15
mrs. hargrove,15
george,15
train station,15
train home,15
long time,15
me. ”,15
really,15
crestwood,15
bill,15
john,15
warm embrace,14
finn,14
this. ”,14
community center,14
here. ” “,14
evermore,14
town square,13
together. ”,13
voice thick,13
weeks,13
determined,13
air thick,13
it. ” “,13
creek,13
home * *,13
richard,13
don,13
wouldn ’ t,13
journey,13
elliot,13
marcus,13
christmas,13
millstone,13
betty,12
him. ”,12
entire life,12
please,12
familiar scent,12
back. ” “,12
okay,12
’ s breath,12
night sky,12
mind,12
hollow,12
harrow,12
sophie,12
comfortable silence,11
just…,11
own path,11
small-town life,11
wow,11
high school,11
open arms,11
confrontation,11
annie,11
virginia,11
new chapter,11
daisy,11
heart,11
mrs. jenkins,11
familiar landscape,11
oakwood,11
alex,11
remember,11
grandma,11
caleb,11
city life,10
warm smile,10
’ s hand,10
familiar voice,10
’ s gaze,10
gentle breeze,10
elderly woman,10
familiar streets,10
back. ”,10
endless possibilities,10
promise,10
there. ”,10
end * *,10
shadows,10
us. ”,10
silver hair,10
window seat,10
bygone era,10
truth. ”,10
mrs. thompson,10
denver,10
charlie,10
liam,10
warm golden hue,9
childhood friends,9
want,9
countless hours,9
vibrant colors,9
small smile,9
crisp air,9
hi,9
well,9
autumn leaves,9
familiar sights,9
easy smile,9
’ s life,9
mother ’ s life,9
countless afternoons,9
slowly,9
exactly,9
turning,9
own dreams,9
city lights,9
too. ”,9
fresh coffee,9
familiar face,9
old life,9
dusty hollow,9
dawn,9
silver,9
own story,9
maple grove,9
everglade,9
ryan,9
own stories,8
fresh start,8
home. ”,8
golden glow,8
father ’ s legacy,8
everyone,8
family home,8
silence,8
time. ”,8
absolutely,8
local diner,8
october,8
victorian,8
small café,8
heart race,8
seattle,8
* chapter,8
* “,8
encounter,8
's heart,8
friendly smile,8
’ s okay,8
voice firm,8
coffee shop,8
call,8
james,8
bright lights,8
pine hollow,8
silver creek,8
elderly man,8
ashwood,8
violet,8
crescent,8
liz,8
mitchell,8
montgomery,8
prescott,8
nestled,7
festival * *,7
old friend,7
mother ’ s voice,7
town ’ s history,7
local community center,7
leather jacket,7
voice steadier,7
old library,7
unraveling,7
tomorrow,7
be. ”,7
old books,7
appalachian,7
that. ”,7
way. ” “,7
ready,7
cool glass,7
street food,7
finding,7
cool night air,7
point * *,7
journey begins,7
conductor ’ s voice,7
collins,7
july,7
small station,7
sounds,7
local bookstore,7
# # # # chapter,7
excuse,7
empty seat,7
hello,7
leather suitcase,7
vibrant tapestry,7
welby,7
mark,7
mary,7
hartsville,7
maple street,7
clara thompson,7
wilson,7
brenda,7
town 's,6
kind eyes,6
secrets,6
warm hug,6
’ ll figure,6
strange sense,6
’ s words,6
old photographs,6
are. ”,6
old times,6
front porch,6
warm blanket,6
willow,6
“ life,6
mother ’ s past,6
mother ’ s legacy,6
homecoming,6
’ s smile,6
cool air,6
hasn ’ t,6
’ s part,6
hope,6
hank,6
leather satchel,6
young woman,6
lost. ”,6
kane,6
’ s mother,6
town. ”,6
years,6
summer sun,6
stranger,6
elise,6
meeting,6
for. ”,6
doubt crept,6
thought,6
big city,6
michigan,6
uh,6
me. ” “,6
rainy afternoon,6
elmwood,6
front door,6
startled,6
to. ”,6
kitchen table,6
nowhere,6
waverly,6
curiosity,6
union station,6
looking,6
mother ’ s memory,6
cider,6
golden light,6
sweet scent,6
doesn ’ t,6
healing,6
chatham,6
charleston,6
again. ”,5
left. ”,5
haven ’ t,5
crisp morning,5
sleepy town,5
got,5
new ones,5
family photos,5
soft smile,5
messy bun,5
brief moment,5
long forgotten,5
confronting,5
vermont,5
thompson,5
small park,5
cool breeze,5
hardware store,5
old wood,5
flicker,5
harvest festival,5
glenwood,5
* * end,5
vibrant city,5
’ t stay,5
dreams,5
small apartment,5
mother ’ s laughter,5
inexplicable pull,5
art galleries,5
kansas,5
wooden planks,5
fresh air,5
old mill,5
unraveling threads,5
time capsule,5
’ s stomach,5
alright,5
journey continues,5
coffee,5
count,5
edna,5
go. ”,5
night air,5
nancy,5
there. ” “,5
wooden benches,5
old house,5
gathering,5
sunset grove,5
small bookstore,5
heavy heart,5
distant memory,5
street performers,5
leo,5
tapestry woven,5
clara mitchell,5
whistle blew,5
family ’ s,5
this. ” “,5
’ s history,5
’ s story,5
storm,5
white sheets,5
looks,5
family ’ s legacy,5
familiar landscapes,5
’ s thoughts,5
tampa,5
mother ’ s choices,5
old train station,5
lonesome pines,5
embrace,5
ashes,5
millfield,5
mr. thompson,5
coffee shops,5
tessa,5
cottonwood tree,5
print shop,5
summer evenings,4
own life,4
life. ” “,4
long-lost friend,4
profound sense,4
rearview mirror,4
cheerful voice,4
free. ”,4
dreams. ”,4
families,4
busy,4
’ s…,4
childhood memories,4
’ s just…,4
be,4
everything. ”,4
sorry. ” “,4
caramel apples,4
art classes,4
neon lights,4
oak trees,4
childhood adventures,4
” * * chapter,4
’ s presence,4
gravel driveway,4
late twenties,4
intrigued,4
aren ’ t,4
old newspapers,4
long nights,4
beneath,4
greyhound,4
old town,4
fresh-cut grass,4
place. ” “,4
things. ”,4
afternoon sun,4
newfound sense,4
old farmhouse,4
lay awake,4
fluorescent lights,4
city * *,4
urban life,4
sun dip,4
excerpt,4
amelia hart,4
want. ”,4
dark cloud,4
shy smile,4
own journey,4
twin pines,4
sound casual,4
ahead,4
family gatherings,4
revelations,4
dusty shelves,4
sound,4
golden wheat,4
dense forests,4
’ s spine,4
’ ll need,4
earl,4
quaint shops,4
town. ” “,4
lost,4
was,4
“ people,4
fourth,4
was. ”,4
memories. ”,4
new memories,4
family dinners,4
’ s chest,4
figure things,4
mother ’ s eyes,4
’ m here. ”,4
hope ignite,4
overgrown garden,4
marianne,4
place. ”,4
soft rustle,4
away. ”,4
soft glow,4
way home,4
passengers,4
heart flutter,4
whispers,4
new dreams,4
small towns,4
new faces,4
millennium,4
vast ocean,4
i…,4
way. ”,4
train wheels,4
revelation,4
new adventures,4
phone rang,4
harper,4
betty lou,4
back—the laughter,4
standing,4
enthusiasm infectious,4
’ s support,4
nice,4
face pale,4
reckoning,4
mrs. granger,4
warmth radiate,4
floral wallpaper,4
’ s excitement,4
need,4
sunny afternoon,4
new day,4
own world,4
right place,4
quick breakfast,4
* * word,4
old haunts,4
now. ”,4
mother ’ s belongings,4
mother ’ s presence,4
cold air,4
* * hours,4
ladies,4
vibrant life,4
writing,4
out. ”,4
something. ”,4
oklahoma,4
her. ”,4
search,4
clara.,4
forgotten memories,4
café,4
harlow,4
local artists,4
sterling media,4
mother. ”,4
train car,4
unspoken feelings,3
sorry,3
anymore. ” “,3
us. ” * * chapter,3
inspiration,3
fresh paint,3
stories woven,3
new path,3
mother ’ s spirit,3
constant presence,3
chestnut hair,3
green eyes,3
cheeks flush,3
’ s encouragement,3
do. ”,3
’ s departure,3
pumpkin patch,3
bright blue eyes,3
unofficial historian,3
's voice,3
dark clouds,3
choices,3
own fears,3
countless times,3
worn-out couch,3
em,3
is. ”,3
mother ’ s gaze,3
understand. ”,3
trying,3
treasure trove,3
father ’ s death,3
different directions,3
local businesses,3
sun rise,3
damp earth,3
bittersweet pang,3
grocery store,3
on. ”,3
resolution,3
* * end * *,3
mischievous grin,3
grandmother ’ s past,3
maplewood.,3
town records,3
thread woven,3
late nights,3
