Story_ID,Summaries,Prompt,Model,Date
IN_1,"In the village of Khatola, Aanya, a curious sixteen-year-old, seeks the truth behind the legends of the Whispering Pines. Guided by a spirit, she discovers the poignant love story of Arjun and Meera, learning that love demands courage and authenticity. Inspired, Aanya embarks on her own journey of self-discovery.","In English, write a 50 word plot summary of this story: [STORY]",gpt-4o-mini,25-02-2025
IN_2,"In the village of Chandanpur, Maya, a determined sixteen-year-old, dreams of education despite societal norms urging her toward marriage. After meeting Arjun, a city student, she gains the courage to fight for her aspirations, ultimately inspiring her village to embrace girls' education. Maya’s journey transforms her destiny and empowers future generations.","In English, write a 50 word plot summary of this story: [STORY]",gpt-4o-mini,25-02-2025
IN_3,"In the village of Vasantpur, young Aditi dreams of the mythical River of Dreams, said to grant wishes. Embarking on a perilous journey, she encounters trials that teach her the power of kindness and compassion. Upon reaching the river, she wishes to spread joy, transforming her village and inspiring future generations.","In English, write a 50 word plot summary of this story: [STORY]",gpt-4o-mini,25-02-2025
IN_4,"In Kashi, photographer Vikram encounters the spirit of Meera, a long-lost devotee of Goddess Durga. Captivated by her story, he documents her life through photographs, bridging past and present. As her tale is unveiled during a festival, Meera's spirit merges with the winds, forever entwined with Kashi's history and essence.","In English, write a 50 word plot summary of this story: [STORY]",gpt-4o-mini,25-02-2025
IN_5,"In the village of Punarvasu, elderly healer Kamala shares wisdom through stories and tapestries. When city photographer Arjun arrives, he forms a bond with her, leading to a quest for a hidden treasure of ancient knowledge. Together, they revive traditions, inspiring the community and ensuring their legacies endure through storytelling.","In English, write a 50 word plot summary of this story: [STORY]",gpt-4o-mini,25-02-2025
IN_6,"In the village of Aamra, young Meera prepares for the monsoon festival while her ailing father, Arjun, worries her. As she dances to summon rain, she learns of his collapse. Rallying the villagers, they unite to support Arjun’s recovery. Through dance, Meera discovers resilience, celebrating life and community.","In English, write a 50 word plot summary of this story: [STORY]",gpt-4o-mini,25-02-2025
IN_7,"In Sundarpur, Aditi, a curious fourteen-year-old, listens to Dadaji's tales beneath a majestic banyan tree. Inspired, she organizes a festival to honor forgotten spirits protecting their land during a drought. The villagers unite, and their gratitude brings the spirits back, reviving their crops and rekindling a deep connection with nature.","In English, write a 50 word plot summary of this story: [STORY]",gpt-4o-mini,25-02-2025
IN_8,"In the tranquil town of Parvatipur, aspiring artist Meera longs for the vibrant life of the city. After boarding the last train to Dehradun, she discovers that success isn’t found in escape but in embracing her roots. Ultimately, she returns home, blending her experiences to inspire her art.","In English, write a 50 word plot summary of this story: [STORY]",gpt-4o-mini,25-02-2025
IN_9,"In the village of Gokul, Aditi dreams of becoming a teacher, challenging traditional norms that confine women. With support from friends, she starts evening classes, inspiring children and women alike. Despite opposition from the village council, Aditi's determination leads to transformation, igniting a legacy of education and empowerment for future generations.","In English, write a 50 word plot summary of this story: [STORY]",gpt-4o-mini,25-02-2025
IN_10,"In the vibrant village of Nandgaon, young Rohan, armed with his grandfather's flute, rallies the villagers against the greedy landlord Thakur Vikram, who seeks to seize their land. Through the power of music, Rohan inspires hope and unity, leading to a compromise that preserves their culture and future, transforming despair into harmony.","In English, write a 50 word plot summary of this story: [STORY]",gpt-4o-mini,25-02-2025
