Noun Phrase,Count
whispering pines,46
small village,30
young woman,27
deep breath,26
cobblestone streets,24
gentle breeze,19
young girl,16
warm glow,15
old woman,15
wise woman,13
golden hue,13
adventurous spirit,11
ancient trees,11
vysoké tatry,11
wooden houses,10
vibrant colors,10
open arms,10
quaint village,10
crisp autumn morning,10
stará ves,10
ancient oak,10
dense forests,9
bright green eyes,9
chestnut hair,9
baba jaga,9
dear child,8
heart swelling,8
soft glow,8
insatiable curiosity,8
zelená dolina,8
ancient oak tree,8
zázračná dolina,8
ancient spirits,7
village square,7
night sky,7
deep connection,7
forest floor,7
profound sense,7
majestic peaks,7
dark hair,7
young man,7
tatranská lúka,7
staré mesto,7
starlit sky,7
small satchel,7
karpatská ves,7
zelené sady,7
lush forests,6
golden glow,6
damp earth,6
own stories,6
grandma mária,6
warm embrace,6
inexplicable pull,6
distant lands,6
delicate balance,6
soft breeze,6
crisp autumn afternoon,6
journey begins,6
village elders,6
hrad záhorský,6
whispering woods,6
oak tree,5
old man,5
long shadows,5
legacy continues,5
sunset paint,5
old tales,5
narrow path,5
soft whisper,5
ancient sentinels,5
fateful evening,5
rich tapestry,5
pine trees,5
future generations,5
rough bark,5
wooden cottages,5
malá ráztoky,5
dream realm,5
mountain spirits,5
baba janka,5
vibrant hues,4
warmth envelop,4
brilliant light,4
unbreakable bond,4
familiar presence,4
wooden beams,4
rich history,4
dense forest,4
fresh bread,4
newfound sense,4
constant reminder,4
autumn leaves,4
town square,4
intricate carvings,4
simple lives,4
silvery glow,4
sweet scent,4
small backpack,4
gentle rustle,4
soft voice,4
strange pull,4
familiar sights,4
small bag,4
pure heart,4
vibrant tapestry,4
stone walls,4
fierce warrior,4
ancient pines,4
lavender fields,4
whispering wind,4
sunny afternoon,3
white beard,3
great power,3
silver hair,3
crisp evening,3
restore balance,3
newfound strength,3
autumn evening,3
city life,3
village life,3
small station,3
dusty books,3
playful shadows,3
colorful flower boxes,3
childhood friend,3
warm smile,3
new faces,3
staré hory,3
summer sky,3
newfound purpose,3
distant calls,3
eerie silence,3
deep sense,3
sun setting,3
annual festival,3
small chamber,3
gentle embrace,3
charming wooden houses,3
old church,3
wooden box,3
bid farewell,3
sweet aroma,3
simple life,3
ancient wisdom,3
blue eyes,3
soft voices,3
lush valleys,3
crystal-clear streams,3
new life,3
distant call,3
small pond,3
elderly woman,3
golden hues,3
newfound determination,3
fateful night,3
bright blue eyes,3
fierce storm,3
harmonious melody,3
inexplicable connection,3
strange energy,3
massive oak tree,3
unseen force,3
quaint cottages,3
golden sunlight,3
crescent moon,3
distant echoes,3
favorite spot,3
hard work,3
shiver run,3
gathering crowd,3
young boy,3
herbal remedies,3
trunks thick,3
ancient guardians,3
velký kriváň,3
sudden gust,3
wellness center,3
full moon,3
ancient tree,3
insatiable desire,2
evil sorcerer,2
forest speaks,2
forgotten village,2
emerald eyes,2
darkness stirs,2
ethereal glow,2
night creatures,2
bygone era,2
own journey,2
gentle pace,2
raven-black hair,2
vibrant foliage,2
old photographs,2
traditional attire,2
ancient carvings,2
true meaning,2
own adventures,2
true treasure,2
daily lives,2
dark eyes,2
mere folklore,2
ancient song,2
ancient stone,2
young couple,2
gentle breeze brush,2
indomitable spirit,2
eva kováč,2
high peaks,2
thick fog,2
natural cathedral,2
true self,2
journey unfolds,2
misty morning,2
high plateau,2
vast expanse,2
long chestnut hair,2
dark maw,2
old records,2
serene silence,2
human spirit,2
mamin koláč,2
sweet pastries,2
mysterious stranger,2
tall man,2
old trunk,2
newfound courage,2
journey ahead,2
new experiences,2
vibrant spirit,2
setting sun,2
traditional pastries,2
sustainable practices,2
quiet nights,2
soft melody,2
ancient legends,2
ancient pine tree,2
dark force,2
small vial,2
river spirits,2
brave heart,2
natural beauty,2
rich folklore,2
entire life,2
vibrant life,2
whole world,2
expansive view,2
air thick,2
bittersweet smile,2
new beginnings,2
old letters,2
lantern festival,2
tranquil waters,2
wooden chalets,2
rustic charm,2
wild mane,2
dense thicket,2
protective cloak,2
young artist,2
fresh earth,2
nearby woods,2
crystal-clear stream,2
wild imagination,2
ancient stone structure,2
chill run,2
wide eyes,2
ancient structure,2
faint melody,2
gentle reminder,2
quest begins,2
forgotten tale,2
dark witch,2
local tavern,2
mystical creatures,2
voice firm,2
massive pine tree,2
small altar,2
such afternoon,2
golden rays,2
soft rustle,2
part ii,2
part iii,2
part iv,2
countless creatures,2
part v,2
entire village,2
new trees,2
old castle,2
faint glow,2
fairy friends,2
earthy scent,2
vibrant wildflowers,2
familiar paths,2
golden light,2
own hearts,2
# # #,2
adventurous heart,2
cool water,2
dark clouds,2
backpack slung,2
crisp mountain air,2
quaint houses,2
ancient spirit,2
rocky outcrops,2
tapestry woven,2
cool evening air,2
own dreams,2
old folk,2
cozy establishment,2
long past,2
stone pedestal,2
nocturnal creatures,2
old friends,2
harvest festival,2
lush green hills,2
picturesque setting,2
steep cliffs,2
true power,2
traditional wooden houses,2
ever-present scent,2
soft light,2
pine needles,2
familiar embrace,2
everyday life,2
tall figure,2
green hills,2
new beginning,2
cozy cottage,2
orange glow,2
bright eyes,2
golden eagle,2
newfound wisdom,2
great storm,2
nearby stream,2
community hall,2
newfound respect,2
café dubliner,2
rocky slopes,2
tatran spirit,2
small glade,2
brave warriors,2
rocky terrain,2
green eyes,2
lavender farm,2
warm evenings,2
smooth stones,2
fire spirit,2
young shepherd,2
ancient stones,2
final glance,2
precious gift,2
grandfather tomáš,2
true essence,2
crystal lake,2
echoing caves,2
traditional wooden cottages,1
fairy tale,1
ancient battles,1
curious nature,1
powerful energy,1
deep-set eyes,1
deep rumble,1
essence lingers,1
determination filling,1
share stories,1
village lit bonfires,1
unexpected chill,1
low growl,1
dark silhouette,1
red eyes,1
ancient hymn,1
physical blow,1
collective energy,1
desperate cry,1
proud smile,1
true guardians,1
ancient folk tales,1
irresistible pull,1
gentle applause,1
small lantern,1
silver moonlight,1
ancient arms,1
harmonious blend,1
enchanted cave,1
distant roar,1
unseen creatures,1
cool air wrapping,1
shadowy figures,1
innermost chamber,1
radiant gem,1
dark entity,1
old friend,1
imagined—a bond,1
gentle breeze caress,1
her—her career,1
quiet rhythm,1
cold winter nights,1
wooden structure,1
forest—the legends,1
walls bore,1
creaky stairs,1
guardian spirit,1
woods feeling,1
local café,1
charming establishment,1
city girl returns,1
small table,1
local farmers,1
childhood antics,1
treasure hunt,1
right person,1
old wooden chest,1
items—old coins,1
delicate script,1
local harvest,1
own fears,1
own rediscovery,1
bittersweet ache,1
warmth wrapping,1
landscape transform,1
