story_id,sentiment,confidence,model,date
SY_1,joy,0.87,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
SY_2,love,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
SY_3,joy,0.93,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
SY_4,joy,0.52,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
SY_5,joy,0.97,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
SY_6,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
SY_7,joy,0.77,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
SY_8,joy,0.95,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
SY_9,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
SY_10,fear,0.84,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
SY_11,joy,0.88,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
SY_12,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
SY_13,sadness,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
SY_14,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
SY_15,anger,0.31,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
SY_16,joy,0.98,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
SY_17,joy,0.95,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
SY_18,joy,0.76,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
SY_19,joy,0.57,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
SY_20,fear,0.77,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
SY_21,joy,0.89,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
SY_22,sadness,0.53,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
SY_23,joy,0.9,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
SY_24,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
SY_25,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
SY_26,joy,0.96,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
SY_27,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
SY_28,joy,0.94,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
SY_29,joy,0.98,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
SY_30,joy,0.5,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
SY_31,joy,0.78,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
SY_32,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
SY_33,joy,0.7,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
SY_34,joy,0.98,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
SY_35,joy,0.95,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
SY_36,joy,0.95,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
SY_37,joy,0.61,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
SY_38,joy,0.75,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
SY_39,sadness,0.84,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
SY_40,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
SY_41,love,0.5,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
SY_42,joy,0.52,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
SY_43,joy,0.72,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
SY_44,sadness,0.73,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
SY_45,joy,0.98,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
SY_46,joy,0.45,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
SY_47,fear,0.47,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
SY_48,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
SY_49,joy,0.88,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
SY_50,joy,0.98,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
