story_id,sentiment,confidence,model,date
NE_1,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
NE_2,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
NE_3,sadness,0.68,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
NE_4,anger,0.97,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
NE_5,fear,0.77,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
NE_6,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
NE_7,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
NE_8,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
NE_9,joy,0.96,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
NE_10,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
NE_11,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
NE_12,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
NE_13,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
NE_14,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
NE_15,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
NE_16,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
NE_17,fear,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
NE_18,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
NE_19,joy,0.97,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
NE_20,joy,0.9,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
NE_21,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
NE_22,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
NE_23,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
NE_24,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
NE_25,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
NE_26,fear,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
NE_27,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
NE_28,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
NE_29,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
NE_30,fear,0.43,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
NE_31,fear,0.7,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
NE_32,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
NE_33,joy,0.98,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
NE_34,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
NE_35,joy,0.98,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
NE_36,fear,0.43,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
NE_37,joy,0.97,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
NE_38,joy,0.98,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
NE_39,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
NE_40,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
NE_41,fear,0.81,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
NE_42,joy,0.72,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
NE_43,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
NE_44,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
NE_45,joy,0.95,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
NE_46,fear,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
NE_47,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
NE_48,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
NE_49,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
NE_50,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
