Word,Frequency
village,68
tree,50
wish,48
magical,46
discover,44
mango,44
grant,23
magic,23
embark,22
friendship,22
meera,21
true,20
learn,20
kindness,19
adventurous,18
friend,18
adventure,17
find,16
old,16
quest,15
year,15
community,14
enchanted,14
curious,13
ultimately,13
challenge,12
courage,12
joy,12
lie,11
vibrant,11
love,11
bravery,10
name,10
happiness,10
arjun,10
inspire,9
treasure,9
guide,9
transform,9
help,8
riya,8
retrieve,8
heart,7
transport,7
wisdom,7
festival,7
unite,7
chutki,6
task,6
anaya,6
meet,6
face,6
seek,6
restore,6
home,6
spirit,6
river,6
save,6
forest,6
share,6
legendary,5
chandpur,5
enchanting,5
teach,5
prove,5
forever,5
chhoti,5
guardian,5
sorcerer,5
chintu,5
banyan,5
return,5
mysterious,5
evil,4
protect,4
teamwork,4
value,4
power,4
aarav,4
sundarpur,4
raju,4
greedy,4
reveal,4
riddle,4
villager,4
maya,4
boy,4
land,4
spread,4
hidden,4
fairy,4
overcome,4
item,4
aamgaon,4
dreams,4
forge,3
girl,3
bholu,3
memory,3
connection,3
hope,3
unity,3
aditi,3
golden,3
ayaan,3
ganga,3
rabbit,3
belief,3
bring,3
selfless,3
rain,3
ravi,3
realm,3
animal,3
ancient,3
complete,3
gem,3
rainbow,3
secret,3
pure,3
lose,3
aanya,3
create,3
kavi,3
food,3
guard,3
lesson,3
confront,3
prosperity,3
clever,3
lead,3
monkey,3
defeat,2
world,2
garden,2
succeed,2
explore,2
selflessly,2
legacy,2
solve,2
sorceress,2
ensure,2
defy,2
grove,2
thrilling,2
valuable,2
rohan,2
selflessness,2
child,2
merchant,2
spell,2
invitation,2
mystical,2
receive,2
amara,2
respect,2
nature,2
kaal,2
stricken,2
earn,2
good,2
chhota,2
trap,2
parrot,2
talk,2
choti,2
unlock,2
school,2
threaten,2
seed,2
tiffin,2
celebration,2
foster,2
mischievous,2
rumor,2
steal,2
offer,2
young,2
celebrate,2
host,2
realize,2
self,2
amarpur,2
creature,2
mira,2
befriend,2
tara,2
glow,2
gain,2
journey,2
come,2
family,2
revive,2
key,2
ability,2
mangalpur,2
use,2
drought,2
wonders,2
fruit,2
island,2
chaitanya,2
story,2
produce,1
bustle,1
desire,1
karnataka,1
climb,1
serpent,1
tall,1
great,1
action,1
amba,1
magically,1
box,1
delhi,1
gokul,1
note,1
collective,1
say,1
worthiness,1
urge,1
future,1
win,1
adventurer,1
contest,1
force,1
amit,1
join,1
meal,1
leela,1
special,1
chotu,1
ingredient,1
businessman,1
rally,1
wishing,1
preserve,1
fellow,1
way,1
chandanpur,1
moti,1
tell,1
funny,1
grandmother,1
hint,1
compass,1
ornate,1
dham,1
harmony,1
chaotic,1
creativity,1
compassion,1
unexpected,1
pindara,1
darkness,1
chikankheda,1
near,1
enter,1
daring,1
testing,1
joyful,1
place,1
dancer,1
sacrifice,1
cherished,1
endless,1
miss,1
undo,1
draw,1
night,1
extraordinary,1
embrace,1
late,1
letter,1
fill,1
process,1
khandapur,1
wise,1
dhaman,1
book,1
beneath,1
grandma,1
hunt,1
dilli,1
speak,1
miko,1
ananya,1
uncover,1
lifelong,1
starry,1
taste,1
squirrel,1
chikoo,1
set,1
symbolize,1
nurture,1
bustling,1
bazaar,1
shortage,1
abundance,1
bhanpur,1
lila,1
song,1
perform,1
dance,1
blue,1
break,1
mithila,1
plant,1
die,1
nandpur,1
moment,1
day,1
quaint,1
spark,1
transformation,1
cave,1
spirited,1
gharial,1
underwater,1
brave,1
lion,1
talking,1
bear,1
cast,1
drain,1
exploit,1
sage,1
hungry,1
venture,1
noble,1
warning,1
chaiwala,1
bhaiya,1
bird,1
forlorn,1
ask,1
joyous,1
whimsical,1
thwart,1
dark,1
beloved,1
vanish,1
annual,1
mela,1
detective,1
neighboring,1
kid,1
party,1
team,1
uttarakhand,1
series,1
color,1
goblin,1
grizzle,1
aam,1
fawn,1
beauty,1
duniya,1
mithu,1
pura,1
imagination,1
anandpur,1
understand,1
encounter,1
lotus,1
dream,1
chhatarpur,1
woods,1
ollie,1
owl,1
crystal,1
balance,1
inner,1
legend,1
wither,1
greed,1
determined,1
represent,1
honesty,1
stone,1
reality,1
believe,1
fortune,1
prepare,1
play,1
doubt,1
rivalry,1
shine,1
stage,1
real,1
source,1
strength,1
kachnar,1
whispering,1
exploration,1
companionship,1
amrapur,1
enchant,1
bamboo,1
map,1
trial,1
test,1
newfound,1
make,1
mangla,1
kind,1
aid,1
togetherness,1
threat,1
gather,1
gaon,1
emerald,1
small,1
jaipur,1
meaning,1
need,1
go,1
amravati,1
asha,1
communicate,1
promise,1
one,1
change,1
