story_id,sentiment,confidence,model,date
KE_1,joy,0.87,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
KE_2,joy,0.5,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
KE_3,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
KE_4,fear,0.51,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
KE_5,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
KE_6,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
KE_7,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
KE_8,joy,0.96,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
KE_9,anger,0.94,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
KE_10,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
KE_11,fear,0.5,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
KE_12,sadness,0.95,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
KE_13,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
KE_14,joy,0.61,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
KE_15,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
KE_16,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
KE_17,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
KE_18,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
KE_19,joy,0.8,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
KE_20,joy,0.49,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
KE_21,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
KE_22,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
KE_23,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
KE_24,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
KE_25,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
KE_26,joy,0.83,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
KE_27,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
KE_28,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
KE_29,anger,0.92,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
KE_30,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
KE_31,joy,0.95,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
KE_32,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
KE_33,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
KE_34,joy,0.65,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
KE_35,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
KE_36,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
KE_37,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
KE_38,anger,0.55,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
KE_39,joy,0.97,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
KE_40,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
KE_41,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
KE_42,fear,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
KE_43,joy,0.81,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
KE_44,love,0.64,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
KE_45,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
KE_46,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
KE_47,surprise,0.68,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
KE_48,anger,0.88,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
KE_49,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
KE_50,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
