Word,Frequency
village,113
mei,95
grove,85
bamboo,82
spirit,65
discover,50
guide,38
li,36
lin,36
ancient,34
seek,33
wei,32
confront,29
whisper,28
mystical,26
learn,26
ultimately,26
young,24
guardian,23
wisdom,23
embrace,23
community,22
embark,22
courage,22
ling,21
unite,21
journey,21
villager,20
story,20
transform,20
legacy,20
face,20
love,19
scholar,18
true,18
encounter,17
lianhua,17
whispering,17
fear,17
inspire,17
secret,16
share,16
lian,15
mysterious,15
reveal,15
find,14
tranquil,14
trial,14
restore,14
draw,14
destiny,14
dream,14
forest,13
connection,13
heritage,13
nature,13
return,12
life,12
adventure,12
protect,12
darkness,12
harmony,12
uncover,12
past,12
family,11
power,11
sacred,11
old,11
ignite,11
ancestral,11
strength,11
tale,10
hope,10
year,10
self,10
meet,10
ancestor,10
forge,10
solace,9
threaten,9
awaken,9
lose,9
traveler,9
chen,9
quest,9
treasure,8
ensure,8
home,8
grandmother,8
magical,8
misty,8
choice,8
artist,8
venture,8
xiu,8
compassion,8
task,8
bond,8
hold,8
unity,8
purpose,8
serene,8
challenge,7
heart,7
heal,7
lotus,7
legendary,7
curse,7
future,7
lantern,6
freedom,6
discovery,6
sacrifice,6
truth,6
free,6
endure,6
realm,6
enchanted,6
transformative,6
choose,6
rumor,6
sichuan,6
enchant,6
keeper,6
yu,6
root,6
tradition,6
creativity,5
legend,5
pendant,5
honor,5
desire,5
grant,5
shadow,5
jian,5
lead,5
expectation,5
wish,5
father,5
adventurous,5
harness,5
lie,5
preserve,5
profound,5
qingshan,5
resilience,5
perilous,5
qinghe,5
lineage,5
land,5
world,5
receive,5
magic,4
connect,4
curious,4
city,4
deep,4
festival,4
test,4
enchanting,4
balance,4
yearn,4
friendship,4
inspiration,4
unlock,4
hear,4
retrieve,4
rally,4
ying,4
liang,4
passion,4
name,4
humanity,4
merchant,4
familial,4
determined,4
enigmatic,4
earth,4
trap,4
secluded,4
mountain,4
arrive,4
storyteller,4
moon,4
liuhe,4
town,4
help,3
fire,3
lingxi,3
woman,3
storm,3
water,3
symbolize,3
light,3
gift,3
blossom,3
reclaim,3
forever,3
girl,3
powerful,3
foster,3
tear,3
change,3
fate,3
yunnan,3
fang,3
seventeen,3
yulan,3
tie,3
ready,3
empower,3
protector,3
new,3
follow,3
bridge,3
memory,3
mythical,3
explore,3
zhang,3
pure,3
vision,3
friend,3
pursue,3
break,3
melody,3
wuyuan,3
believe,3
betrayal,3
save,3
healing,3
maiden,3
forget,3
liu,3
willow,3
newfound,3
transcend,3
death,3
long,3
yi,3
escape,3
gain,3
jade,3
temple,3
feng,3
call,3
sixteen,3
prosperity,2
invitation,2
promise,2
aspire,2
chinese,2
herbalist,2
grapple,2
pond,2
emperor,2
tragic,2
reshape,2
acceptance,2
tablet,2
history,2
peace,2
ail,2
uplift,2
emerge,2
jun,2
create,2
hangzhou,2
unique,2
weary,2
risk,2
prophetic,2
loom,2
forbid,2
hide,2
bind,2
capture,2
danger,2
boy,2
overcome,2
essence,2
greed,2
determination,2
flower,2
gather,2
meilin,2
bravery,2
haunt,2
importance,2
local,2
artifact,2
threat,2
safeguard,2
scroll,2
china,2
poet,2
southern,2
deepen,2
xu,2
storytelle,2
befriend,2
amidst,2
zhao,2
qingshui,2
lijiang,2
feel,2
late,2
xiao,2
entity,2
join,2
jin,2
potential,2
study,2
medicine,2
dreamer,2
exhibition,2
merge,2
modern,2
storytelling,2
whispers,2
thrive,2
flute,2
bustling,2
wen,2
encroach,2
search,2
fill,2
echoes,2
xiang,2
forbidden,2
tree,2
spirited,2
jie,2
teach,2
forgiveness,2
duty,2
lan,2
warrior,2
hidden,2
nurture,2
kingdom,2
transport,2
reconnect,2
path,2
play,2
sorceress,2
guard,2
knowledge,2
shen,2
vibrant,2
talisman,2
farmer,2
na,2
greedy,2
heartfelt,1
carry,1
shadowy,1
fight,1
vulnerability,1
intertwine,1
developer,1
innovation,1
whisperer,1
collaborative,1
rivalry,1
huanshan,1
gifted,1
inkstone,1
lüjing,1
hunan,1
longhe,1
lesson,1
qingming,1
vital,1
restless,1
childhood,1
troubled,1
shy,1
grandfather,1
faded,1
xia,1
element,1
wind,1
listen,1
artisan,1
beginning,1
donglin,1
revive,1
calligraphy,1
force,1
commercialization,1
cave,1
shuyuan,1
embody,1
laughter,1
destroy,1
valley,1
meeting,1
yuhang,1
xun,1
shuiyin,1
perform,1
impermanence,1
quaint,1
tianhe,1
child,1
ritual,1
ping,1
stranger,1
mortal,1
attain,1
pursuit,1
lurk,1
seed,1
plant,1
box,1
qingyun,1
chaos,1
continue,1
immortality,1
jiangsu,1
qingzhong,1
maker,1
calling,1
prepare,1
threads,1
generation,1
breakup,1
stone,1
qinglin,1
appreciation,1
renew,1
teaching,1
translate,1
elder,1
haunting,1
xinyuan,1
qingshuiguan,1
worthy,1
clue,1
outsider,1
lift,1
song,1
unaware,1
survival,1
communicate,1
oppressive,1
traditional,1
wandering,1
process,1
seer,1
journal,1
role,1
people,1
shape,1
ailao,1
tapestry,1
deceased,1
organize,1
weave,1
prove,1
depth,1
celebrate,1
xuelin,1
weaver,1
say,1
xiangyang,1
alter,1
elusive,1
yuki,1
decide,1
xishan,1
illusion,1
plum,1
fade,1
xuancheng,1
stricken,1
memories,1
flourish,1
drought,1
heroism,1
hopeful,1
peaceful,1
shuilin,1
mountains,1
maze,1
navigate,1
sorcerer,1
foggy,1
wicked,1
celestial,1
somber,1
project,1
document,1
spark,1
need,1
banish,1
chilling,1
malevolent,1
kindre,1
alongside,1
reflect,1
constraint,1
constrain,1
small,1
unbreakable,1
reaffirm,1
silver,1
brother,1
triumph,1
miss,1
revival,1
guqin,1
silk,1
sorrow,1
joy,1
rural,1
last,1
shanquan,1
qianlong,1
xin,1
clash,1
ideal,1
music,1
guzheng,1
man,1
elderly,1
xinghua,1
soul,1
hearted,1
harmonious,1
form,1
marriage,1
thorns,1
rebirth,1
despair,1
combat,1
lantian,1
yan,1
zhu,1
drive,1
destruction,1
elemental,1
fend,1
commune,1
ability,1
zhuque,1
torment,1
musician,1
curiosity,1
visit,1
townsfolk,1
xincheng,1
interconnectedness,1
air,1
undertake,1
seeker,1
defeat,1
evil,1
forgotten,1
offering,1
jiang,1
wander,1
gentle,1
interpret,1
identity,1
eighteen,1
lanterns,1
statue,1
lost,1
zheng,1
redemption,1
goddess,1
dedicate,1
harbor,1
shuzhen,1
hanlin,1
pivotal,1
xianhe,1
chengdu,1
stifle,1
fellow,1
lusheng,1
united,1
wu,1
assert,1
revisit,1
ghost,1
battle,1
lingyu,1
yuyuan,1
collective,1
jealousy,1
glow,1
mystery,1
way,1
skeptical,1
