story_id,sentiment,confidence,model,date
AI_1,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
AI_2,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
AI_3,fear,0.89,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
AI_4,joy,0.98,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
AI_5,fear,0.91,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
AI_6,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
AI_7,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
AI_8,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
AI_9,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
AI_10,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
AI_11,sadness,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
AI_12,fear,0.63,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
AI_13,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
AI_14,joy,0.96,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
AI_15,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
AI_16,joy,0.95,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
AI_17,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
AI_18,joy,0.98,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
AI_19,fear,0.79,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
AI_20,fear,0.57,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
AI_21,joy,0.98,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
AI_22,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
AI_23,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
AI_24,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
AI_25,joy,0.98,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
AI_26,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
AI_27,fear,0.98,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
AI_28,joy,0.96,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
AI_29,fear,0.83,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
AI_30,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
AI_31,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
AI_32,joy,0.53,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
AI_33,fear,0.92,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
AI_34,anger,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
AI_35,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
AI_36,joy,0.75,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
AI_37,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
AI_38,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
AI_39,fear,0.91,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
AI_40,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
AI_41,joy,0.97,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
AI_42,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
AI_43,fear,0.52,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
AI_44,fear,0.79,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
AI_45,anger,0.43,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
AI_46,fear,0.97,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
AI_47,fear,0.93,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
AI_48,joy,0.56,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
AI_49,anger,0.58,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
AI_50,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
