Noun Phrase,Count
san juan,61
maría elena,44
abuela rosa,39
vibrant colors,31
young woman,29
luz maria,29
maria elena,26
san pedro,23
heart swelling,22
warm glow,21
valle verde,18
don carlos,18
golden hue,17
san jorge,17
small village,15
masaya volcano,15
doña sofia,14
deep breath,13
deep connection,12
el encanto,11
young girl,11
san miguelito,11
mango tree,11
ancient spirits,10
don alberto,10
pomegranate tree,10
sweet scent,9
small town,9
vibrant culture,9
community center,9
whispering shadow,9
doña rosa,9
journey begins,9
don luis,9
lush green hills,8
mombacho volcano,8
town square,8
constant reminder,8
golden glow,8
own stories,8
el paraíso,8
cobblestone streets,8
tall man,7
distant lands,7
gentle breeze,7
vibrant markets,7
future generations,7
young man,7
deep sense,7
cacao tree,7
profound sense,7
san lorenzo,7
old woman,6
vibrant flowers,6
rich history,6
delicate balance,6
golden light,6
dark clouds,6
ancient trees,6
vibrant murals,6
fateful day,5
annual festival,5
new beginnings,5
lush landscapes,5
dark hair,5
setting sun,5
ceiba tree,5
local artists,5
guardian spirit,5
full moon,5
colorful houses,5
mi niña,5
lush greenery,5
warm breeze,5
golden rays,5
childhood friend,5
inexplicable pull,5
long black hair,4
warm smile,4
fateful evening,4
final stand,4
drawing strength,4
silver hair,4
sunny afternoon,4
night sky,4
gathering storm,4
village elders,4
newfound purpose,4
local artist,4
long day,4
dense foliage,4
mango trees,4
colorful banners,4
twinkle overhead,4
bright eyes,4
insatiable curiosity,4
vibrant streets,4
rough bark,4
ancient cacao tree,4
natural beauty,4
profound connection,4
coffee plants,4
mi querida,4
elderly woman,4
shiver run,4
abuela elena,4
tata dios,4
quaint village,3
warm embrace,3
ethereal glow,3
drawing visitors,3
inspire others,3
rich tapestry,3
watchful gaze,3
voice firm,3
everyday life,3
community members,3
dense jungles,3
long forgotten,3
indomitable spirit,3
tropical flowers,3
fiery hues,3
true essence,3
chill run,3
rich earth,3
colorful papel picado,3
narrow trail,3
tapestry woven,3
rich culture,3
white dress,3
fresh tamales,3
san jerónimo,3
deep rumble,3
ancient secrets,3
fertile soil,3
unbreakable bond,3
sustainable practices,3
wild curls,3
raw beauty,3
small bag,3
emerald hills,3
pacific ocean,3
ancient rituals,3
dark curls,3
cacao trees,3
elderly man,3
deep-set eyes,3
countless stories,3
sandinista revolution,3
young boy,3
own path,3
warm smiles,3
open arms,3
ground shook,3
ancient wisdom,3
heart race,3
powerful force,3
coffee plantations,3
whole world,3
black hair,3
old man,3
inspire generations,3
magnetic pull,3
volcanic park,3
soft glow,3
bright brown eyes,2
old guitar,2
shy smile,2
constant presence,2
villagers lit candles,2
beautiful woman,2
golden hues,2
own way,2
nearby towns,2
own tales,2
new generation,2
modest home,2
safe space,2
hard work,2
fresh fruit,2
village square,2
sun shone,2
government officials,2
environmental activists,2
development projects,2
whispering shadows,2
coastal town,2
vibrant paintings,2
wooden table,2
inspiration ignite,2
whisper secrets,2
passionate artist,2
palm trees,2
gallo pinto,2
old church,2
vibrant display,2
morning sun,2
distant thunderstorm,2
mango grove,2
treasure trove,2
unspoken bond,2
entire village,2
fiery spirit,2
small hands,2
mango plant,2
verdant hills,2
distant howls,2
lookout point,2
inexplicable energy,2
soft voice,2
distant rumble,2
dear child,2
coffee plantation,2
gathering place,2
howler monkeys,2
wise woman,2
intricate patterns,2
countless hours,2
sun setting,2
vibrant city,2
artistic expression,2
familiar face,2
indigenous peoples,2
weeping woman,2
treacherous waters,2
traditional dances,2
graceful figure,2
inexplicable connection,2
long hair,2
profound understanding,2
starlit sky,2
traditional foods,2
fateful afternoon,2
lush vegetation,2
inexplicable urge,2
fiery heart,2
cool water,2
lush forests,2
collective spirit,2
human spirit,2
small hand,2
silent guardian,2
distant silhouette,2
small garden,2
dark eyes,2
