story_id,sentiment,confidence,model,date
RO_1,fear,0.83,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
RO_2,joy,0.66,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
RO_3,fear,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
RO_4,joy,0.55,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
RO_5,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
RO_6,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
RO_7,joy,0.98,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
RO_8,fear,0.98,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
RO_9,joy,0.88,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
RO_10,fear,0.95,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
RO_11,fear,0.89,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
RO_12,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
RO_13,fear,0.77,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
RO_14,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
RO_15,joy,0.96,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
RO_16,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
RO_17,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
RO_18,joy,0.9,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
RO_19,fear,0.93,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
RO_20,joy,0.98,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
RO_21,joy,0.48,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
RO_22,joy,0.77,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
RO_23,sadness,0.69,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
RO_24,surprise,0.68,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
RO_25,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
RO_26,joy,0.98,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
RO_27,fear,0.75,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
RO_28,joy,0.95,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
RO_29,surprise,0.94,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
RO_30,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
RO_31,fear,0.88,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
RO_32,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
RO_33,surprise,0.57,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
RO_34,joy,0.98,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
RO_35,joy,0.81,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
RO_36,fear,0.43,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
RO_37,fear,0.56,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
RO_38,joy,0.51,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
RO_39,fear,0.97,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
RO_40,joy,0.95,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
RO_41,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
RO_42,fear,0.96,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
RO_43,fear,0.88,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
RO_44,joy,0.98,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
RO_45,joy,0.91,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
RO_46,fear,0.86,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
RO_47,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
RO_48,joy,0.98,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
RO_49,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
RO_50,joy,0.96,bhadresh-savani/distilbert-base-uncased-emotion,26-02-2025
