Story_ID,Summaries,Prompt,Model,Date
CM_1,"In Mbalmayo, Cameroon, thirteen-year-old Amina dreams of becoming a storyteller. Encouraged by her grandmother, she crafts a tale inspired by the wisdom of a magical baobab tree. At the Festival of Stories, Amina finds her voice, captivating her community and embracing her cultural legacy, setting her on a transformative journey.","In English, write a 50 word plot summary of this story: [STORY]",gpt-4o-mini,25-02-2025
CM_2,"In Buea, Cameroon, adventurous girl Amina feels a call from Mount Cameroon. Alongside her friend Kofi, they embark on a challenging journey to the summit. There, they encounter the mountain’s spirit, who teaches them the importance of harmony with nature. Inspired, they return to their village, fostering environmental stewardship.","In English, write a 50 word plot summary of this story: [STORY]",gpt-4o-mini,25-02-2025
CM_3,"In ""The Echoes of Mount Cameroon,"" young Amara, drawn to the sacred mountain and its guardian spirit, Ngwa, revitalizes her community's long-lost festival. As they celebrate their heritage, outside forces threaten their connection to the land. With courage and unity, Amara and her townsfolk stand against exploitation, preserving their legacy.","In English, write a 50 word plot summary of this story: [STORY]",gpt-4o-mini,25-02-2025
CM_4,"In the fishing village of Mboko, twelve-year-old Amina embarks on an adventure, drawn by tales of the Nganga, a water spirit. Venturing too far into the ocean, she faces a storm but is saved by a dolphin, reinforcing her bond with the sea. Amina inspires her village to honor the Nganga, ensuring their connection to nature thrives.","In English, write a 50 word plot summary of this story: [STORY]",gpt-4o-mini,25-02-2025
CM_5,"In the village of Nkolbisson, young Amadou discovers a path leading to his ancestors' spirits, who urge him to revive his culture amidst modern pressures. As he gathers stories and organizes a Festival of Heritage, he battles those seeking commercialization. Ultimately, he fosters a balance between tradition and progress, ensuring his culture thrives.","In English, write a 50 word plot summary of this story: [STORY]",gpt-4o-mini,25-02-2025
CM_6,"In ""The Echoes of Mount Cameroon,"" young Amara discovers the mountain's spirits, who reveal that outsiders threaten their sacred land. Guided by the spirits, she learns invaluable lessons and rallies her community to confront the intruders. Together, they protect their heritage, restoring harmony between nature and their culture.","In English, write a 50 word plot summary of this story: [STORY]",gpt-4o-mini,25-02-2025
CM_7,"In Bafut, Cameroon, brothers Nji and Tabe clash over dreams and responsibilities. Aspiring artist Nji, inspired by cousin Aissatou, prepares for an art show that awakens community pride. As Nji gains recognition, Tabe feels abandoned, sparking jealousy. Ultimately, they reconcile, merging their passions to celebrate their heritage together.","In English, write a 50 word plot summary of this story: [STORY]",gpt-4o-mini,25-02-2025
CM_8,"In the village of Ngong, Cameroon, a young girl named Amina witnesses a looming threat as the government plans to seize their ancestral land for a new road. Inspired by her elders, she helps unite her community to fight back. Their resilience transforms the Baobab tree into a symbol of hope and resistance.","In English, write a 50 word plot summary of this story: [STORY]",gpt-4o-mini,25-02-2025
CM_9,"In the village of Wum, young Amina hears the Nkufo River whispering for help. Guided by Mami Wata, the river's guardian, she leads the villagers on a quest to restore harmony by performing a sacred ritual on Mount Nja. Their successful efforts bring rain, deepening their bond with nature and their ancestors.","In English, write a 50 word plot summary of this story: [STORY]",gpt-4o-mini,25-02-2025
CM_10,"In the village of Limbe, Amina, a curious fourteen-year-old, embarks on a journey up Mount Cameroon seeking wisdom. Guided by the spirit of the mountain, she confronts her community's challenges, advocating for sustainability and resilience. Amina becomes a leader, inspiring her village to cherish and protect their environment for future generations.","In English, write a 50 word plot summary of this story: [STORY]",gpt-4o-mini,25-02-2025
CM_11,"In the vibrant village of Bafut, twelve-year-old Nia feels lost between her rich heritage and a modern world. During the Ngondo Festival, wise Mama Amina inspires her to embrace her roots while adapting to new ideas. Nia organizes a cultural showcase, uniting tradition and innovation, forging her identity within her community.","In English, write a 50 word plot summary of this story: [STORY]",gpt-4o-mini,25-02-2025
CM_12,"In the heart of the Cameroon rainforest, young Amina hears the whispering river, Nguem, calling her to protect her community’s sacred land from destructive logging. Guided by her grandmother's wisdom, she rallies her village, confronts corporate greed, and fosters a legacy of environmental stewardship, transforming her connection to nature into a powerful movement.","In English, write a 50 word plot summary of this story: [STORY]",gpt-4o-mini,25-02-2025
CM_13,"In Cameroon’s Baïka forest, young Eko embarks on a quest to save his village's vital land from development. Guided by the Echo Tree's wisdom, he unites the villagers through a festival celebrating their heritage. Their passion sways city officials, preserving the forest and strengthening the bond between community and nature.","In English, write a 50 word plot summary of this story: [STORY]",gpt-4o-mini,25-02-2025
